ts_ms,open,high,low,close,volume,turnover
1655517600000,20390.5,20522,20300,20453,9147.919,186786705.4105
1655524800000,20453,20532.5,20388.5,20416,4495.788,91915659.3375
1655532000000,20416,20446,18988,19241.5,71157.422,1384961366.9645
1655539200000,19241.5,19372,18675,19156,45795.175,871386334.141
1655546400000,19156,19548,19131,19232,23864.229,461564943.142
1655553600000,19232,19281.5,19075,19190.5,12840.165,246217453.7245
1655560800000,19190.5,19260,18920,18943,15631.989,298147107.0305
1655568000000,18943,19089.5,18469.5,18614,30943.34,581114238.3025
1655575200000,18614,18639.5,18027,18059.5,45320.001,828975797.4465
1655582400000,18059.5,18909.5,17600,18510,76551.606,1387044711.79
1655589600000,18510,19490,18417,18964.5,42087.541,801526628.173
1655596800000,18964.5,19199.5,18389,18472.5,24786.634,467198196.4635
1655604000000,18472.5,18743.5,18203.5,18294.5,25617.986,472957789.7495
1655611200000,18294.5,18620,17953,18117.5,26543.16,484313625.9955
1655618400000,18117.5,18538,18043,18282.5,22102.272,405166545.8095
1655625600000,18282.5,19300,18253,18984.5,35633.712,671026910.13
1655632800000,18984.5,20088.5,18871,19682,59695.887,1172294037.8315
1655640000000,19682,19950,19133,19178.5,36169.535,704841455.91
1655647200000,19178.5,19929,19150,19820,33097.877,646703976.718
1655654400000,19820,19866,19364.5,19442,17929.15,350548828.398
1655661600000,19442,20360,19411,20113.5,34711.618,693627260.4595
1655668800000,20113.5,20820,20047,20390.5,34892.717,713051839.8135
1655676000000,20390.5,20820,20304,20567.5,20555.402,423047222.1915
1655683200000,20567.5,20658.5,19624,19791,25056.292,502115556.948
1655690400000,19791,20188,19666,19963.5,21038.071,419790808.699
1655697600000,19963.5,20162,19755,20098.5,18488.055,368776747.713
1655704800000,20098.5,20267.5,19857.5,20069.5,16865.662,337797074.9165
1655712000000,20069.5,21051.5,20006.5,20641.5,39992.012,821937268.385
1655719200000,20641.5,20979.5,20453,20790.5,28653.76,594281803.5945
1655726400000,20790.5,20810,20355,20514.5,27078.446,556003152.1425
1655733600000,20514.5,21125,20498.5,20815,30389.891,630995629.943
1655740800000,20815,20821.5,19945,19968.5,36789.64,749061707.2155
1655748000000,19968.5,20180,19813,20070,22444.829,448925089.4065
1655755200000,20070,20653,20000,20414,17021.14,346859064.2
1655762400000,20414,20784,20261,20568,18599.799,381550396.1035
1655769600000,20568,20779.5,20380,20666,17766.804,365788863.9495
1655776800000,20666,20696.5,20336,20602.5,13775.132,282296392.809
1655784000000,20602.5,21026,20471,20879.5,20788.365,431656961.052
1655791200000,20879.5,21336,20879.5,21110.5,25935.914,547244875.951
1655798400000,21110.5,21495.5,21020.5,21191,22012.581,468484143.57
1655805600000,21191,21348.5,20906,20952,19442.616,410868756.931
1655812800000,20952,21653,20841,21605.5,39008.862,828618709.8185
1655820000000,21605.5,21722,21323,21376,23558.243,506945469.9405
1655827200000,21376,21546,21185.5,21236,15661.713,334690381.9555
1655834400000,21236,21296.5,20868,20885,16773.409,353956957.1485
1655841600000,20885,21066.5,20661.5,20963.5,16969.257,353867853.266
1655848800000,20963.5,20989,20550,20715.5,15202.504,315507768.083
1655856000000,20715.5,20727,20381.5,20406.5,17644.735,362980999.99
1655863200000,20406.5,20574,20251.5,20312,13738.591,280432494.617
1655870400000,20312,20587.5,20266.5,20362.5,12148.053,248150537.3255
1655877600000,20362.5,20439,19928,20084,27433.253,552291490.4335
1655884800000,20084,20489,20032,20415,16431.942,333266373.0935
1655892000000,20415,20672,20342,20492,15375.349,315041916.5425
1655899200000,20492,20767,20101,20711.5,37940.168,774596047.241
1655906400000,20711.5,20885.5,20012,20078,41435.33,850270466.1985
1655913600000,20078,20369.5,19824,20256,39806.537,801812014.7095
1655920800000,20256,20368.5,19892.5,20100.5,16992.057,342205775.1845
1655928000000,20100.5,20230.5,19703,19992.5,21007.714,419323546.418
1655935200000,19992.5,20188.5,19908.5,19980,10381.045,207914238.5905
1655942400000,19980,20599,19861.5,20367,25288.19,513989281.1
1655949600000,20367,20480,20191.5,20199,9744.337,198141241.657
1655956800000,20199,20455,20146.5,20336.5,11154.897,226516816.97
1655964000000,20336.5,20646.5,20289.5,20451,15193.857,311549988.398
1655971200000,20451,20792,20441.5,20733,18878.521,388512656.422
1655978400000,20733,20800,20580.5,20630.5,14108.425,292047046.1575
1655985600000,20630.5,20816.5,20375,20444,25866.974,532375463.481
1655992800000,20444,20610,20260.5,20341,18930.172,386887150.029
1656000000000,20341,20381.5,20160,20305.5,15899.331,322579746.614
1656007200000,20305.5,20960,20277.5,20898,20898.948,431263570.0655
1656014400000,20898,21130,20660,20679.5,19757.852,412386566.555
1656021600000,20679.5,21240,20675,21095,24061.152,505624508.4475
1656028800000,21095,21197,20952.5,21034,12743.487,268457845.7015
1656036000000,21034,21372,21005,21066.5,17705.79,375090910.6155
1656043200000,21066.5,21160,20840,20909,12623.946,265593734.2085
1656050400000,20909,20978.5,20728.5,20896,17398.081,362995926.4525
1656057600000,20896,21088,20745,20820.5,16310.513,341499966.8215
1656064800000,20820.5,21319.5,20783,21159,25227.921,532353250.751
1656072000000,21159,21472,21066,21188,26776.286,569442507.669
1656079200000,21188,21368,20808.5,20882,25634.593,539527073.9
1656086400000,20882,21226,20782.5,20962.5,22085.654,464206165.0145
1656093600000,20962.5,21255,20888.5,21239.5,13458.148,283637758.8225
1656100800000,21239.5,21371,21130,21293,12328.546,262072586.824
1656108000000,21293,21556.5,21184,21232,17481.299,373297265.628
1656115200000,21232,21333.5,21107.5,21315.5,14996.444,318287545.882
1656122400000,21315.5,21372,21142,21287,9833.34,208939354.4955
1656129600000,21287,21315,21190,21212,6963.563,148018599.4205
1656136800000,21212,21630,21173.5,21494.5,19300.81,413370930.5225
1656144000000,21494.5,21540.5,21351.5,21426,10422.274,223411598.3785
1656151200000,21426,21479.5,21310,21328.5,8006.318,171316460.9115
1656158400000,21328.5,21368,21033,21154.5,20815.162,440508259.2735
1656165600000,21154.5,21218,20900,20959.5,14177.902,298850100.129
1656172800000,20959.5,21149,20903,21085,10585.127,222716529.774
1656180000000,21085,21277,21027,21195,8053.57,170437682.022
1656187200000,21195,21525,21130,21515.5,10653.312,227417868.496
1656194400000,21515.5,21580,21383,21476,9012.699,193480808.908
1656201600000,21476,21539,21323,21386.5,10057.934,215592094.846
1656208800000,21386.5,21466,21241,21419,6163.452,131679470.7205
