ts_ms,open,high,low,close,volume,turnover
1655515800000,20491,20497,20371,20390.5,3759.716,76776201.243
1655517600000,20390.5,20522,20300,20474.5,3877.624,79152951.399
1655519400000,20474.5,20474.5,20360.5,20470,2078.128,42434799.9895
1655521200000,20470,20495.5,20375.5,20420.5,1822.492,37239308.9015
1655523000000,20420.5,20461,20378,20453,1369.675,27959645.1205
1655524800000,20453,20476,20388.5,20442,970.932,19841119.7965
1655526600000,20442,20490,20411,20485,1028.162,21034350
1655528400000,20485,20532.5,20407.5,20426.5,1643.008,33615139.601
1655530200000,20426.5,20439,20389.5,20416,853.686,17425049.94
1655532000000,20416,20446,20382.5,20390.5,1238.955,25280536.808
1655533800000,20390.5,20415,18988,19422.5,37182.009,728023429.885
1655535600000,19422.5,19608,18988,19227.5,24069.571,464915335.7085
1655537400000,19227.5,19400,19093.5,19241.5,8666.887,166742064.563
1655539200000,19241.5,19261,18675,19122,23014.048,436329296.4025
1655541000000,19122,19372,18927,19000.5,11892.136,227569818.676
1655542800000,19000.5,19200,18883,19177.5,7020.704,133606970.2495
1655544600000,19177.5,19193.5,19010,19156,3868.287,73880248.813
1655546400000,19156,19548,19131,19433,10997.088,212662765.4375
1655548200000,19433,19500,19320,19381.5,4201.917,81445824.392
1655550000000,19381.5,19466,19220,19425,4751.789,91840850.041
1655551800000,19425,19425,19227,19232,3913.435,75615503.2715
1655553600000,19232,19270.5,19120.5,19235.5,4282.587,82234786.015
1655555400000,19235.5,19281.5,19104,19137,2988.372,57340962.058
1655557200000,19137,19222,19075,19168.5,3212.938,61538625.6905
1655559000000,19168.5,19206,19090.5,19190.5,2356.268,45103079.961
1655560800000,19190.5,19260,19140,19179.5,2664.002,51154424.9005
1655562600000,19179.5,19224.5,19052.5,19072,3172.899,60700425.7745
1655564400000,19072,19117.5,18920,19086,6564.662,124885520.463
1655566200000,19086,19105,18931,18943,3230.426,61406735.8925
1655568000000,18943,19089.5,18872.5,19056.5,4574.76,86889683.6905
1655569800000,19056.5,19066,18746,18858.5,7221.477,136437828.9985
1655571600000,18858.5,18950,18776,18876.5,4277.701,80696980.597
1655573400000,18876.5,18900.5,18469.5,18614,14869.402,277089745.0165
1655575200000,18614,18639.5,18243.5,18255,14973.096,276065278.8875
1655577000000,18255,18420.5,18150,18210,12442.848,227542696.722
1655578800000,18210,18375,18070,18232.5,10722.01,195241278.8945
1655580600000,18232.5,18290,18027,18059.5,7182.047,130126542.9425
1655582400000,18059.5,18149.5,17620.5,17713.5,26224.589,469160135.8445
1655584200000,17713.5,17935,17600,17805.5,14045.015,249200390.5305
1655586000000,17805.5,18861,17753,18681,19315.483,353159352.0545
1655587800000,18681,18909.5,18319.5,18510,16966.519,315524833.3605
1655589600000,18510,19466.5,18417,19318,16458.338,310952036.3655
1655591400000,19318,19490,18964,19184.5,13208.597,253709423.84
1655593200000,19184.5,19274,18910,19124.5,7937.086,151430854.3845
1655595000000,19124.5,19195,18951,18964.5,4483.52,85434313.583
1655596800000,18964.5,19199.5,18852,19095,7548.222,143501165.025
