ts_ms,open,high,low,close,volume
1750014000000,2547.5,2552.29,2545.97,2550.74,5282.7
1750014900000,2550.74,2552.17,2544.4,2545.93,8442.79
1750015800000,2545.93,2548.39,2529.0,2532.72,31660.72
1750016700000,2532.72,2537.0,2530.2,2535.71,8897.35
1750017600000,2535.71,2535.88,2520.12,2522.24,24429.73
1750018500000,2522.24,2522.88,2510.44,2511.74,25781.38
1750019400000,2511.74,2518.49,2490.14,2492.31,71325.55
1750020300000,2492.31,2503.39,2490.85,2501.77,24490.28
1750021200000,2501.77,2505.27,2495.8,2502.86,18022.28
1750022100000,2502.86,2512.65,2502.85,2511.7,18869.34
1750023000000,2511.7,2512.49,2502.74,2508.6,11886.0
1750023900000,2508.6,2517.19,2508.43,2515.71,13720.19
1750024800000,2515.71,2544.97,2512.0,2540.48,68248.08
1750025700000,2540.48,2546.42,2535.78,2538.83,24194.16
1750026600000,2538.83,2542.94,2532.72,2540.59,15779.25
1750027500000,2540.59,2548.88,2539.18,2543.4,18261.89
1750028400000,2543.4,2547.0,2538.28,2539.87,7794.54
1750029300000,2539.87,2546.0,2539.66,2543.08,8251.16
1750030200000,2543.08,2548.8,2542.12,2547.55,7664.45
1750031100000,2547.55,2548.47,2542.74,2546.32,7868.62
1750032000000,2546.32,2548.66,2539.42,2542.26,12371.7
1750032900000,2542.26,2552.97,2536.69,2541.61,19542.04
1750033800000,2541.61,2547.25,2538.0,2544.94,11669.74
1750034700000,2544.94,2546.84,2538.3,2543.32,6482.94
1750035600000,2543.32,2545.14,2521.09,2524.01,47502.13
1750036500000,2524.01,2529.75,2518.32,2521.06,24648.42
1750037400000,2521.06,2539.54,2513.0,2536.81,32927.0
1750038300000,2536.81,2558.54,2534.7,2553.22,56961.9
1750039200000,2553.22,2576.64,2553.22,2572.61,53659.24
1750040100000,2572.61,2577.98,2563.54,2568.13,37828.87
1750041000000,2568.13,2577.43,2565.0,2572.85,15693.77
1750041900000,2572.85,2576.45,2570.65,2573.45,10969.6
1750042800000,2573.45,2574.72,2564.52,2568.08,28157.84
1750043700000,2568.08,2573.46,2564.67,2571.46,10024.04
1750044600000,2571.46,2572.87,2568.81,2570.08,6355.57
1750045500000,2570.08,2570.09,2566.65,2567.14,5370.08
1750046400000,2567.14,2573.57,2565.5,2573.36,11155.35
1750047300000,2573.36,2577.51,2568.44,2571.54,22079.33
1750048200000,2571.54,2577.0,2569.02,2575.78,15039.28
1750049100000,2575.78,2575.78,2571.65,2574.68,7601.79
1750050000000,2574.68,2577.98,2572.26,2573.54,15377.87
