ts_ms,open,high,low,close,volume,turnover
1780257600000,1998.73,2004.22,1998.73,2002.06,11348.97,0
1780259400000,2002.06,2008.34,2001.41,2006.59,18634.48,0
1780261200000,2006.59,2009.55,2004.3,2006.49,10251.01,0
1780263000000,2006.49,2013.88,2005.78,2011.51,32883.76,0
1780264800000,2011.51,2013.63,2003.67,2009.19,13765.6,0
1780266600000,2009.19,2013.68,2008.91,2011.86,8456.29,0
1780268400000,2011.86,2022.36,2007.53,2008.3,27087.02,0
1780270200000,2008.3,2008.6,1998.84,2006.27,19791.89,0
1780272000000,2006.27,2017.0,2005.36,2016.14,26898.25,0
1780273800000,2016.14,2020.93,2011.29,2014.8,14217.59,0
1780275600000,2014.8,2016.07,2001.2,2003.36,20111.76,0
1780277400000,2003.36,2006.13,1992.89,1993.83,20096.81,0
1780279200000,1993.83,2005.1,1989.6,2003.78,25822.57,0
1780281000000,2003.78,2016.86,2000.78,2010.39,23803.48,0
1780282800000,2010.39,2017.4,2010.13,2014.09,14311.91,0
1780284600000,2014.09,2016.2,2007.58,2008.31,8189.71,0
1780286400000,2008.31,2011.24,1994.17,1994.81,28356.56,0
1780288200000,1994.81,2001.53,1993.0,1998.95,19322.25,0
1780290000000,1998.95,2000.6,1992.05,1992.24,12566.96,0
1780291800000,1992.24,1997.32,1990.64,1993.67,12192.5,0
1780293600000,1993.67,1994.44,1983.45,1985.47,31957.35,0
1780295400000,1985.47,1988.0,1979.14,1986.9,48789.25,0
1780297200000,1986.9,1989.64,1983.68,1984.69,14668.3,0
1780299000000,1984.69,1984.98,1970.47,1975.23,64935.16,0
1780300800000,1975.23,1978.89,1972.56,1975.01,20263.97,0
1780302600000,1975.01,1984.41,1970.83,1983.11,35005.21,0
1780304400000,1983.11,1989.4,1982.85,1985.79,18257.52,0
1780306200000,1985.79,1988.86,1984.0,1986.89,20557.35,0
1780308000000,1986.89,1988.2,1980.61,1982.64,15258.54,0
1780309800000,1982.64,1986.29,1980.07,1983.69,11023.66,0
1780311600000,1983.69,1985.31,1982.0,1982.91,5494.11,0
1780313400000,1982.91,1986.3,1976.43,1980.7,36025.47,0
1780315200000,1980.7,1988.6,1966.16,1986.55,96343.84,0
1780317000000,1986.55,1994.0,1983.7,1988.73,32597.53,0
1780318800000,1988.73,1989.65,1970.0,1976.28,75290.52,0
1780320600000,1976.28,1982.9,1955.03,1970.23,138097.72,0
1780322400000,1970.23,1976.82,1963.7,1967.88,53788.23,0
1780324200000,1967.88,1970.95,1964.07,1967.84,24100.76,0
1780326000000,1967.84,1974.0,1959.28,1960.68,34179.18,0
1780327800000,1960.68,1980.25,1960.43,1967.54,46380.26,0
