r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,split,depth_frac,n_zones
1.5,1.0,469,0.499,0.9121,427.76,train,0.3,740
1.5,2.0,469,0.49,0.9008,422.47,train,0.3,740
1.5,3.0,469,0.488,0.8982,421.26,train,0.3,740
1.5,4.0,469,0.488,0.897,420.68,train,0.3,740
1.5,5.0,469,0.486,0.8961,420.26,train,0.3,740
1.5,6.0,469,0.486,0.8953,419.89,train,0.3,740
1.5,7.0,469,0.484,0.8945,419.54,train,0.3,740
2.0,1.0,469,0.446,1.0495,492.22,train,0.3,740
2.0,2.0,469,0.437,1.0485,491.73,train,0.3,740
2.0,3.0,469,0.433,1.036,485.89,train,0.3,740
2.0,4.0,469,0.431,1.0264,481.4,train,0.3,740
2.0,5.0,469,0.429,1.0209,478.78,train,0.3,740
2.0,6.0,469,0.429,1.0172,477.06,train,0.3,740
2.0,7.0,469,0.426,1.0146,475.84,train,0.3,740
2.5,1.0,469,0.407,0.7765,364.18,train,0.3,740
2.5,2.0,469,0.394,0.7733,362.66,train,0.3,740
2.5,3.0,469,0.386,0.7727,362.38,train,0.3,740
2.5,4.0,469,0.384,0.7506,352.05,train,0.3,740
2.5,5.0,469,0.38,0.737,345.65,train,0.3,740
2.5,6.0,469,0.38,0.7278,341.36,train,0.3,740
2.5,7.0,469,0.377,0.7213,338.27,train,0.3,740
3.0,1.0,469,0.38,0.8983,421.31,train,0.3,740
3.0,2.0,469,0.362,0.9277,435.07,train,0.3,740
3.0,3.0,469,0.354,0.9504,445.74,train,0.3,740
3.0,4.0,469,0.35,0.9614,450.89,train,0.3,740
3.0,5.0,469,0.345,0.9086,426.13,train,0.3,740
3.0,6.0,469,0.343,0.9001,422.14,train,0.3,740
3.0,7.0,469,0.341,0.8959,420.2,train,0.3,740
3.5,1.0,469,0.354,1.0277,481.98,train,0.3,740
3.5,2.0,469,0.337,1.0275,481.89,train,0.3,740
3.5,3.0,469,0.328,1.0603,497.29,train,0.3,740
3.5,4.0,469,0.322,1.0781,505.61,train,0.3,740
3.5,5.0,469,0.318,1.0261,481.23,train,0.3,740
3.5,6.0,469,0.316,1.0169,476.92,train,0.3,740
3.5,7.0,469,0.313,1.0117,474.48,train,0.3,740
4.0,1.0,469,0.348,1.0254,480.92,train,0.3,740
4.0,2.0,469,0.326,0.9891,463.87,train,0.3,740
4.0,3.0,469,0.316,1.0152,476.12,train,0.3,740
4.0,4.0,469,0.307,0.9895,464.07,train,0.3,740
4.0,5.0,469,0.303,0.9153,429.29,train,0.3,740
4.0,6.0,469,0.301,0.8948,419.65,train,0.3,740
4.0,7.0,469,0.299,0.8822,413.77,train,0.3,740
4.5,1.0,469,0.341,1.214,569.37,train,0.3,740
4.5,2.0,469,0.32,1.1474,538.11,train,0.3,740
4.5,3.0,469,0.307,1.1684,547.99,train,0.3,740
4.5,4.0,469,0.299,1.1407,534.97,train,0.3,740
4.5,5.0,469,0.294,1.0655,499.71,train,0.3,740
4.5,6.0,469,0.292,1.0444,489.81,train,0.3,740
4.5,7.0,469,0.29,1.0316,483.81,train,0.3,740
5.0,1.0,469,0.335,1.3587,637.24,train,0.3,740
5.0,2.0,469,0.313,1.2893,604.68,train,0.3,740
5.0,3.0,469,0.299,1.1762,551.63,train,0.3,740
5.0,4.0,469,0.29,1.136,532.76,train,0.3,740
5.0,5.0,469,0.286,1.0562,495.38,train,0.3,740
5.0,6.0,469,0.281,1.0332,484.55,train,0.3,740
5.0,7.0,469,0.279,1.0194,478.11,train,0.3,740
1.5,1.0,465,0.505,0.9791,455.3,train,0.325,740
1.5,2.0,465,0.497,0.9708,451.42,train,0.325,740
1.5,3.0,465,0.497,0.9698,450.94,train,0.325,740
1.5,4.0,465,0.497,0.9695,450.81,train,0.325,740
1.5,5.0,465,0.495,0.9692,450.7,train,0.325,740
1.5,6.0,465,0.492,0.9689,450.55,train,0.325,740
1.5,7.0,465,0.492,0.9686,450.38,train,0.325,740
2.0,1.0,465,0.452,1.1524,535.87,train,0.325,740
2.0,2.0,465,0.441,1.1673,542.79,train,0.325,740
2.0,3.0,465,0.439,1.1576,538.31,train,0.325,740
2.0,4.0,465,0.439,1.1511,535.28,train,0.325,740
2.0,5.0,465,0.437,1.1478,533.73,train,0.325,740
2.0,6.0,465,0.434,1.1459,532.82,train,0.325,740
2.0,7.0,465,0.434,1.1446,532.25,train,0.325,740
2.5,1.0,465,0.411,1.0172,472.99,train,0.325,740
2.5,2.0,465,0.396,1.0265,477.33,train,0.325,740
2.5,3.0,465,0.389,1.0224,475.42,train,0.325,740
2.5,4.0,465,0.387,1.0079,468.69,train,0.325,740
2.5,5.0,465,0.385,0.9994,464.73,train,0.325,740
2.5,6.0,465,0.383,0.994,462.21,train,0.325,740
2.5,7.0,465,0.381,0.9903,460.5,train,0.325,740
3.0,1.0,465,0.389,1.1257,523.47,train,0.325,740
3.0,2.0,465,0.37,1.15,534.75,train,0.325,740
3.0,3.0,465,0.363,1.1697,543.9,train,0.325,740
