depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
0.675,1.5,7.0,2.2936,1.8173,2.5068,175,436,218
0.675,2.5,7.0,2.7282,1.8152,2.5862,175,436,218
0.675,2.5,6.0,2.6641,1.8117,2.5871,175,436,218
0.675,1.5,6.0,2.2465,1.8116,2.5037,175,436,218
0.675,2.0,7.0,2.4082,1.8086,2.2801,175,436,218
0.675,2.5,5.0,2.5859,1.8071,2.5878,175,436,218
0.675,2.0,6.0,2.3526,1.8047,2.2809,175,436,218
0.675,1.5,5.0,2.1883,1.8041,2.4992,175,436,218
0.675,2.5,4.0,2.4875,1.8008,2.5879,175,436,218
0.675,2.0,5.0,2.2842,1.7996,2.2813,175,436,218
0.675,1.5,4.0,2.1132,1.7938,2.4924,175,436,218
0.675,2.0,4.0,2.1964,1.7926,2.2811,175,436,218
0.675,2.5,3.0,2.358,1.7919,2.5872,175,436,218
0.6,5.0,7.0,3.1382,1.7918,3.8835,177,446,221
0.6,5.0,6.0,3.0537,1.7893,3.8718,177,446,221
0.6,5.0,5.0,2.9584,1.7869,3.8574,177,446,221
0.65,1.5,7.0,2.2599,1.7852,2.3697,176,438,220
0.6,5.0,4.0,2.8476,1.7849,3.8387,177,446,221
0.6,5.0,3.0,2.7065,1.7836,3.813,177,446,221
0.675,2.0,3.0,2.077,1.7824,2.2798,175,436,218
0.65,1.5,6.0,2.2135,1.7803,2.3678,176,438,220
0.675,1.5,3.0,2.0097,1.7787,2.4817,175,436,218
0.675,2.5,2.0,2.1766,1.7779,2.5846,175,436,218
0.65,1.5,5.0,2.1561,1.7738,2.3648,176,438,220
0.6,5.0,2.0,2.4654,1.7689,3.7736,177,446,221
0.675,2.0,2.0,1.9,1.7662,2.2763,175,436,218
0.65,1.5,4.0,2.082,1.7649,2.3601,176,438,220
0.575,5.0,2.0,2.5945,1.7637,3.6371,178,450,222
0.675,2.5,1.0,1.8941,1.7556,2.5797,175,436,218
0.575,5.0,3.0,2.8441,1.7548,3.6468,178,450,222
0.625,1.5,7.0,2.0702,1.754,2.2816,176,442,220
0.675,1.5,2.0,1.8515,1.7539,2.4624,175,436,218
0.65,1.5,3.0,1.9798,1.7516,2.3523,176,438,220
0.625,1.5,6.0,2.0222,1.749,2.2802,176,442,220
0.675,4.5,1.0,1.8668,1.7487,3.3594,175,436,218
0.625,1.5,5.0,1.9629,1.7425,2.2781,176,442,220
0.675,2.0,1.0,1.6005,1.7384,2.2672,175,436,218
0.625,1.5,4.0,1.8865,1.7337,2.2745,176,442,220
0.65,1.5,2.0,1.8229,1.7298,2.3378,176,438,220
0.6,5.0,1.0,2.2349,1.7287,3.7041,177,446,221
0.575,5.0,4.0,2.9921,1.7287,3.656,178,450,222
