r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,kind,tf,split,depth_frac,n_zones
2.0,0.083,402,0.706,2.23,896.48,BB,15m,train,0.3,767
2.0,0.125,402,0.639,2.2466,903.14,BB,15m,train,0.3,767
2.0,0.167,402,0.602,1.8603,747.84,BB,15m,train,0.3,767
2.0,0.25,402,0.562,1.3557,544.99,BB,15m,train,0.3,767
2.0,0.5,402,0.51,0.2267,91.14,BB,15m,train,0.3,767
2.0,1.0,402,0.463,-1.4837,-596.44,BB,15m,train,0.3,767
2.0,2.0,402,0.405,-3.6972,-1486.29,BB,15m,train,0.3,767
2.0,5.0,402,0.249,-8.1114,-3260.8,BB,15m,train,0.3,767
3.0,0.083,402,0.679,2.0955,842.4,BB,15m,train,0.3,767
3.0,0.125,402,0.607,2.2731,913.78,BB,15m,train,0.3,767
3.0,0.167,402,0.562,1.9654,790.1,BB,15m,train,0.3,767
3.0,0.25,402,0.512,1.4651,588.97,BB,15m,train,0.3,767
3.0,0.5,402,0.433,-0.0624,-25.1,BB,15m,train,0.3,767
3.0,1.0,402,0.378,-1.6978,-682.51,BB,15m,train,0.3,767
3.0,2.0,402,0.361,-3.8471,-1546.52,BB,15m,train,0.3,767
3.0,5.0,402,0.291,-8.3484,-3356.05,BB,15m,train,0.3,767
4.0,0.083,402,0.672,2.0555,826.33,BB,15m,train,0.3,767
4.0,0.125,402,0.595,2.3354,938.85,BB,15m,train,0.3,767
4.0,0.167,402,0.545,1.9351,777.91,BB,15m,train,0.3,767
4.0,0.25,402,0.49,1.5592,626.79,BB,15m,train,0.3,767
4.0,0.5,402,0.4,0.2072,83.31,BB,15m,train,0.3,767
4.0,1.0,402,0.338,-1.4153,-568.97,BB,15m,train,0.3,767
4.0,2.0,402,0.328,-3.5665,-1433.74,BB,15m,train,0.3,767
4.0,5.0,402,0.286,-8.1089,-3259.78,BB,15m,train,0.3,767
5.0,0.083,402,0.667,2.0431,821.35,BB,15m,train,0.3,767
5.0,0.125,402,0.59,2.3262,935.13,BB,15m,train,0.3,767
5.0,0.167,402,0.54,1.9726,793.0,BB,15m,train,0.3,767
5.0,0.25,402,0.485,1.727,694.24,BB,15m,train,0.3,767
5.0,0.5,402,0.391,0.5457,219.39,BB,15m,train,0.3,767
5.0,1.0,402,0.318,-0.9015,-362.42,BB,15m,train,0.3,767
5.0,2.0,402,0.301,-3.0366,-1220.69,BB,15m,train,0.3,767
5.0,5.0,402,0.259,-7.7051,-3097.43,BB,15m,train,0.3,767
7.0,0.083,402,0.664,1.9899,799.95,BB,15m,train,0.3,767
7.0,0.125,402,0.585,2.2305,896.67,BB,15m,train,0.3,767
7.0,0.167,402,0.535,1.8912,760.26,BB,15m,train,0.3,767
7.0,0.25,402,0.48,1.6924,680.36,BB,15m,train,0.3,767
7.0,0.5,402,0.381,0.5526,222.16,BB,15m,train,0.3,767
7.0,1.0,402,0.301,-0.6118,-245.94,BB,15m,train,0.3,767
7.0,2.0,402,0.276,-2.3417,-941.34,BB,15m,train,0.3,767
7.0,5.0,402,0.229,-6.7868,-2728.29,BB,15m,train,0.3,767
10.0,0.083,402,0.664,1.9848,797.89,BB,15m,train,0.3,767
10.0,0.125,402,0.585,2.2291,896.1,BB,15m,train,0.3,767
10.0,0.167,402,0.535,1.9019,764.56,BB,15m,train,0.3,767
10.0,0.25,402,0.48,1.7102,687.49,BB,15m,train,0.3,767
10.0,0.5,402,0.371,0.3691,148.39,BB,15m,train,0.3,767
10.0,1.0,402,0.289,-0.6917,-278.08,BB,15m,train,0.3,767
10.0,2.0,402,0.251,-2.4693,-992.66,BB,15m,train,0.3,767
10.0,5.0,402,0.184,-6.7323,-2706.37,BB,15m,train,0.3,767
2.0,0.083,403,0.695,2.2003,886.72,BB,15m,train,0.325,767
2.0,0.125,403,0.643,2.3099,930.9,BB,15m,train,0.325,767
2.0,0.167,403,0.598,1.76,709.26,BB,15m,train,0.325,767
2.0,0.25,403,0.556,1.3162,530.42,BB,15m,train,0.325,767
2.0,0.5,403,0.511,0.1723,69.42,BB,15m,train,0.325,767
2.0,1.0,403,0.464,-1.4885,-599.88,BB,15m,train,0.325,767
2.0,2.0,403,0.397,-3.6721,-1479.86,BB,15m,train,0.325,767
2.0,5.0,403,0.236,-8.0722,-3253.12,BB,15m,train,0.325,767
3.0,0.083,403,0.677,2.2093,890.33,BB,15m,train,0.325,767
3.0,0.125,403,0.615,2.4452,985.43,BB,15m,train,0.325,767
3.0,0.167,403,0.566,1.9599,789.84,BB,15m,train,0.325,767
3.0,0.25,403,0.511,1.4948,602.39,BB,15m,train,0.325,767
3.0,0.5,403,0.442,0.1847,74.45,BB,15m,train,0.325,767
3.0,1.0,403,0.39,-1.4599,-588.34,BB,15m,train,0.325,767
3.0,2.0,403,0.37,-3.6302,-1462.99,BB,15m,train,0.325,767
3.0,5.0,403,0.295,-8.1276,-3275.41,BB,15m,train,0.325,767
4.0,0.083,403,0.665,2.1392,862.1,BB,15m,train,0.325,767
4.0,0.125,403,0.598,2.463,992.58,BB,15m,train,0.325,767
4.0,0.167,403,0.543,1.88,757.63,BB,15m,train,0.325,767
4.0,0.25,403,0.484,1.5302,616.67,BB,15m,train,0.325,767
4.0,0.5,403,0.402,0.289,116.47,BB,15m,train,0.325,767
4.0,1.0,403,0.34,-1.3185,-531.34,BB,15m,train,0.325,767
4.0,2.0,403,0.33,-3.4566,-1393.03,BB,15m,train,0.325,767
4.0,5.0,403,0.293,-7.9004,-3183.87,BB,15m,train,0.325,767
5.0,0.083,403,0.66,2.1197,854.24,BB,15m,train,0.325,767
5.0,0.125,403,0.593,2.4468,986.07,BB,15m,train,0.325,767
5.0,0.167,403,0.538,1.9193,773.48,BB,15m,train,0.325,767
5.0,0.25,403,0.479,1.7139,690.7,BB,15m,train,0.325,767
5.0,0.5,403,0.395,0.6921,278.93,BB,15m,train,0.325,767
5.0,1.0,403,0.323,-0.8168,-329.15,BB,15m,train,0.325,767
5.0,2.0,403,0.3,-2.9848,-1202.89,BB,15m,train,0.325,767
5.0,5.0,403,0.256,-7.6891,-3098.7,BB,15m,train,0.325,767
7.0,0.083,403,0.658,2.0774,837.21,BB,15m,train,0.325,767
7.0,0.125,403,0.588,2.3725,956.13,BB,15m,train,0.325,767
7.0,0.167,403,0.533,1.8681,752.85,BB,15m,train,0.325,767
7.0,0.25,403,0.474,1.7247,695.04,BB,15m,train,0.325,767
7.0,0.5,403,0.385,0.735,296.19,BB,15m,train,0.325,767
7.0,1.0,403,0.305,-0.4904,-197.65,BB,15m,train,0.325,767
7.0,2.0,403,0.273,-2.2712,-915.28,BB,15m,train,0.325,767
7.0,5.0,403,0.226,-6.7629,-2725.46,BB,15m,train,0.325,767
10.0,0.083,403,0.658,2.0723,835.14,BB,15m,train,0.325,767
10.0,0.125,403,0.588,2.3705,955.31,BB,15m,train,0.325,767
10.0,0.167,403,0.533,1.8772,756.49,BB,15m,train,0.325,767
10.0,0.25,403,0.474,1.7403,701.33,BB,15m,train,0.325,767
10.0,0.5,403,0.375,0.5563,224.19,BB,15m,train,0.325,767
10.0,1.0,403,0.293,-0.4548,-183.3,BB,15m,train,0.325,767
10.0,2.0,403,0.251,-2.1922,-883.46,BB,15m,train,0.325,767
10.0,5.0,403,0.186,-6.3831,-2572.38,BB,15m,train,0.325,767
2.0,0.083,403,0.687,2.1051,848.34,BB,15m,train,0.35,767
2.0,0.125,403,0.618,2.015,812.05,BB,15m,train,0.35,767
2.0,0.167,403,0.581,1.5297,616.45,BB,15m,train,0.35,767
2.0,0.25,403,0.543,1.0705,431.43,BB,15m,train,0.35,767
2.0,0.5,403,0.501,-0.1822,-73.44,BB,15m,train,0.35,767
2.0,1.0,403,0.452,-1.842,-742.32,BB,15m,train,0.35,767
2.0,2.0,403,0.385,-4.043,-1629.33,BB,15m,train,0.35,767
