kind,tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
BB,15m,0.325,4.0,0.125,1.7825,2.463,3.5937,132,403,197
BB,15m,0.325,5.0,0.125,1.7187,2.4468,3.6403,132,403,197
BB,15m,0.325,3.0,0.125,1.4907,2.4452,3.6689,132,403,197
BB,15m,0.675,3.0,0.083,1.3621,2.3866,2.9452,128,379,191
BB,15m,0.325,7.0,0.125,1.6006,2.3725,3.7012,132,403,197
BB,15m,0.325,10.0,0.125,1.6082,2.3705,3.7012,132,403,197
BB,15m,0.375,3.0,0.125,2.1636,2.3646,3.4332,130,401,194
BB,15m,0.4,3.0,0.125,1.274,2.3596,3.5618,133,402,191
BB,15m,0.375,5.0,0.125,2.4436,2.3555,3.4118,130,401,194
BB,15m,0.4,5.0,0.125,1.5145,2.351,3.6045,133,402,191
BB,15m,0.3,4.0,0.125,2.7746,2.3354,3.5416,134,402,199
BB,15m,0.425,5.0,0.125,1.3534,2.327,3.6048,135,400,191
BB,15m,0.3,5.0,0.125,2.597,2.3262,3.578,134,402,199
BB,15m,0.425,3.0,0.125,1.0928,2.3207,3.4884,135,400,191
BB,15m,0.325,2.0,0.125,1.4522,2.3099,2.9856,132,403,197
BB,15m,0.4,3.0,0.083,0.7834,2.2941,3.185,133,402,191
BB,15m,0.45,5.0,0.125,1.42,2.2935,3.2705,137,394,190
BB,15m,0.675,4.0,0.083,1.4748,2.2789,3.3521,128,379,191
BB,15m,0.45,4.0,0.125,1.2516,2.2783,3.468,137,394,190
BB,15m,0.375,4.0,0.125,2.3871,2.2737,3.4242,130,401,194
BB,15m,0.3,3.0,0.125,2.733,2.2731,3.4662,134,402,199
BB,15m,0.675,3.0,0.125,1.1479,2.2682,2.7172,128,379,191
BB,15m,0.4,4.0,0.125,1.4388,2.2595,3.71,133,402,191
BB,15m,0.675,5.0,0.083,1.4469,2.2497,3.3175,128,379,191
BB,15m,0.425,7.0,0.125,1.1628,2.2494,3.6814,135,400,191
BB,15m,0.3,2.0,0.125,2.624,2.2466,2.9866,134,402,199
BB,15m,0.45,3.0,0.125,1.1688,2.2435,3.1407,137,394,190
BB,15m,0.3,7.0,0.125,2.6172,2.2305,3.6304,134,402,199
BB,15m,0.3,2.0,0.083,2.3693,2.23,2.716,134,402,199
BB,15m,0.3,10.0,0.125,2.6291,2.2291,3.6304,134,402,199
BB,15m,0.625,7.0,0.125,0.5924,2.2239,3.0154,132,388,189
BB,15m,0.475,5.0,0.125,1.5809,2.222,3.48,136,395,189
BB,15m,0.575,7.0,0.125,0.7133,2.2206,3.1775,132,397,191
BB,15m,0.7,5.0,0.083,1.354,2.2205,3.3249,129,374,191
BB,15m,0.525,5.0,0.125,1.3087,2.2181,3.6645,134,392,189
BB,15m,0.375,3.0,0.083,1.5129,2.2176,3.2764,130,401,194
BB,15m,0.425,4.0,0.125,1.2347,2.2111,3.7364,135,400,191
BB,15m,0.375,7.0,0.125,2.2402,2.211,3.4773,130,401,194
BB,15m,0.675,7.0,0.125,1.0624,2.211,3.3254,128,379,191
BB,15m,0.575,5.0,0.125,0.7203,2.2094,3.2541,132,397,191
BB,15m,0.325,3.0,0.083,1.3654,2.2093,3.0987,132,403,197
BB,15m,0.375,10.0,0.125,2.2476,2.2092,3.478,130,401,194
BB,15m,0.525,4.0,0.125,1.1609,2.208,3.6419,134,392,189
BB,15m,0.4,7.0,0.125,1.3176,2.2078,3.6785,133,402,191
BB,15m,0.6,7.0,0.125,0.5364,2.2071,2.9899,131,392,191
BB,15m,0.4,10.0,0.125,1.3247,2.2065,3.6787,133,402,191
BB,15m,0.425,3.0,0.083,0.7113,2.2048,3.0473,135,400,191
BB,15m,0.475,7.0,0.125,1.3797,2.2019,3.5177,136,395,189
BB,15m,0.35,5.0,0.125,1.3262,2.2006,3.5386,134,403,195
BB,15m,0.325,2.0,0.083,1.2781,2.2003,2.7043,132,403,197
BB,15m,0.475,4.0,0.125,1.4097,2.1979,3.5984,136,395,189
BB,15m,0.475,3.0,0.125,1.3274,2.1975,3.3488,136,395,189
BB,15m,0.625,5.0,0.125,0.5672,2.1927,3.2282,132,388,189
BB,15m,0.425,10.0,0.125,1.1709,2.1918,3.6816,135,400,191
BB,15m,0.35,3.0,0.125,1.1639,2.1897,3.5484,134,403,195
BB,15m,0.675,5.0,0.125,1.0894,2.1877,3.3895,128,379,191
BB,15m,0.575,4.0,0.125,0.7186,2.1861,3.2378,132,397,191
BB,15m,0.45,7.0,0.125,1.2245,2.1857,3.3448,137,394,190
BB,15m,0.675,7.0,0.083,1.3543,2.1815,3.1709,128,379,191
BB,15m,0.5,5.0,0.125,1.61,2.1788,3.4246,134,397,190
BB,15m,0.625,4.0,0.125,0.618,2.1772,3.0649,132,388,189
BB,15m,0.525,7.0,0.125,1.265,2.1755,3.6869,134,392,189
BB,15m,0.5,7.0,0.125,1.418,2.1751,3.4779,134,397,190
BB,15m,0.7,4.0,0.083,1.3726,2.1728,3.2395,129,374,191
BB,15m,0.675,10.0,0.083,1.3608,2.1703,3.1864,128,379,191
BB,15m,0.45,3.0,0.083,0.6185,2.169,2.6355,137,394,190
BB,15m,0.65,4.0,0.083,1.0687,2.1679,3.2623,132,383,190
BB,15m,0.7,3.0,0.083,1.3829,2.1629,3.0632,129,374,191
BB,15m,0.6,3.0,0.125,0.4711,2.1611,2.7522,131,392,191
BB,15m,0.6,5.0,0.125,0.5154,2.1608,3.181,131,392,191
BB,15m,0.4,5.0,0.083,0.9267,2.1604,3.1114,133,402,191
BB,15m,0.525,10.0,0.125,1.2843,2.1561,3.6902,134,392,189
BB,15m,0.65,7.0,0.125,0.6979,2.1531,3.1461,132,383,190
BB,15m,0.525,3.0,0.125,1.0289,2.1529,3.3063,134,392,189
BB,15m,0.475,2.0,0.125,1.2999,2.1488,2.6681,136,395,189
BB,15m,0.575,10.0,0.125,0.7337,2.1487,3.2017,132,397,191
BB,15m,0.7,5.0,0.125,0.9721,2.1458,3.6053,129,374,191
BB,15m,0.6,4.0,0.125,0.5077,2.1446,3.0221,131,392,191
BB,15m,0.65,3.0,0.125,0.75,2.1446,2.6752,132,383,190
BB,15m,0.5,4.0,0.125,1.4357,2.1436,3.5508,134,397,190
BB,15m,0.65,4.0,0.125,0.7743,2.1407,3.1891,132,383,190
BB,15m,0.65,3.0,0.083,0.925,2.1402,2.9547,132,383,190
