r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
1.5,0.25,11047,0.439,-1.097,-12118.63,15m,train,0.3,16895
1.5,0.5,11047,0.339,-2.2262,-24592.78,15m,train,0.3,16895
1.5,0.75,11047,0.266,-3.0458,-33647.44,15m,train,0.3,16895
1.5,1.0,11047,0.215,-3.722,-41116.81,15m,train,0.3,16895
1.5,1.5,11047,0.151,-4.8567,-53651.91,15m,train,0.3,16895
1.5,2.0,11047,0.118,-5.7942,-64008.98,15m,train,0.3,16895
2.0,0.25,11047,0.43,-0.9517,-10513.02,15m,train,0.3,16895
2.0,0.5,11047,0.358,-2.1327,-23560.04,15m,train,0.3,16895
2.0,0.75,11047,0.303,-2.9762,-32878.59,15m,train,0.3,16895
2.0,1.0,11047,0.254,-3.6669,-40507.73,15m,train,0.3,16895
2.0,1.5,11047,0.188,-4.8184,-53228.63,15m,train,0.3,16895
2.0,2.0,11047,0.146,-5.7667,-63705.24,15m,train,0.3,16895
2.5,0.25,11047,0.413,-0.8217,-9077.42,15m,train,0.3,16895
2.5,0.5,11047,0.352,-2.0274,-22396.55,15m,train,0.3,16895
2.5,0.75,11047,0.312,-2.8849,-31869.35,15m,train,0.3,16895
2.5,1.0,11047,0.276,-3.5851,-39604.12,15m,train,0.3,16895
2.5,1.5,11047,0.218,-4.7449,-52416.75,15m,train,0.3,16895
2.5,2.0,11047,0.175,-5.7018,-62987.4,15m,train,0.3,16895
3.0,0.25,11047,0.397,-0.6954,-7682.54,15m,train,0.3,16895
3.0,0.5,11047,0.338,-1.9302,-21323.28,15m,train,0.3,16895
3.0,0.75,11047,0.307,-2.8087,-31027.27,15m,train,0.3,16895
3.0,1.0,11047,0.281,-3.5219,-38905.98,15m,train,0.3,16895
3.0,1.5,11047,0.237,-4.6956,-51872.68,15m,train,0.3,16895
3.0,2.0,11047,0.2,-5.6634,-62563.6,15m,train,0.3,16895
3.5,0.25,11047,0.385,-0.5745,-6347.03,15m,train,0.3,16895
3.5,0.5,11047,0.327,-1.8257,-20168.36,15m,train,0.3,16895
3.5,0.75,11047,0.298,-2.7193,-30040.04,15m,train,0.3,16895
3.5,1.0,11047,0.277,-3.4366,-37964.64,15m,train,0.3,16895
3.5,1.5,11047,0.245,-4.6215,-51053.3,15m,train,0.3,16895
3.5,2.0,11047,0.214,-5.6001,-61864.77,15m,train,0.3,16895
4.0,0.25,11047,0.376,-0.4657,-5144.17,15m,train,0.3,16895
4.0,0.5,11047,0.314,-1.7269,-19077.5,15m,train,0.3,16895
4.0,0.75,11047,0.287,-2.6387,-29150.24,15m,train,0.3,16895
4.0,1.0,11047,0.268,-3.3673,-37198.32,15m,train,0.3,16895
4.0,1.5,11047,0.243,-4.5614,-50389.43,15m,train,0.3,16895
4.0,2.0,11047,0.22,-5.5473,-61280.56,15m,train,0.3,16895
4.5,0.25,11047,0.368,-0.4013,-4433.22,15m,train,0.3,16895
4.5,0.5,11047,0.304,-1.6411,-18129.48,15m,train,0.3,16895
4.5,0.75,11047,0.278,-2.5527,-28199.7,15m,train,0.3,16895
4.5,1.0,11047,0.26,-3.2959,-36409.79,15m,train,0.3,16895
4.5,1.5,11047,0.238,-4.5007,-49718.85,15m,train,0.3,16895
4.5,2.0,11047,0.219,-5.4954,-60707.72,15m,train,0.3,16895
5.0,0.25,11047,0.362,-0.3517,-3885.57,15m,train,0.3,16895
5.0,0.5,11047,0.295,-1.5817,-17473.56,15m,train,0.3,16895
5.0,0.75,11047,0.268,-2.5048,-27670.98,15m,train,0.3,16895
5.0,1.0,11047,0.249,-3.2561,-35969.7,15m,train,0.3,16895
5.0,1.5,11047,0.227,-4.467,-49347.33,15m,train,0.3,16895
5.0,2.0,11047,0.212,-5.467,-60393.53,15m,train,0.3,16895
7.0,0.25,11047,0.35,-0.2018,-2229.66,15m,train,0.3,16895
7.0,0.5,11047,0.275,-1.3895,-15349.78,15m,train,0.3,16895
7.0,0.75,11047,0.241,-2.3217,-25647.34,15m,train,0.3,16895
7.0,1.0,11047,0.219,-3.0814,-34040.07,15m,train,0.3,16895
7.0,1.5,11047,0.2,-4.3135,-47651.7,15m,train,0.3,16895
7.0,2.0,11047,0.186,-5.3293,-58872.82,15m,train,0.3,16895
10.0,0.25,11047,0.344,-0.1382,-1526.63,15m,train,0.3,16895
10.0,0.5,11047,0.262,-1.276,-14095.74,15m,train,0.3,16895
10.0,0.75,11047,0.223,-2.2068,-24378.53,15m,train,0.3,16895
10.0,1.0,11047,0.197,-2.9571,-32666.56,15m,train,0.3,16895
10.0,1.5,11047,0.173,-4.1936,-46327.04,15m,train,0.3,16895
10.0,2.0,11047,0.157,-5.2258,-57729.14,15m,train,0.3,16895
1.5,0.25,11026,0.439,-1.096,-12084.86,15m,train,0.325,16895
1.5,0.5,11026,0.339,-2.2217,-24496.73,15m,train,0.325,16895
1.5,0.75,11026,0.265,-3.0409,-33528.45,15m,train,0.325,16895
1.5,1.0,11026,0.213,-3.7153,-40964.39,15m,train,0.325,16895
1.5,1.5,11026,0.149,-4.8525,-53503.46,15m,train,0.325,16895
1.5,2.0,11026,0.115,-5.7901,-63842.01,15m,train,0.325,16895
2.0,0.25,11026,0.429,-0.9602,-10586.82,15m,train,0.325,16895
2.0,0.5,11026,0.357,-2.1296,-23480.64,15m,train,0.325,16895
2.0,0.75,11026,0.301,-2.9731,-32781.11,15m,train,0.325,16895
2.0,1.0,11026,0.252,-3.6567,-40318.35,15m,train,0.325,16895
2.0,1.5,11026,0.185,-4.8083,-53016.33,15m,train,0.325,16895
2.0,2.0,11026,0.144,-5.7574,-63481.37,15m,train,0.325,16895
2.5,0.25,11026,0.413,-0.8265,-9113.37,15m,train,0.325,16895
2.5,0.5,11026,0.352,-2.0263,-22341.64,15m,train,0.325,16895
2.5,0.75,11026,0.311,-2.8855,-31815.28,15m,train,0.325,16895
2.5,1.0,11026,0.275,-3.5853,-39531.18,15m,train,0.325,16895
2.5,1.5,11026,0.216,-4.748,-52351.76,15m,train,0.325,16895
2.5,2.0,11026,0.172,-5.7022,-62872.96,15m,train,0.325,16895
3.0,0.25,11026,0.397,-0.7039,-7761.49,15m,train,0.325,16895
3.0,0.5,11026,0.338,-1.9326,-21309.24,15m,train,0.325,16895
3.0,0.75,11026,0.306,-2.8154,-31042.71,15m,train,0.325,16895
3.0,1.0,11026,0.279,-3.5242,-38857.67,15m,train,0.325,16895
3.0,1.5,11026,0.235,-4.6962,-51780.58,15m,train,0.325,16895
3.0,2.0,11026,0.197,-5.6609,-62417.18,15m,train,0.325,16895
3.5,0.25,11026,0.385,-0.5798,-6392.99,15m,train,0.325,16895
3.5,0.5,11026,0.327,-1.8224,-20093.33,15m,train,0.325,16895
3.5,0.75,11026,0.299,-2.7217,-30009.11,15m,train,0.325,16895
