tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
1h,0.65,10.0,0.25,0.7597,1.988,0.0739,841,2155,906
1h,0.675,10.0,0.25,0.8258,1.9324,0.1954,836,2139,901
1h,0.7,10.0,0.25,0.8457,1.9184,0.2655,832,2122,898
1h,0.65,7.0,0.25,0.6613,1.831,0.0964,841,2155,906
1h,0.675,7.0,0.25,0.7187,1.777,0.1705,836,2139,901
1h,0.7,7.0,0.25,0.7143,1.7409,0.2427,832,2122,898
2h,0.675,10.0,0.25,2.2881,3.7237,1.4821,377,985,398
2h,0.625,10.0,0.25,2.3407,3.6373,1.5707,384,997,404
2h,0.7,10.0,0.25,2.0126,3.6291,1.6411,374,974,397
2h,0.675,7.0,0.25,2.362,3.6235,1.5911,377,985,398
2h,0.625,7.0,0.25,2.374,3.6108,1.7095,384,997,404
2h,0.6,10.0,0.25,2.2788,3.5584,1.6007,386,1005,407
2h,0.6,7.0,0.25,2.3261,3.5401,1.6734,386,1005,407
2h,0.7,7.0,0.25,2.0424,3.5222,1.9226,374,974,397
2h,0.575,10.0,0.25,2.2133,3.4948,1.5459,390,1008,408
2h,0.575,7.0,0.25,2.283,3.4841,1.7066,390,1008,408
2h,0.55,10.0,0.25,2.1478,3.4662,1.8333,392,1016,410
2h,0.65,10.0,0.25,2.398,3.4639,1.4738,380,991,402
2h,0.55,7.0,0.25,1.8784,3.4561,1.7643,392,1016,410
2h,0.625,5.0,0.25,2.0989,3.4533,1.7232,384,997,404
2h,0.675,5.0,0.25,1.9667,3.4489,1.613,377,985,398
2h,0.65,7.0,0.25,2.4487,3.4419,1.5805,380,991,402
2h,0.525,7.0,0.25,1.9226,3.4387,1.8892,393,1023,412
2h,0.525,10.0,0.25,2.1883,3.4379,1.9625,393,1023,412
2h,0.6,5.0,0.25,2.0193,3.4377,1.7338,386,1005,407
2h,0.5,7.0,0.25,1.8538,3.4306,1.7767,396,1031,415
2h,0.625,4.5,0.25,1.994,3.4169,1.6575,384,997,404
2h,0.5,10.0,0.25,2.1316,3.4115,1.8115,396,1031,415
2h,0.45,7.0,0.25,1.518,3.385,0.8651,400,1047,427
2h,0.4,7.0,0.25,1.3799,3.3739,0.4644,405,1060,439
2h,0.575,5.0,0.25,1.9717,3.3729,1.725,390,1008,408
2h,0.475,7.0,0.25,1.6826,3.3653,1.5723,399,1038,418
2h,0.55,5.0,0.25,1.9286,3.3634,2.0137,392,1016,410
2h,0.675,4.5,0.25,1.83,3.3552,1.4775,377,985,398
2h,0.525,5.0,0.25,2.002,3.3515,2.1452,393,1023,412
2h,0.425,7.0,0.25,1.281,3.3484,0.712,402,1053,432
2h,0.475,10.0,0.25,1.9016,3.3476,1.6011,399,1038,418
2h,0.45,10.0,0.25,1.6952,3.3472,0.9127,400,1047,427
2h,0.4,10.0,0.25,1.5641,3.3316,0.4542,405,1060,439
2h,0.5,5.0,0.25,1.9112,3.3247,1.9468,396,1031,415
2h,0.35,7.0,0.25,1.264,3.3237,0.5916,413,1076,442
2h,0.6,4.5,0.25,1.9888,3.3185,1.6861,386,1005,407
2h,0.325,7.0,0.25,1.1702,3.3172,0.9353,417,1082,445
2h,0.7,5.0,0.25,1.7014,3.3115,1.7236,374,974,397
2h,0.425,10.0,0.25,1.4618,3.3082,0.7146,402,1053,432
2h,0.3,7.0,0.25,1.1672,3.3036,0.7519,421,1089,450
2h,0.375,7.0,0.25,1.2993,3.2991,0.8146,408,1066,440
2h,0.575,4.5,0.25,1.9146,3.2754,1.749,390,1008,408
2h,0.45,5.0,0.25,1.4933,3.2658,0.9891,400,1047,427
2h,0.3,10.0,0.25,1.3602,3.2657,0.7951,421,1089,450
2h,0.5,4.5,0.25,1.9007,3.2656,1.9608,396,1031,415
2h,0.35,10.0,0.25,1.4639,3.2641,0.6081,413,1076,442
2h,0.55,4.5,0.25,1.8292,3.2633,2.054,392,1016,410
2h,0.375,10.0,0.25,1.4831,3.263,0.8184,408,1066,440
2h,0.325,10.0,0.25,1.3707,3.2626,0.9641,417,1082,445
2h,0.4,5.0,0.25,1.4372,3.2618,0.5488,405,1060,439
2h,0.65,5.0,0.25,2.1231,3.2618,1.6225,380,991,402
2h,0.475,5.0,0.25,1.6548,3.2572,1.6743,399,1038,418
2h,0.7,4.5,0.25,1.6888,3.2557,1.6109,374,974,397
2h,0.525,4.5,0.25,1.9316,3.2504,2.0664,393,1023,412
2h,0.625,4.0,0.25,2.0359,3.243,1.4159,384,997,404
2h,0.675,4.0,0.25,1.8387,3.2404,1.4352,377,985,398
2h,0.45,4.5,0.25,1.3977,3.2329,1.0425,400,1047,427
2h,0.425,5.0,0.25,1.3045,3.2313,0.7834,402,1053,432
2h,0.3,5.0,0.25,1.2223,3.2143,0.5677,421,1089,450
2h,0.4,4.5,0.25,1.2749,3.2128,0.6086,405,1060,439
2h,0.475,4.5,0.25,1.6509,3.2123,1.7512,399,1038,418
2h,0.65,4.5,0.25,1.9412,3.21,1.4721,380,991,402
2h,0.6,4.0,0.25,1.918,3.2019,1.4481,386,1005,407
2h,0.325,5.0,0.25,1.2318,3.2004,0.71,417,1082,445
2h,0.55,4.0,0.25,1.7522,3.1944,1.8056,392,1016,410
2h,0.35,5.0,0.25,1.3261,3.1941,0.439,413,1076,442
2h,0.525,4.0,0.25,1.9284,3.1906,1.9383,393,1023,412
2h,0.675,3.5,0.25,1.6927,3.1845,1.4015,377,985,398
2h,0.425,4.5,0.25,1.1831,3.1844,0.7945,402,1053,432
2h,0.375,5.0,0.25,1.3227,3.1825,0.8922,408,1066,440
2h,0.625,3.5,0.25,1.7812,3.1693,1.3722,384,997,404
2h,0.575,4.0,0.25,1.778,3.1639,1.4729,390,1008,408
2h,0.7,4.0,0.25,1.5561,3.1501,1.6288,374,974,397
2h,0.4,4.0,0.25,1.1961,3.1494,0.711,405,1060,439
2h,0.5,4.0,0.25,1.9461,3.1426,1.9327,396,1031,415
2h,0.35,4.5,0.25,1.2129,3.1371,0.7252,413,1076,442
2h,0.3,4.5,0.25,1.1972,3.1369,0.5833,421,1089,450
2h,0.6,3.5,0.25,1.7929,3.1351,1.3231,386,1005,407
2h,0.375,4.5,0.25,1.1985,3.1333,0.9731,408,1066,440
2h,0.325,4.5,0.25,1.1931,3.131,1.0613,417,1082,445
2h,0.65,4.0,0.25,2.0282,3.124,1.3723,380,991,402
2h,0.45,4.0,0.25,1.3993,3.1168,1.0344,400,1047,427
2h,0.425,4.0,0.25,1.1017,3.1079,0.8548,402,1053,432
2h,0.375,4.0,0.25,1.0535,3.0989,1.06,408,1066,440
2h,0.475,4.0,0.25,1.6475,3.0948,1.7164,399,1038,418
2h,0.35,4.0,0.25,1.0585,3.0815,0.8412,413,1076,442
2h,0.3,4.0,0.25,1.0332,3.0765,0.8383,421,1089,450
2h,0.325,4.0,0.25,1.0347,3.0758,1.0205,417,1082,445
2h,0.6,3.0,0.25,1.5683,3.0484,1.4589,386,1005,407
2h,0.575,3.5,0.25,1.7453,3.0427,1.3619,390,1008,408
2h,0.4,3.5,0.25,1.204,3.0416,0.5786,405,1060,439
2h,0.625,3.0,0.25,1.5984,3.0383,1.1915,384,997,404
2h,0.7,3.5,0.25,1.3759,3.0364,1.4363,374,974,397
2h,0.525,3.5,0.25,1.7591,3.0351,1.7726,393,1023,412
2h,0.5,3.5,0.25,1.7314,3.0328,1.6541,396,1031,415
2h,0.65,3.5,0.25,1.786,3.0222,1.263,380,991,402
2h,0.55,3.5,0.25,1.7216,3.0179,1.5851,392,1016,410
2h,0.3,3.5,0.25,1.0156,3.0165,0.8527,421,1089,450
2h,0.45,3.5,0.25,1.3354,3.0158,0.857,400,1047,427
2h,0.475,3.5,0.25,1.5277,3.0005,1.4475,399,1038,418
2h,0.325,3.5,0.25,1.0949,2.9928,1.0068,417,1082,445
2h,0.425,3.5,0.25,1.1551,2.9834,0.7192,402,1053,432
2h,0.675,3.0,0.25,1.5777,2.9785,1.1921,377,985,398
2h,0.35,3.5,0.25,1.1531,2.9675,0.7271,413,1076,442
2h,0.575,3.0,0.25,1.5259,2.9428,1.5047,390,1008,408
2h,0.375,3.5,0.25,1.1708,2.9397,0.9142,408,1066,440
2h,0.625,10.0,0.5,1.628,2.9228,0.5895,384,997,404
2h,0.55,3.0,0.25,1.4911,2.921,1.5725,392,1016,410
2h,0.675,10.0,0.5,1.4328,2.908,0.5497,377,985,398
2h,0.6,10.0,0.5,1.4314,2.888,0.5842,386,1005,407
2h,0.525,3.0,0.25,1.5935,2.884,1.739,393,1023,412
2h,0.3,3.0,0.25,1.0293,2.876,0.7324,421,1089,450
2h,0.325,3.0,0.25,0.9604,2.8596,0.8799,417,1082,445
2h,0.5,3.0,0.25,1.6078,2.8565,1.5416,396,1031,415
2h,0.575,10.0,0.5,1.297,2.8503,0.7227,390,1008,408
2h,0.35,3.0,0.25,0.9549,2.8488,0.5719,413,1076,442
2h,0.65,3.0,0.25,1.5676,2.8362,1.119,380,991,402
2h,0.4,3.0,0.25,0.9711,2.8351,0.3653,405,1060,439
2h,0.7,3.0,0.25,1.2157,2.8276,1.2938,374,974,397
2h,0.475,3.0,0.25,1.3897,2.8201,1.3171,399,1038,418
2h,0.625,2.5,0.25,1.6187,2.8178,1.0723,384,997,404
2h,0.55,10.0,0.5,1.1322,2.8135,0.9628,392,1016,410
2h,0.6,2.5,0.25,1.5029,2.8057,1.3208,386,1005,407
2h,0.375,3.0,0.25,0.9194,2.8048,0.7366,408,1066,440
2h,0.65,10.0,0.5,1.6493,2.8004,0.5738,380,991,402
2h,0.45,3.0,0.25,1.1204,2.7934,0.6995,400,1047,427
2h,0.55,2.5,0.25,1.3245,2.7876,1.5596,392,1016,410
2h,0.425,3.0,0.25,0.8777,2.7823,0.4941,402,1053,432
2h,0.675,2.5,0.25,1.447,2.7782,0.981,377,985,398
