tf,split,haircut,n,win_rate,avg_pnl,total_pnl
15m,train,1.0,1519,0.504,2.286,3472.38
15m,train,0.9,1519,0.394,0.6281,954.05
15m,train,0.85,1519,0.352,-0.2009,-305.11
15m,train,0.8,1519,0.323,-1.0298,-1564.27
15m,validation,1.0,704,0.457,1.5409,1084.78
15m,validation,0.9,704,0.339,-0.5822,-409.84
15m,validation,0.85,704,0.298,-1.6437,-1157.15
15m,validation,0.8,704,0.257,-2.7052,-1904.46
15m,holdout,1.0,624,0.49,2.7989,1746.54
15m,holdout,0.9,624,0.401,0.8504,530.67
15m,holdout,0.85,624,0.369,-0.1238,-77.26
15m,holdout,0.8,624,0.351,-1.0981,-685.19
30m,train,1.0,679,0.582,2.2647,1537.71
30m,train,0.9,679,0.489,0.5959,404.6
30m,train,0.85,679,0.44,-0.2385,-161.95
30m,train,0.8,679,0.409,-1.0729,-728.51
30m,validation,1.0,358,0.57,3.3233,1189.73
30m,validation,0.9,358,0.489,1.2225,437.64
30m,validation,0.85,358,0.441,0.1721,61.6
30m,validation,0.8,358,0.408,-0.8783,-314.44
30m,holdout,1.0,283,0.618,4.4503,1259.43
30m,holdout,0.9,283,0.534,2.4808,702.08
30m,holdout,0.85,283,0.512,1.4961,423.41
30m,holdout,0.8,283,0.488,0.5114,144.73
1h,train,1.0,324,0.559,4.4868,1453.74
1h,train,0.9,324,0.426,1.5946,516.65
1h,train,0.85,324,0.389,0.1485,48.11
1h,train,0.8,324,0.33,-1.2976,-420.43
1h,validation,1.0,131,0.489,0.9899,129.67
1h,validation,0.9,131,0.351,-2.757,-361.16
1h,validation,0.85,131,0.321,-4.6304,-606.58
1h,validation,0.8,131,0.313,-6.5038,-852.0
1h,holdout,1.0,135,0.511,0.9849,132.97
1h,holdout,0.9,135,0.356,-2.3893,-322.56
1h,holdout,0.85,135,0.296,-4.0764,-550.32
1h,holdout,0.8,135,0.281,-5.7635,-778.08
2h,train,1.0,129,0.713,3.9584,510.64
2h,train,0.9,129,0.55,0.536,69.14
2h,train,0.85,129,0.488,-1.1753,-151.61
2h,train,0.8,129,0.403,-2.8865,-372.36
2h,validation,1.0,61,0.787,6.5507,399.59
2h,validation,0.9,61,0.721,2.4703,150.69
2h,validation,0.85,61,0.656,0.4302,26.24
2h,validation,0.8,61,0.607,-1.61,-98.21
2h,holdout,1.0,57,0.684,10.6728,608.35
2h,holdout,0.9,57,0.632,6.3134,359.87
2h,holdout,0.85,57,0.579,4.1338,235.62
2h,holdout,0.8,57,0.544,1.9541,111.38
