r_target,expiry_days,n,win_rate,avg_gross,avg_net,total_net,tf,split,depth_frac,n_zones
1.5,0.25,2620,0.505,0.9456,-0.4237,-1110.12,10m,train,0.3,3806
1.5,0.5,2620,0.49,0.87,-0.5033,-1318.72,10m,train,0.3,3806
1.5,0.75,2620,0.484,0.8389,-0.535,-1401.8,10m,train,0.3,3806
1.5,1.0,2620,0.481,0.8226,-0.5514,-1444.66,10m,train,0.3,3806
1.5,1.5,2620,0.478,0.8044,-0.5697,-1492.53,10m,train,0.3,3806
1.5,2.0,2620,0.477,0.7939,-0.5802,-1520.1,10m,train,0.3,3806
2.0,0.25,2620,0.473,1.1222,-0.2406,-630.28,10m,train,0.3,3806
2.0,0.5,2620,0.45,0.991,-0.3817,-1000.13,10m,train,0.3,3806
2.0,0.75,2620,0.44,0.9303,-0.4437,-1162.52,10m,train,0.3,3806
2.0,1.0,2620,0.435,0.9014,-0.4726,-1238.32,10m,train,0.3,3806
2.0,1.5,2620,0.433,0.8691,-0.505,-1323.02,10m,train,0.3,3806
2.0,2.0,2620,0.431,0.8506,-0.5235,-1371.48,10m,train,0.3,3806
2.5,0.25,2620,0.442,1.2786,-0.0736,-192.92,10m,train,0.3,3806
2.5,0.5,2620,0.412,1.0924,-0.2788,-730.35,10m,train,0.3,3806
2.5,0.75,2620,0.399,1.0104,-0.3629,-950.83,10m,train,0.3,3806
2.5,1.0,2620,0.394,0.9654,-0.4087,-1070.71,10m,train,0.3,3806
2.5,1.5,2620,0.389,0.9151,-0.4589,-1202.44,10m,train,0.3,3806
2.5,2.0,2620,0.386,0.8868,-0.4873,-1276.79,10m,train,0.3,3806
3.0,0.25,2620,0.426,1.4273,0.0872,228.57,10m,train,0.3,3806
3.0,0.5,2620,0.392,1.2023,-0.1671,-437.7,10m,train,0.3,3806
3.0,0.75,2620,0.376,1.0884,-0.2843,-744.78,10m,train,0.3,3806
3.0,1.0,2620,0.369,1.0334,-0.3402,-891.24,10m,train,0.3,3806
3.0,1.5,2620,0.361,0.9633,-0.4108,-1076.3,10m,train,0.3,3806
3.0,2.0,2620,0.357,0.925,-0.4491,-1176.67,10m,train,0.3,3806
3.5,0.25,2620,0.413,1.5638,0.2378,623.09,10m,train,0.3,3806
3.5,0.5,2620,0.374,1.2993,-0.0677,-177.49,10m,train,0.3,3806
3.5,0.75,2620,0.356,1.1573,-0.2149,-562.94,10m,train,0.3,3806
3.5,1.0,2620,0.348,1.0902,-0.2833,-742.26,10m,train,0.3,3806
3.5,1.5,2620,0.34,1.0086,-0.3654,-957.47,10m,train,0.3,3806
3.5,2.0,2620,0.335,0.9644,-0.4097,-1073.48,10m,train,0.3,3806
4.0,0.25,2620,0.4,1.6251,0.3126,818.93,10m,train,0.3,3806
4.0,0.5,2620,0.356,1.3619,-0.0004,-1.15,10m,train,0.3,3806
4.0,0.75,2620,0.337,1.2055,-0.1659,-434.78,10m,train,0.3,3806
4.0,1.0,2620,0.327,1.1235,-0.2498,-654.49,10m,train,0.3,3806
4.0,1.5,2620,0.318,1.0288,-0.3453,-904.77,10m,train,0.3,3806
4.0,2.0,2620,0.312,0.9775,-0.3966,-1039.2,10m,train,0.3,3806
4.5,0.25,2620,0.392,1.6891,0.3864,1012.29,10m,train,0.3,3806
4.5,0.5,2620,0.347,1.4069,0.0476,124.84,10m,train,0.3,3806
4.5,0.75,2620,0.326,1.2311,-0.1394,-365.3,10m,train,0.3,3806
4.5,1.0,2620,0.316,1.1447,-0.228,-597.33,10m,train,0.3,3806
4.5,1.5,2620,0.305,1.0395,-0.3346,-876.69,10m,train,0.3,3806
4.5,2.0,2620,0.296,0.9802,-0.3939,-1031.93,10m,train,0.3,3806
