r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
1.5,0.25,1577,0.601,1.1393,1796.67,15m,train,0.3,2354
1.5,0.5,1577,0.58,1.0378,1636.65,15m,train,0.3,2354
1.5,0.75,1577,0.571,0.9974,1572.91,15m,train,0.3,2354
1.5,1.0,1577,0.568,0.9647,1521.4,15m,train,0.3,2354
1.5,1.5,1577,0.563,0.939,1480.82,15m,train,0.3,2354
1.5,2.0,1577,0.56,0.9246,1458.03,15m,train,0.3,2354
2.0,0.25,1577,0.573,1.4253,2247.75,15m,train,0.3,2354
2.0,0.5,1577,0.543,1.2209,1925.37,15m,train,0.3,2354
2.0,0.75,1577,0.532,1.1624,1833.03,15m,train,0.3,2354
2.0,1.0,1577,0.526,1.1073,1746.23,15m,train,0.3,2354
2.0,1.5,1577,0.519,1.0578,1668.14,15m,train,0.3,2354
2.0,2.0,1577,0.514,1.0305,1625.07,15m,train,0.3,2354
2.5,0.25,1577,0.555,1.6478,2598.58,15m,train,0.3,2354
2.5,0.5,1577,0.522,1.4173,2235.16,15m,train,0.3,2354
2.5,0.75,1577,0.507,1.3369,2108.27,15m,train,0.3,2354
2.5,1.0,1577,0.502,1.2715,2005.11,15m,train,0.3,2354
2.5,1.5,1577,0.491,1.2103,1908.65,15m,train,0.3,2354
2.5,2.0,1577,0.485,1.1767,1855.58,15m,train,0.3,2354
3.0,0.25,1577,0.543,1.9056,3005.11,15m,train,0.3,2354
3.0,0.5,1577,0.506,1.657,2613.11,15m,train,0.3,2354
3.0,0.75,1577,0.488,1.5008,2366.7,15m,train,0.3,2354
3.0,1.0,1577,0.479,1.421,2240.84,15m,train,0.3,2354
3.0,1.5,1577,0.468,1.3373,2108.91,15m,train,0.3,2354
3.0,2.0,1577,0.462,1.2912,2036.16,15m,train,0.3,2354
3.5,0.25,1577,0.535,2.0633,3253.82,15m,train,0.3,2354
3.5,0.5,1577,0.495,1.8071,2849.78,15m,train,0.3,2354
3.5,0.75,1577,0.473,1.6473,2597.73,15m,train,0.3,2354
3.5,1.0,1577,0.464,1.5609,2461.48,15m,train,0.3,2354
3.5,1.5,1577,0.451,1.4654,2310.99,15m,train,0.3,2354
3.5,2.0,1577,0.443,1.4086,2221.32,15m,train,0.3,2354
4.0,0.25,1577,0.525,2.1357,3367.94,15m,train,0.3,2354
4.0,0.5,1577,0.482,1.8972,2991.88,15m,train,0.3,2354
4.0,0.75,1577,0.458,1.7254,2720.92,15m,train,0.3,2354
4.0,1.0,1577,0.448,1.6423,2589.99,15m,train,0.3,2354
4.0,1.5,1577,0.434,1.5055,2374.13,15m,train,0.3,2354
4.0,2.0,1577,0.425,1.4328,2259.5,15m,train,0.3,2354
4.5,0.25,1577,0.519,2.1661,3415.94,15m,train,0.3,2354
4.5,0.5,1577,0.473,1.9122,3015.58,15m,train,0.3,2354
4.5,0.75,1577,0.448,1.7458,2753.18,15m,train,0.3,2354
4.5,1.0,1577,0.436,1.6496,2601.5,15m,train,0.3,2354
4.5,1.5,1577,0.419,1.5046,2372.76,15m,train,0.3,2354
4.5,2.0,1577,0.41,1.3997,2207.26,15m,train,0.3,2354
5.0,0.25,1577,0.517,2.2523,3551.8,15m,train,0.3,2354
5.0,0.5,1577,0.471,2.0096,3169.18,15m,train,0.3,2354
5.0,0.75,1577,0.443,1.8419,2904.6,15m,train,0.3,2354
5.0,1.0,1577,0.431,1.7137,2702.56,15m,train,0.3,2354
5.0,1.5,1577,0.413,1.565,2468.04,15m,train,0.3,2354
5.0,2.0,1577,0.403,1.4605,2303.28,15m,train,0.3,2354
1.5,0.25,1573,0.603,1.1584,1822.17,15m,train,0.325,2354
1.5,0.5,1573,0.584,1.0584,1664.81,15m,train,0.325,2354
1.5,0.75,1573,0.576,1.0212,1606.34,15m,train,0.325,2354
1.5,1.0,1573,0.57,0.9885,1554.85,15m,train,0.325,2354
1.5,1.5,1573,0.565,0.9639,1516.22,15m,train,0.325,2354
1.5,2.0,1573,0.563,0.9505,1495.07,15m,train,0.325,2354
2.0,0.25,1573,0.572,1.377,2166.07,15m,train,0.325,2354
2.0,0.5,1573,0.545,1.1963,1881.84,15m,train,0.325,2354
2.0,0.75,1573,0.533,1.1419,1796.25,15m,train,0.325,2354
2.0,1.0,1573,0.525,1.0874,1710.46,15m,train,0.325,2354
2.0,1.5,1573,0.519,1.0394,1635.04,15m,train,0.325,2354
2.0,2.0,1573,0.516,1.0133,1593.86,15m,train,0.325,2354
2.5,0.25,1573,0.554,1.6588,2609.24,15m,train,0.325,2354
2.5,0.5,1573,0.524,1.4235,2239.13,15m,train,0.325,2354
2.5,0.75,1573,0.51,1.3534,2128.95,15m,train,0.325,2354
2.5,1.0,1573,0.502,1.2903,2029.71,15m,train,0.325,2354
2.5,1.5,1573,0.492,1.2319,1937.79,15m,train,0.325,2354
2.5,2.0,1573,0.488,1.1999,1887.38,15m,train,0.325,2354
3.0,0.25,1573,0.539,1.8719,2944.54,15m,train,0.325,2354
3.0,0.5,1573,0.507,1.6216,2550.74,15m,train,0.325,2354
3.0,0.75,1573,0.488,1.4696,2311.73,15m,train,0.325,2354
3.0,1.0,1573,0.478,1.3904,2187.09,15m,train,0.325,2354
3.0,1.5,1573,0.467,1.3083,2058.01,15m,train,0.325,2354
3.0,2.0,1573,0.462,1.2633,1987.21,15m,train,0.325,2354
3.5,0.25,1573,0.531,2.0306,3194.2,15m,train,0.325,2354
3.5,0.5,1573,0.497,1.7854,2808.5,15m,train,0.325,2354
3.5,0.75,1573,0.474,1.6237,2554.11,15m,train,0.325,2354
3.5,1.0,1573,0.463,1.5355,2415.29,15m,train,0.325,2354
3.5,1.5,1573,0.451,1.4454,2273.66,15m,train,0.325,2354
3.5,2.0,1573,0.446,1.3912,2188.4,15m,train,0.325,2354
4.0,0.25,1573,0.522,2.101,3304.87,15m,train,0.325,2354
4.0,0.5,1573,0.486,1.8721,2944.86,15m,train,0.325,2354
4.0,0.75,1573,0.46,1.7071,2685.25,15m,train,0.325,2354
4.0,1.0,1573,0.448,1.623,2552.97,15m,train,0.325,2354
4.0,1.5,1573,0.434,1.4872,2339.35,15m,train,0.325,2354
4.0,2.0,1573,0.428,1.4159,2227.2,15m,train,0.325,2354
4.5,0.25,1573,0.516,2.1419,3369.2,15m,train,0.325,2354
4.5,0.5,1573,0.476,1.8996,2988.07,15m,train,0.325,2354
4.5,0.75,1573,0.449,1.7309,2722.7,15m,train,0.325,2354
4.5,1.0,1573,0.435,1.6252,2556.49,15m,train,0.325,2354
4.5,1.5,1573,0.418,1.482,2331.25,15m,train,0.325,2354
4.5,2.0,1573,0.411,1.3861,2180.39,15m,train,0.325,2354
5.0,0.25,1573,0.513,2.207,3471.6,15m,train,0.325,2354
5.0,0.5,1573,0.474,2.0095,3160.89,15m,train,0.325,2354
5.0,0.75,1573,0.444,1.8504,2910.65,15m,train,0.325,2354
5.0,1.0,1573,0.43,1.7467,2747.61,15m,train,0.325,2354
5.0,1.5,1573,0.413,1.602,2520.02,15m,train,0.325,2354
5.0,2.0,1573,0.405,1.495,2351.68,15m,train,0.325,2354
1.5,0.25,1571,0.605,1.1477,1802.99,15m,train,0.35,2354
1.5,0.5,1571,0.584,1.0491,1648.09,15m,train,0.35,2354
1.5,0.75,1571,0.576,1.0146,1593.87,15m,train,0.35,2354
1.5,1.0,1571,0.572,0.9829,1544.11,15m,train,0.35,2354
1.5,1.5,1571,0.567,0.9594,1507.19,15m,train,0.35,2354
1.5,2.0,1571,0.562,0.9465,1487.0,15m,train,0.35,2354
2.0,0.25,1571,0.576,1.3851,2175.93,15m,train,0.35,2354
2.0,0.5,1571,0.549,1.2064,1895.19,15m,train,0.35,2354
2.0,0.75,1571,0.537,1.1528,1811.05,15m,train,0.35,2354
2.0,1.0,1571,0.531,1.0989,1726.32,15m,train,0.35,2354
2.0,1.5,1571,0.524,1.0517,1652.15,15m,train,0.35,2354
2.0,2.0,1571,0.518,1.026,1611.82,15m,train,0.35,2354
2.5,0.25,1571,0.554,1.6486,2589.88,15m,train,0.35,2354
2.5,0.5,1571,0.525,1.4101,2215.21,15m,train,0.35,2354
2.5,0.75,1571,0.509,1.3414,2107.34,15m,train,0.35,2354
2.5,1.0,1571,0.504,1.2792,2009.61,15m,train,0.35,2354
2.5,1.5,1571,0.493,1.2217,1919.33,15m,train,0.35,2354
2.5,2.0,1571,0.486,1.1903,1869.9,15m,train,0.35,2354
3.0,0.25,1571,0.54,1.8685,2935.34,15m,train,0.35,2354
3.0,0.5,1571,0.508,1.6194,2544.11,15m,train,0.35,2354
3.0,0.75,1571,0.489,1.4849,2332.82,15m,train,0.35,2354
3.0,1.0,1571,0.481,1.4078,2211.59,15m,train,0.35,2354
3.0,1.5,1571,0.47,1.3277,2085.86,15m,train,0.35,2354
3.0,2.0,1571,0.463,1.2838,2016.86,15m,train,0.35,2354
3.5,0.25,1571,0.535,2.0761,3261.53,15m,train,0.35,2354
3.5,0.5,1571,0.5,1.8315,2877.34,15m,train,0.35,2354
3.5,0.75,1571,0.479,1.6702,2623.89,15m,train,0.35,2354
3.5,1.0,1571,0.469,1.5821,2485.53,15m,train,0.35,2354
3.5,1.5,1571,0.458,1.4929,2345.29,15m,train,0.35,2354
3.5,2.0,1571,0.449,1.4393,2261.09,15m,train,0.35,2354
4.0,0.25,1571,0.525,2.1367,3356.79,15m,train,0.35,2354
4.0,0.5,1571,0.489,1.9286,3029.81,15m,train,0.35,2354
4.0,0.75,1571,0.463,1.7682,2777.86,15m,train,0.35,2354
4.0,1.0,1571,0.453,1.686,2648.64,15m,train,0.35,2354
4.0,1.5,1571,0.44,1.5541,2441.53,15m,train,0.35,2354
4.0,2.0,1571,0.431,1.4851,2333.03,15m,train,0.35,2354
4.5,0.25,1571,0.518,2.1519,3380.59,15m,train,0.35,2354
4.5,0.5,1571,0.479,1.9327,3036.23,15m,train,0.35,2354
4.5,0.75,1571,0.453,1.7598,2764.64,15m,train,0.35,2354
4.5,1.0,1571,0.44,1.6539,2598.21,15m,train,0.35,2354
4.5,1.5,1571,0.425,1.514,2378.47,15m,train,0.35,2354
4.5,2.0,1571,0.414,1.4192,2229.58,15m,train,0.35,2354
5.0,0.25,1571,0.516,2.234,3509.61,15m,train,0.35,2354
5.0,0.5,1571,0.476,2.0335,3194.59,15m,train,0.35,2354
5.0,0.75,1571,0.447,1.8743,2944.53,15m,train,0.35,2354
5.0,1.0,1571,0.434,1.7654,2773.47,15m,train,0.35,2354
5.0,1.5,1571,0.418,1.6291,2559.32,15m,train,0.35,2354
5.0,2.0,1571,0.406,1.5254,2396.44,15m,train,0.35,2354
1.5,0.25,1566,0.609,1.1257,1762.92,15m,train,0.375,2354
1.5,0.5,1566,0.587,1.0363,1622.86,15m,train,0.375,2354
1.5,0.75,1566,0.579,1.0048,1573.55,15m,train,0.375,2354
