r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
1.5,0.25,1577,0.463,-1.353,-2133.63,15m,train,0.3,2354
1.5,0.5,1577,0.372,-2.4867,-3921.55,15m,train,0.3,2354
1.5,0.75,1577,0.292,-3.3192,-5234.36,15m,train,0.3,2354
1.5,1.0,1577,0.226,-4.0196,-6338.84,15m,train,0.3,2354
1.5,1.5,1577,0.142,-5.1653,-8145.65,15m,train,0.3,2354
1.5,2.0,1577,0.101,-6.1239,-9657.31,15m,train,0.3,2354
2.0,0.25,1577,0.443,-1.0669,-1682.56,15m,train,0.3,2354
2.0,0.5,1577,0.377,-2.3036,-3632.83,15m,train,0.3,2354
2.0,0.75,1577,0.33,-3.1542,-4974.24,15m,train,0.3,2354
2.0,1.0,1577,0.276,-3.877,-6114.0,15m,train,0.3,2354
2.0,1.5,1577,0.193,-5.0465,-7958.34,15m,train,0.3,2354
2.0,2.0,1577,0.152,-6.0179,-9490.27,15m,train,0.3,2354
2.5,0.25,1577,0.425,-0.8445,-1331.72,15m,train,0.3,2354
2.5,0.5,1577,0.365,-2.1072,-3323.04,15m,train,0.3,2354
2.5,0.75,1577,0.331,-2.9797,-4699.01,15m,train,0.3,2354
2.5,1.0,1577,0.294,-3.7128,-5855.13,15m,train,0.3,2354
2.5,1.5,1577,0.241,-4.894,-7717.83,15m,train,0.3,2354
2.5,2.0,1577,0.199,-5.8718,-9259.76,15m,train,0.3,2354
3.0,0.25,1577,0.412,-0.5867,-925.2,15m,train,0.3,2354
3.0,0.5,1577,0.351,-1.8675,-2945.09,15m,train,0.3,2354
3.0,0.75,1577,0.322,-2.8158,-4440.57,15m,train,0.3,2354
3.0,1.0,1577,0.294,-3.5633,-5619.39,15m,train,0.3,2354
3.0,1.5,1577,0.256,-4.767,-7517.57,15m,train,0.3,2354
3.0,2.0,1577,0.227,-5.7573,-9079.18,15m,train,0.3,2354
3.5,0.25,1577,0.402,-0.429,-676.49,15m,train,0.3,2354
3.5,0.5,1577,0.335,-1.7175,-2708.43,15m,train,0.3,2354
3.5,0.75,1577,0.301,-2.6693,-4209.54,15m,train,0.3,2354
3.5,1.0,1577,0.285,-3.4234,-5398.75,15m,train,0.3,2354
3.5,1.5,1577,0.259,-4.6389,-7315.49,15m,train,0.3,2354
3.5,2.0,1577,0.238,-5.6398,-8894.02,15m,train,0.3,2354
4.0,0.25,1577,0.391,-0.3566,-562.37,15m,train,0.3,2354
4.0,0.5,1577,0.32,-1.6273,-2566.33,15m,train,0.3,2354
4.0,0.75,1577,0.285,-2.5912,-4086.35,15m,train,0.3,2354
4.0,1.0,1577,0.268,-3.3419,-5270.25,15m,train,0.3,2354
4.0,1.5,1577,0.25,-4.5988,-7252.34,15m,train,0.3,2354
4.0,2.0,1577,0.235,-5.6156,-8855.84,15m,train,0.3,2354
4.5,0.25,1577,0.38,-0.3262,-514.37,15m,train,0.3,2354
4.5,0.5,1577,0.303,-1.6123,-2542.62,15m,train,0.3,2354
4.5,0.75,1577,0.267,-2.5708,-4054.09,15m,train,0.3,2354
4.5,1.0,1577,0.249,-3.3346,-5258.74,15m,train,0.3,2354
4.5,1.5,1577,0.232,-4.5997,-7253.71,15m,train,0.3,2354
4.5,2.0,1577,0.219,-5.6488,-8908.08,15m,train,0.3,2354
5.0,0.25,1577,0.376,-0.24,-378.5,15m,train,0.3,2354
5.0,0.5,1577,0.295,-1.5149,-2389.02,15m,train,0.3,2354
5.0,0.75,1577,0.255,-2.4747,-3902.67,15m,train,0.3,2354
5.0,1.0,1577,0.235,-3.2706,-5157.67,15m,train,0.3,2354
5.0,1.5,1577,0.216,-4.5393,-7158.44,15m,train,0.3,2354
5.0,2.0,1577,0.207,-5.5879,-8812.06,15m,train,0.3,2354
1.5,0.25,1573,0.463,-1.3326,-2096.18,15m,train,0.325,2354
1.5,0.5,1573,0.368,-2.4644,-3876.48,15m,train,0.325,2354
1.5,0.75,1573,0.292,-3.2932,-5180.21,15m,train,0.325,2354
1.5,1.0,1573,0.223,-3.9933,-6281.46,15m,train,0.325,2354
1.5,1.5,1573,0.142,-5.1373,-8080.96,15m,train,0.325,2354
1.5,2.0,1573,0.099,-6.0944,-9586.45,15m,train,0.325,2354
2.0,0.25,1573,0.444,-1.114,-1752.27,15m,train,0.325,2354
2.0,0.5,1573,0.375,-2.3264,-3659.45,15m,train,0.325,2354
2.0,0.75,1573,0.325,-3.1725,-4990.31,15m,train,0.325,2354
2.0,1.0,1573,0.273,-3.8944,-6125.86,15m,train,0.325,2354
2.0,1.5,1573,0.188,-5.0618,-7962.14,15m,train,0.325,2354
2.0,2.0,1573,0.148,-6.0316,-9487.66,15m,train,0.325,2354
2.5,0.25,1573,0.428,-0.8322,-1309.1,15m,train,0.325,2354
2.5,0.5,1573,0.364,-2.0993,-3302.16,15m,train,0.325,2354
2.5,0.75,1573,0.329,-2.961,-4657.61,15m,train,0.325,2354
2.5,1.0,1573,0.294,-3.6914,-5806.61,15m,train,0.325,2354
2.5,1.5,1573,0.24,-4.8693,-7659.39,15m,train,0.325,2354
2.5,2.0,1573,0.2,-5.845,-9194.14,15m,train,0.325,2354
3.0,0.25,1573,0.41,-0.6191,-973.81,15m,train,0.325,2354
3.0,0.5,1573,0.35,-1.9012,-2990.55,15m,train,0.325,2354
3.0,0.75,1573,0.319,-2.8448,-4474.83,15m,train,0.325,2354
3.0,1.0,1573,0.292,-3.5914,-5649.22,15m,train,0.325,2354
3.0,1.5,1573,0.255,-4.7929,-7539.18,15m,train,0.325,2354
3.0,2.0,1573,0.224,-5.7815,-9094.31,15m,train,0.325,2354
3.5,0.25,1573,0.4,-0.4604,-724.15,15m,train,0.325,2354
3.5,0.5,1573,0.336,-1.7373,-2732.79,15m,train,0.325,2354
