tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
2h,0.625,5.0,0.25,5.7587,2.1582,1.6669,58,131,61
2h,0.7,5.0,0.25,6.3964,2.0919,1.5645,56,128,59
2h,0.7,4.0,0.25,6.0539,2.0766,1.8995,56,128,59
2h,0.7,4.5,0.25,6.2039,2.02,1.9799,56,128,59
2h,0.675,5.0,0.25,6.5871,2.0193,1.9498,57,129,61
2h,0.65,5.0,0.25,6.7612,2.0174,1.6689,57,130,61
2h,0.65,4.0,0.25,6.2724,2.0135,2.0571,57,130,61
2h,0.625,4.5,0.25,5.6906,2.01,1.4893,58,131,61
2h,0.675,4.0,0.25,6.1712,1.9664,2.2714,57,129,61
2h,0.625,3.5,0.25,5.2744,1.9559,1.8058,58,131,61
2h,0.65,4.5,0.25,6.5829,1.9431,1.6131,57,130,61
2h,0.675,4.5,0.25,6.2906,1.9382,1.8945,57,129,61
2h,0.7,3.0,0.25,5.7344,1.9165,1.7379,56,128,59
2h,0.625,4.0,0.25,5.2744,1.9051,2.0021,58,131,61
2h,0.6,5.0,0.25,5.6048,1.873,1.8045,58,133,62
2h,0.675,3.0,0.25,5.8913,1.823,2.1319,57,129,61
2h,0.65,3.5,0.25,6.2405,1.8136,1.931,57,130,61
2h,0.525,2.0,0.25,4.1934,1.8069,1.3438,58,133,64
2h,0.525,5.0,0.25,4.8999,1.7895,1.7385,58,133,64
2h,0.7,2.5,0.25,4.9398,1.7586,1.5681,56,128,59
2h,0.7,3.5,0.25,6.0576,1.749,1.7596,56,128,59
2h,0.625,2.5,0.25,4.954,1.7463,1.5684,58,131,61
2h,0.65,2.0,0.25,5.1321,1.7332,1.6014,57,130,61
2h,0.7,2.0,0.25,4.6509,1.719,1.2539,56,128,59
2h,0.65,2.5,0.25,5.7675,1.7118,1.756,57,130,61
2h,0.6,4.5,0.25,5.5366,1.7051,1.6275,58,133,62
2h,0.675,2.0,0.25,5.0398,1.7023,1.8725,57,129,61
2h,0.675,3.5,0.25,6.1454,1.6949,2.1338,57,129,61
2h,0.6,4.0,0.25,5.1165,1.6692,1.5632,58,133,62
2h,0.6,3.5,0.25,5.1165,1.6684,1.9362,58,133,62
2h,0.625,3.0,0.25,5.2466,1.6661,1.6633,58,131,61
2h,0.55,1.5,0.25,3.6393,1.6582,1.3712,58,133,64
2h,0.7,1.5,0.25,4.1549,1.6553,0.8893,56,128,59
2h,0.675,2.5,0.25,5.3241,1.6472,2.0159,57,129,61
2h,0.525,1.5,0.25,3.3251,1.6439,1.1525,58,133,64
2h,0.575,5.0,0.25,5.4499,1.6412,1.9191,58,133,63
2h,0.65,3.0,0.25,6.2453,1.6263,1.8479,57,130,61
2h,0.55,2.0,0.25,4.3336,1.6204,1.4934,58,133,64
2h,0.65,1.5,0.25,4.7342,1.589,1.2523,57,130,61
2h,0.525,4.5,0.25,4.9259,1.5788,1.6618,58,133,64
2h,0.625,2.0,0.25,4.1447,1.5757,1.476,58,131,61
2h,0.675,1.5,0.25,4.3408,1.5747,1.4346,57,129,61
2h,0.55,5.0,0.25,5.2941,1.5647,1.8064,58,133,64
2h,0.625,1.5,0.25,3.8435,1.5608,1.0898,58,131,61
2h,0.575,4.5,0.25,5.3816,1.5551,1.762,58,133,63
2h,0.55,4.5,0.25,5.2257,1.5039,1.65,58,133,64
2h,0.575,3.5,0.25,4.9577,1.5032,2.1362,58,133,63
2h,0.5,5.0,0.25,4.6701,1.4879,1.6266,58,135,64
2h,0.6,2.5,0.25,4.9145,1.4624,1.7975,58,133,62
2h,0.525,3.5,0.25,4.4939,1.4613,1.42,58,133,64
2h,0.575,4.0,0.25,5.0763,1.4337,1.6395,58,133,63
2h,0.525,4.0,0.25,4.9259,1.4177,1.5295,58,133,64
2h,0.55,3.5,0.25,4.7978,1.4028,2.0696,58,133,64
2h,0.55,4.0,0.25,5.2257,1.3322,1.5828,58,133,64
2h,0.475,1.5,0.25,3.369,1.3249,0.8465,58,137,64
2h,0.6,3.0,0.25,5.0875,1.2955,1.7975,58,133,62
2h,0.5,1.5,0.25,3.0822,1.2923,0.8756,58,135,64
2h,0.6,1.5,0.25,3.6687,1.2896,1.4863,58,133,62
2h,0.6,2.0,0.25,3.9775,1.2764,1.6051,58,133,62
2h,0.45,1.5,0.25,2.0996,1.2762,1.1519,59,137,65
2h,0.575,2.5,0.25,4.9152,1.267,1.7299,58,133,63
2h,0.525,3.0,0.25,4.4939,1.261,1.7396,58,133,64
2h,0.55,2.5,0.25,4.8546,1.2523,1.7186,58,133,64
2h,0.525,2.5,0.25,4.5514,1.2315,1.5662,58,133,64
2h,0.575,3.0,0.25,4.9205,1.1825,1.8146,58,133,63
2h,0.575,1.5,0.25,3.8091,1.1427,1.5386,58,133,63
2h,0.5,4.5,0.25,4.766,1.1382,1.4374,58,135,64
2h,0.575,2.0,0.25,4.206,1.1272,1.6584,58,133,63
2h,0.55,3.0,0.25,4.7978,1.0956,1.8494,58,133,64
2h,0.5,3.5,0.25,4.2615,1.0533,1.157,58,135,64
2h,0.625,5.0,0.5,4.0249,0.9985,1.7548,58,131,61
2h,0.5,4.0,0.25,4.6975,0.9775,1.2775,58,135,64
2h,0.5,3.0,0.25,4.2615,0.8921,1.7634,58,135,64
2h,0.475,5.0,0.25,4.6746,0.8802,1.5521,58,137,64
2h,0.65,5.0,0.5,4.9434,0.8792,1.7611,57,130,61
2h,0.7,5.0,0.5,4.9562,0.8593,1.7579,56,128,59
2h,0.625,4.5,0.5,4.0011,0.8282,1.5409,58,131,61
2h,0.675,5.0,0.5,4.9879,0.8146,2.2207,57,129,61
2h,0.4,5.0,0.25,0.3439,0.7983,2.413,61,138,65
2h,0.45,5.0,0.25,3.38,0.7827,1.5185,59,137,65
2h,0.7,3.0,0.5,5.558,0.7825,1.3278,56,128,59
2h,0.6,5.0,0.5,3.874,0.7796,1.9646,58,133,62
2h,0.425,5.0,0.25,1.5777,0.7741,2.2245,61,137,65
2h,0.7,4.5,0.5,4.5687,0.7333,1.9075,56,128,59
2h,0.5,2.0,0.25,4.0518,0.7314,1.0737,58,135,64
2h,0.4,1.5,0.25,0.8046,0.7222,1.51,61,138,65
2h,0.5,2.5,0.25,4.2176,0.721,1.3854,58,135,64
2h,0.7,4.0,0.5,5.6682,0.7176,1.905,56,128,59
2h,0.4,4.5,0.25,1.3278,0.7133,2.3168,61,138,65
2h,0.65,4.5,0.5,4.9073,0.6958,1.6875,57,130,61
2h,0.45,4.5,0.25,3.38,0.6824,1.5907,59,137,65
2h,0.425,4.5,0.25,1.5404,0.6686,2.4453,61,137,65
2h,0.65,4.0,0.5,4.4895,0.656,1.8955,57,130,61
2h,0.425,1.5,0.25,0.8094,0.6304,1.6566,61,137,65
2h,0.475,4.5,0.25,4.6701,0.6235,1.3425,58,137,64
2h,0.675,3.0,0.5,5.3853,0.6168,1.8736,57,129,61
2h,0.6,4.5,0.5,3.8502,0.6034,1.7521,58,133,62
2h,0.675,4.5,0.5,4.6094,0.6009,2.1174,57,129,61
2h,0.7,3.5,0.5,5.6578,0.589,1.6276,56,128,59
2h,0.625,4.0,0.5,3.596,0.5856,2.0103,58,131,61
2h,0.675,3.5,0.5,5.7204,0.5819,2.0554,57,129,61
2h,0.625,3.5,0.5,4.845,0.5693,1.6408,58,131,61
2h,0.675,4.0,0.5,4.559,0.5683,2.3278,57,129,61
2h,0.7,2.5,0.5,4.4655,0.561,0.9924,56,128,59
2h,0.625,3.0,0.5,4.7189,0.537,1.4336,58,131,61
2h,0.475,4.0,0.25,4.7035,0.4922,1.1433,58,137,64
2h,0.525,2.0,0.5,4.0002,0.4902,0.9005,58,133,64
2h,0.625,2.5,0.5,4.5537,0.4894,1.1255,58,131,61
2h,0.4,4.0,0.25,1.2624,0.4762,2.1411,61,138,65
2h,0.65,2.5,0.5,5.2443,0.476,1.3621,57,130,61
2h,0.65,2.0,0.5,4.3963,0.4653,1.1109,57,130,61
2h,0.65,3.0,0.5,5.5876,0.4578,1.5701,57,130,61
2h,0.6,4.0,0.5,3.4452,0.4439,1.7042,58,133,62
2h,0.675,2.0,0.5,4.4787,0.4404,1.375,57,129,61
2h,0.65,3.5,0.5,5.6007,0.4314,1.8655,57,130,61
2h,0.675,2.5,0.5,4.7198,0.3838,1.7015,57,129,61
2h,0.7,2.0,0.5,4.0129,0.367,0.4309,56,128,59
2h,0.45,4.0,0.25,3.4098,0.3647,1.4345,59,137,65
2h,0.625,2.0,0.5,3.4737,0.3607,0.9854,58,131,61
2h,0.425,4.0,0.25,1.5705,0.3481,2.115,61,137,65
2h,0.475,3.5,0.25,4.3902,0.3471,1.0212,58,137,64
2h,0.6,3.5,0.5,3.4266,0.3424,1.8436,58,133,62
2h,0.55,4.5,0.5,3.5232,0.3303,1.8029,58,133,64
2h,0.55,2.0,0.5,3.8915,0.3291,1.0194,58,133,64
2h,0.525,5.0,0.5,2.336,0.328,2.0209,58,133,64
2h,0.55,1.5,0.5,2.9751,0.3274,0.82,58,133,64
2h,0.7,1.5,0.5,2.9561,0.3091,0.1164,56,128,59
2h,0.475,3.0,0.25,4.4047,0.3046,1.5706,58,137,64
2h,0.45,3.0,0.25,3.1157,0.2994,1.8135,59,137,65
2h,0.525,1.5,0.5,2.8867,0.2936,0.6392,58,133,64
2h,0.575,4.5,0.5,3.6885,0.277,1.9678,58,133,63
2h,0.4,3.5,0.25,1.2442,0.2759,1.9303,61,138,65
2h,0.4,3.0,0.25,1.058,0.2731,1.7466,61,138,65
2h,0.6,2.5,0.5,4.1331,0.2516,1.5114,58,133,62
2h,0.45,3.5,0.25,3.1006,0.2426,1.3846,59,137,65
2h,0.525,4.0,0.5,3.4355,0.2397,1.8361,58,133,64
2h,0.425,3.5,0.25,1.2703,0.2378,2.0644,61,137,65
2h,0.425,3.0,0.25,1.2703,0.2252,2.4939,61,137,65
2h,0.6,3.0,0.5,4.5668,0.2041,1.6642,58,133,62
2h,0.65,1.5,0.5,3.8906,0.2035,0.5483,57,130,61
2h,0.475,2.5,0.25,4.4047,0.2017,1.3361,58,137,64
2h,0.5,5.0,0.5,2.0546,0.1978,2.1009,58,135,64
2h,0.575,4.0,0.5,3.3167,0.1924,1.6212,58,133,63
2h,0.625,1.5,0.5,3.0187,0.1706,0.3617,58,131,61
2h,0.525,3.5,0.5,3.0307,0.1686,1.454,58,133,64
2h,0.675,1.5,0.5,3.4392,0.1473,0.7604,57,129,61
