r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
5.0,0.25,1577,0.376,-0.24,-378.5,15m,train,0.3,2354
5.0,0.5,1577,0.295,-1.5149,-2389.02,15m,train,0.3,2354
5.0,0.75,1577,0.255,-2.4747,-3902.67,15m,train,0.3,2354
5.0,1.0,1577,0.235,-3.2706,-5157.67,15m,train,0.3,2354
5.0,1.5,1577,0.216,-4.5393,-7158.44,15m,train,0.3,2354
5.0,2.0,1577,0.207,-5.5879,-8812.06,15m,train,0.3,2354
6.0,0.25,1577,0.367,-0.2405,-379.3,15m,train,0.3,2354
6.0,0.5,1577,0.28,-1.5159,-2390.56,15m,train,0.3,2354
6.0,0.75,1577,0.237,-2.566,-4046.6,15m,train,0.3,2354
6.0,1.0,1577,0.214,-3.3854,-5338.83,15m,train,0.3,2354
6.0,1.5,1577,0.192,-4.6573,-7344.51,15m,train,0.3,2354
6.0,2.0,1577,0.183,-5.7051,-8996.96,15m,train,0.3,2354
7.0,0.25,1577,0.365,-0.1588,-250.4,15m,train,0.3,2354
7.0,0.5,1577,0.275,-1.3682,-2157.64,15m,train,0.3,2354
7.0,0.75,1577,0.232,-2.364,-3728.0,15m,train,0.3,2354
7.0,1.0,1577,0.207,-3.175,-5007.03,15m,train,0.3,2354
7.0,1.5,1577,0.186,-4.4528,-7022.07,15m,train,0.3,2354
7.0,2.0,1577,0.176,-5.4944,-8664.64,15m,train,0.3,2354
8.0,0.25,1577,0.364,-0.0988,-155.76,15m,train,0.3,2354
8.0,0.5,1577,0.272,-1.2513,-1973.29,15m,train,0.3,2354
8.0,0.75,1577,0.229,-2.2185,-3498.65,15m,train,0.3,2354
8.0,1.0,1577,0.203,-3.0046,-4738.31,15m,train,0.3,2354
8.0,1.5,1577,0.181,-4.2707,-6734.91,15m,train,0.3,2354
8.0,2.0,1577,0.168,-5.2969,-8353.15,15m,train,0.3,2354
10.0,0.25,1577,0.363,-0.0858,-135.27,15m,train,0.3,2354
10.0,0.5,1577,0.266,-1.2119,-1911.15,15m,train,0.3,2354
10.0,0.75,1577,0.219,-2.1583,-3403.6,15m,train,0.3,2354
10.0,1.0,1577,0.192,-2.9384,-4633.82,15m,train,0.3,2354
10.0,1.5,1577,0.167,-4.2338,-6676.65,15m,train,0.3,2354
10.0,2.0,1577,0.15,-5.267,-8306.04,15m,train,0.3,2354
12.0,0.25,1577,0.361,-0.0589,-92.88,15m,train,0.3,2354
12.0,0.5,1577,0.263,-1.1626,-1833.42,15m,train,0.3,2354
12.0,0.75,1577,0.214,-2.0535,-3238.31,15m,train,0.3,2354
12.0,1.0,1577,0.186,-2.8023,-4419.22,15m,train,0.3,2354
12.0,1.5,1577,0.159,-4.0235,-6345.12,15m,train,0.3,2354
12.0,2.0,1577,0.142,-5.0067,-7895.64,15m,train,0.3,2354
15.0,0.25,1577,0.361,-0.0406,-64.09,15m,train,0.3,2354
15.0,0.5,1577,0.262,-1.1557,-1822.52,15m,train,0.3,2354
15.0,0.75,1577,0.214,-2.0332,-3206.3,15m,train,0.3,2354
15.0,1.0,1577,0.185,-2.7461,-4330.61,15m,train,0.3,2354
15.0,1.5,1577,0.156,-3.9545,-6236.19,15m,train,0.3,2354
15.0,2.0,1577,0.136,-4.9168,-7753.77,15m,train,0.3,2354
20.0,0.25,1577,0.361,-0.0443,-69.86,15m,train,0.3,2354
20.0,0.5,1577,0.261,-1.1599,-1829.17,15m,train,0.3,2354
20.0,0.75,1577,0.211,-2.0228,-3189.91,15m,train,0.3,2354
20.0,1.0,1577,0.181,-2.7199,-4289.22,15m,train,0.3,2354
20.0,1.5,1577,0.15,-3.9112,-6167.99,15m,train,0.3,2354
20.0,2.0,1577,0.13,-4.8319,-7619.92,15m,train,0.3,2354
5.0,0.25,1573,0.374,-0.284,-446.75,15m,train,0.325,2354
5.0,0.5,1573,0.296,-1.5133,-2380.39,15m,train,0.325,2354
5.0,0.75,1573,0.255,-2.464,-3875.91,15m,train,0.325,2354
5.0,1.0,1573,0.238,-3.235,-5088.71,15m,train,0.325,2354
5.0,1.5,1573,0.219,-4.4991,-7077.16,15m,train,0.325,2354
5.0,2.0,1573,0.209,-5.5498,-8729.84,15m,train,0.325,2354
6.0,0.25,1573,0.366,-0.2638,-414.97,15m,train,0.325,2354
6.0,0.5,1573,0.281,-1.5204,-2391.54,15m,train,0.325,2354
6.0,0.75,1573,0.238,-2.5633,-4032.04,15m,train,0.325,2354
6.0,1.0,1573,0.216,-3.385,-5324.62,15m,train,0.325,2354
6.0,1.5,1573,0.194,-4.6536,-7320.07,15m,train,0.325,2354
6.0,2.0,1573,0.184,-5.6981,-8963.19,15m,train,0.325,2354
7.0,0.25,1573,0.363,-0.1833,-288.36,15m,train,0.325,2354
7.0,0.5,1573,0.275,-1.3794,-2169.81,15m,train,0.325,2354
7.0,0.75,1573,0.231,-2.3732,-3733.01,15m,train,0.325,2354
7.0,1.0,1573,0.207,-3.1927,-5022.16,15m,train,0.325,2354
7.0,1.5,1573,0.186,-4.4613,-7017.59,15m,train,0.325,2354
