tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
15m,0.3,5.0,0.25,2.572,2.2523,0.992,645,1577,731
15m,0.35,5.0,0.25,2.5174,2.234,0.891,643,1571,728
15m,0.325,5.0,0.25,2.5904,2.207,1.0718,643,1573,729
15m,0.375,5.0,0.25,2.6168,2.186,0.9451,640,1566,727
15m,0.4,5.0,0.25,2.5586,2.1809,0.9845,640,1563,726
15m,0.425,5.0,0.25,2.5234,2.1786,1.0536,640,1557,724
15m,0.3,4.5,0.25,2.4892,2.1661,0.8049,645,1577,731
15m,0.475,5.0,0.25,2.445,2.1579,1.0848,636,1544,719
15m,0.35,4.5,0.25,2.4113,2.1519,0.7564,643,1571,728
15m,0.45,5.0,0.25,2.4803,2.1441,1.0497,638,1550,723
15m,0.525,5.0,0.25,2.495,2.144,1.1283,628,1532,710
15m,0.375,4.5,0.25,2.505,2.1423,0.818,640,1566,727
15m,0.325,4.5,0.25,2.4581,2.1419,0.8881,643,1573,729
15m,0.35,4.0,0.25,2.2761,2.1367,0.8711,643,1571,728
15m,0.3,4.0,0.25,2.3344,2.1357,0.797,645,1577,731
15m,0.55,5.0,0.25,2.3803,2.1319,1.2443,627,1525,706
15m,0.425,4.5,0.25,2.4233,2.124,0.9999,640,1557,724
15m,0.375,4.0,0.25,2.3085,2.1197,0.8975,640,1566,727
15m,0.4,4.0,0.25,2.3331,2.1146,1.026,640,1563,726
15m,0.4,4.5,0.25,2.4782,2.1135,0.9306,640,1563,726
15m,0.5,5.0,0.25,2.525,2.111,1.1359,631,1535,715
15m,0.425,4.0,0.25,2.2795,2.1072,1.057,640,1557,724
15m,0.55,4.5,0.25,2.1837,2.1037,1.271,627,1525,706
15m,0.325,4.0,0.25,2.3054,2.101,0.9761,643,1573,729
15m,0.575,4.5,0.25,2.2271,2.0997,1.2583,624,1519,704
15m,0.475,4.5,0.25,2.3543,2.097,1.1465,636,1544,719
15m,0.45,4.5,0.25,2.3508,2.0965,0.9998,638,1550,723
15m,0.525,4.5,0.25,2.3245,2.0875,1.251,628,1532,710
15m,0.675,5.0,0.25,2.2191,2.0822,1.434,611,1489,692
15m,0.6,4.5,0.25,2.1024,2.0783,1.3433,618,1513,703
15m,0.475,4.0,0.25,2.1971,2.0766,1.0601,636,1544,719
15m,0.35,3.5,0.25,2.1002,2.0761,0.8016,643,1571,728
15m,0.575,5.0,0.25,2.4088,2.0735,1.2716,624,1519,704
15m,0.3,3.5,0.25,2.1159,2.0633,0.8161,645,1577,731
15m,0.5,4.5,0.25,2.3845,2.0585,1.2236,631,1535,715
15m,0.45,4.0,0.25,2.2533,2.0516,1.0194,638,1550,723
15m,0.6,5.0,0.25,2.1823,2.0481,1.3206,618,1513,703
15m,0.375,3.5,0.25,2.1638,2.0475,0.8213,640,1566,727
15m,0.7,5.0,0.25,2.1692,2.0431,1.5384,611,1485,687
15m,0.5,4.0,0.25,2.2493,2.0384,1.141,631,1535,715
15m,0.525,4.0,0.25,2.2202,2.0361,1.1109,628,1532,710
15m,0.65,5.0,0.25,2.1522,2.0351,1.4139,613,1496,695
15m,0.35,5.0,0.5,2.4928,2.0335,0.6454,643,1571,728
15m,0.325,3.5,0.25,2.1419,2.0306,0.9357,643,1573,729
15m,0.625,4.5,0.25,2.0969,2.0223,1.3837,617,1505,701
15m,0.55,4.0,0.25,2.0765,2.0097,1.1782,627,1525,706
15m,0.3,5.0,0.5,2.5767,2.0096,0.716,645,1577,731
15m,0.325,5.0,0.5,2.588,2.0095,0.7832,643,1573,729
15m,0.4,3.5,0.25,2.1618,2.0057,0.9242,640,1563,726
15m,0.625,5.0,0.25,2.2147,2.0026,1.4766,617,1505,701
15m,0.425,3.5,0.25,2.1141,1.9987,0.9735,640,1557,724
15m,0.675,4.5,0.25,2.1889,1.9976,1.4421,611,1489,692
15m,0.65,4.5,0.25,2.0881,1.9822,1.3865,613,1496,695
15m,0.7,4.5,0.25,2.1387,1.9737,1.5034,611,1485,687
15m,0.575,4.0,0.25,2.1901,1.9484,1.1971,624,1519,704
15m,0.375,5.0,0.5,2.6309,1.9399,0.6233,640,1566,727
15m,0.35,4.5,0.5,2.3021,1.9327,0.4842,643,1571,728
15m,0.35,4.0,0.5,2.2263,1.9286,0.5726,643,1571,728
15m,0.45,3.5,0.25,2.0862,1.9274,0.9601,638,1550,723
15m,0.4,5.0,0.5,2.5674,1.9264,0.6409,640,1563,726
15m,0.525,5.0,0.5,2.3934,1.9264,0.8477,628,1532,710
15m,0.425,5.0,0.5,2.4853,1.9238,0.7179,640,1557,724
15m,0.475,5.0,0.5,2.3704,1.919,0.8256,636,1544,719
15m,0.475,3.5,0.25,2.0635,1.9143,0.9675,636,1544,719
15m,0.3,4.5,0.5,2.4015,1.9122,0.4895,645,1577,731
15m,0.3,3.0,0.25,2.0254,1.9056,0.7712,645,1577,731
15m,0.375,4.5,0.5,2.4088,1.9015,0.5061,640,1566,727
15m,0.325,4.5,0.5,2.3522,1.8996,0.5559,643,1573,729
15m,0.6,4.0,0.25,2.0674,1.8995,1.3103,618,1513,703
15m,0.55,5.0,0.5,2.2595,1.8981,1.0039,627,1525,706
15m,0.675,4.0,0.25,2.0996,1.8978,1.4313,611,1489,692
15m,0.3,4.0,0.5,2.3152,1.8972,0.4529,645,1577,731
15m,0.425,4.5,0.5,2.3104,1.8943,0.6879,640,1557,724
15m,0.375,4.0,0.5,2.2537,1.8939,0.562,640,1566,727
15m,0.45,5.0,0.5,2.4211,1.8915,0.759,638,1550,723
15m,0.575,4.5,0.5,2.1583,1.8845,0.975,624,1519,704
15m,0.7,4.0,0.25,2.0942,1.8793,1.5378,611,1485,687
15m,0.45,4.5,0.5,2.366,1.8768,0.7104,638,1550,723
15m,0.6,4.5,0.5,2.0115,1.8761,1.0666,618,1513,703
15m,0.35,5.0,0.75,2.4105,1.8743,0.498,643,1571,728
15m,0.5,5.0,0.5,2.424,1.8741,0.8639,631,1535,715
15m,0.675,5.0,0.5,2.1948,1.8722,1.1685,611,1489,692
15m,0.325,4.0,0.5,2.2767,1.8721,0.5986,643,1573,729
15m,0.325,3.0,0.25,2.0269,1.8719,0.8496,643,1573,729
15m,0.65,4.0,0.25,1.9934,1.8718,1.34,613,1496,695
15m,0.475,4.5,0.5,2.374,1.8716,0.8971,636,1544,719
15m,0.35,3.0,0.25,1.9865,1.8685,0.7777,643,1571,728
15m,0.525,3.5,0.25,2.1496,1.8683,1.1152,628,1532,710
15m,0.55,4.5,0.5,2.1684,1.8619,1.0087,627,1525,706
15m,0.7,5.0,0.5,2.1099,1.8586,1.3393,611,1485,687
15m,0.4,4.5,0.5,2.3875,1.8583,0.6239,640,1563,726
15m,0.4,4.0,0.5,2.3314,1.8578,0.7094,640,1563,726
15m,0.625,4.0,0.25,2.0303,1.8513,1.3775,617,1505,701
15m,0.325,5.0,0.75,2.5053,1.8504,0.631,643,1573,729
15m,0.425,4.0,0.5,2.2495,1.8479,0.7476,640,1557,724
15m,0.55,3.5,0.25,1.9822,1.8454,1.1874,627,1525,706
15m,0.5,3.5,0.25,2.1508,1.8438,1.1552,631,1535,715
15m,0.3,5.0,0.75,2.4751,1.8419,0.564,645,1577,731
15m,0.575,5.0,0.5,2.4421,1.8359,1.0257,624,1519,704
15m,0.35,3.5,0.5,1.9604,1.8315,0.4921,643,1571,728
15m,0.525,4.5,0.5,2.3317,1.8301,0.9982,628,1532,710
15m,0.475,4.0,0.5,2.1486,1.8262,0.7837,636,1544,719
15m,0.5,4.5,0.5,2.4146,1.8257,0.9639,631,1535,715
15m,0.375,3.0,0.25,1.9854,1.8197,0.835,640,1566,727
15m,0.65,5.0,0.5,2.118,1.819,1.1364,613,1496,695
15m,0.6,5.0,0.5,2.19,1.8106,1.0693,618,1513,703
15m,0.3,3.5,0.5,1.9938,1.8071,0.464,645,1577,731
15m,0.45,4.0,0.5,2.2157,1.8059,0.7384,638,1550,723
15m,0.625,4.5,0.5,2.0296,1.8053,1.1018,617,1505,701
15m,0.5,4.0,0.5,2.1857,1.8017,0.8494,631,1535,715
15m,0.575,3.5,0.25,1.996,1.7878,1.2189,624,1519,704
15m,0.7,4.5,0.5,2.0254,1.7869,1.2931,611,1485,687
15m,0.325,3.5,0.5,2.0263,1.7854,0.64,643,1573,729
15m,0.675,4.5,0.5,2.1442,1.7854,1.2132,611,1489,692
15m,0.525,4.0,0.5,2.1617,1.7851,0.8266,628,1532,710
15m,0.375,3.5,0.5,2.0255,1.7848,0.487,640,1566,727
15m,0.375,5.0,0.75,2.5591,1.775,0.5481,640,1566,727
15m,0.425,3.0,0.25,1.9265,1.773,1.0521,640,1557,724
15m,0.35,4.0,0.75,2.1076,1.7682,0.4786,643,1571,728
15m,0.4,5.0,0.75,2.5025,1.7658,0.5637,640,1563,726
15m,0.35,5.0,1.0,2.3122,1.7654,0.4419,643,1571,728
15m,0.4,3.0,0.25,1.939,1.7643,0.9452,640,1563,726
15m,0.4,3.5,0.5,2.057,1.7617,0.572,640,1563,726
15m,0.55,4.0,0.5,1.9869,1.7608,0.8903,627,1525,706
15m,0.35,4.5,0.75,2.2096,1.7598,0.3875,643,1571,728
15m,0.425,3.5,0.5,1.9978,1.759,0.6398,640,1557,724
15m,0.65,4.5,0.5,2.0387,1.758,1.1103,613,1496,695
15m,0.425,5.0,0.75,2.4095,1.7565,0.6445,640,1557,724
15m,0.625,5.0,0.5,2.1984,1.7545,1.2164,617,1505,701
15m,0.525,5.0,0.75,2.3156,1.7515,0.7841,628,1532,710
15m,0.325,5.0,1.0,2.3945,1.7467,0.5694,643,1573,729
15m,0.6,3.5,0.25,1.8795,1.7464,1.3499,618,1513,703
15m,0.3,4.5,0.75,2.2767,1.7458,0.3827,645,1577,731
15m,0.375,4.0,0.75,2.1331,1.7426,0.4902,640,1566,727
15m,0.425,4.5,0.75,2.2376,1.738,0.6205,640,1557,724
15m,0.475,5.0,0.75,2.3121,1.7368,0.7689,636,1544,719
15m,0.375,4.5,0.75,2.322,1.7312,0.4334,640,1566,727
15m,0.325,4.5,0.75,2.2291,1.7309,0.4491,643,1573,729
15m,0.675,5.0,0.75,2.0677,1.7269,1.0986,611,1489,692
15m,0.3,4.0,0.75,2.2146,1.7254,0.3493,645,1577,731
15m,0.575,4.5,0.75,2.0331,1.7228,0.9084,624,1519,704
15m,0.55,5.0,0.75,2.1783,1.7206,0.9563,627,1525,706
15m,0.45,4.5,0.75,2.2835,1.7185,0.652,638,1550,723
15m,0.7,5.0,0.75,2.0288,1.718,1.2855,611,1485,687
15m,0.6,4.5,0.75,1.8683,1.7157,1.0035,618,1513,703
15m,0.3,5.0,1.0,2.3536,1.7137,0.4628,645,1577,731
15m,0.45,5.0,0.75,2.3603,1.711,0.6988,638,1550,723
15m,0.575,4.0,0.5,2.1592,1.7089,0.9043,624,1519,704
15m,0.45,3.0,0.25,1.9369,1.7075,0.9927,638,1550,723
15m,0.325,4.0,0.75,2.1755,1.7071,0.4883,643,1573,729
15m,0.475,4.5,0.75,2.2928,1.7052,0.8453,636,1544,719
15m,0.5,5.0,0.75,2.3533,1.6948,0.8033,631,1535,715
15m,0.7,4.0,0.5,1.9641,1.6941,1.3683,611,1485,687
15m,0.675,4.0,0.5,1.9982,1.6936,1.2258,611,1489,692
15m,0.4,4.0,0.75,2.231,1.6935,0.6395,640,1563,726
15m,0.4,4.5,0.75,2.3037,1.6917,0.5572,640,1563,726
15m,0.425,4.0,0.75,2.1493,1.6886,0.6826,640,1557,724
15m,0.475,3.0,0.25,1.896,1.6869,0.9889,636,1544,719
15m,0.675,3.5,0.25,1.891,1.6869,1.4422,611,1489,692
15m,0.35,4.0,1.0,1.9989,1.686,0.4236,643,1571,728
15m,0.625,3.5,0.25,1.8791,1.6807,1.3997,617,1505,701
15m,0.55,4.5,0.75,2.0765,1.6781,0.9495,627,1525,706
15m,0.65,3.5,0.25,1.882,1.6778,1.4191,613,1496,695
15m,0.7,4.5,0.75,1.9368,1.6756,1.2411,611,1485,687
15m,0.6,4.0,0.5,2.0063,1.6713,1.0382,618,1513,703
15m,0.45,3.5,0.5,1.9778,1.6708,0.6548,638,1550,723
15m,0.675,4.5,0.75,2.0158,1.6705,1.1568,611,1489,692
15m,0.35,3.5,0.75,1.8117,1.6702,0.3917,643,1571,728
15m,0.7,3.5,0.25,1.7565,1.6675,1.4315,611,1485,687
15m,0.625,4.5,0.75,1.8974,1.6642,1.0371,617,1505,701
15m,0.375,4.0,1.0,2.0245,1.6634,0.4378,640,1566,727
15m,0.375,5.0,1.0,2.4657,1.6621,0.4957,640,1566,727
15m,0.65,4.0,0.5,1.8809,1.6608,1.112,613,1496,695
