tf,split,hour,dow,net
15m,train,15,5,-1.1771918886151698
15m,train,8,6,-1.4867115053463715
15m,train,15,0,13.097040222121642
15m,train,19,0,13.279190791185798
15m,train,4,1,1.3755503236263862
15m,train,12,1,0.5333541795259835
15m,train,2,2,-1.9454413403007762
15m,train,4,2,1.2123553080257858
15m,train,19,4,-2.7489798381967705
15m,train,22,4,0.10725776901588602
15m,train,12,5,-8.385447352997364
15m,train,7,6,3.1352319960071857
15m,train,12,6,-3.0357548541476467
15m,train,23,6,-7.800426353438387
15m,train,10,0,-2.2901515407376536
15m,train,18,1,-1.7793280482960527
15m,train,20,1,-1.1606737300015433
15m,train,5,3,-4.753846571342293
15m,train,21,5,-1.175567386189007
15m,train,1,6,-0.4874480234789298
15m,train,9,6,0.5221819646637726
15m,train,18,6,-0.9531652365650087
15m,train,20,0,7.192644916053197
15m,train,4,1,6.065766767095178
15m,train,20,2,-15.750775474456969
15m,train,1,3,-2.4534578553000204
15m,train,8,3,-5.445269931436555
15m,train,8,4,-6.126508221378389
15m,train,0,4,-2.227113101450812
15m,train,11,5,11.865478012078668
15m,train,11,5,12.030553809974206
15m,train,9,6,-0.25523742764026985
15m,train,23,6,-0.9144397891691056
15m,train,2,0,0.6366055335760661
15m,train,13,0,-3.344596383514056
15m,train,1,1,0.3477899747365802
15m,train,9,1,-4.846056163379456
15m,train,12,1,-2.6004944260121965
15m,train,4,2,0.4870872625993791
15m,train,5,2,7.171934720838815
15m,train,15,4,-4.737914843364369
15m,train,15,4,-0.16812123341193325
15m,train,15,5,-103.42553234647663
15m,train,8,5,-1.8489108079540655
15m,train,17,6,14.386411987297931
15m,train,9,6,10.721406027063153
15m,train,13,6,-6.612064690628949
15m,train,10,2,0.526675036535788
15m,train,12,1,-3.4544171538479977
15m,train,11,2,-5.340803720985418
15m,train,12,3,-14.139851448787457
15m,train,11,3,4.031315283639076
15m,train,7,4,-7.260844615774388
15m,train,3,5,-2.900285587497126
15m,train,7,5,-0.024402542758210133
15m,train,13,0,-3.14295490018733
15m,train,9,0,-3.7189940986292367
15m,train,6,1,-3.098833357328396
15m,train,11,1,2.6146540644466256
15m,train,5,2,-0.7292221003137058
15m,train,11,2,-5.284226250353654
15m,train,13,2,-1.940964176355416
15m,train,11,3,-5.234434081109858
15m,train,12,3,1.7060223484993584
15m,train,14,3,-5.346912998090816
15m,train,0,4,-12.868603970624253
15m,train,1,4,19.055132632699216
15m,train,5,4,0.221324182758445
15m,train,14,4,-0.002108420460766869
15m,train,8,4,1.2372997523173508
15m,train,16,5,16.57820723539725
15m,train,21,5,-7.492054639814805
15m,train,11,6,0.08277153825231387
15m,train,23,6,19.42066814422774
15m,train,18,0,-3.310579508605085
15m,train,19,0,0.30783980034067665
15m,train,22,0,-5.952513589402409
15m,train,7,1,-2.689724760629671
