zone_kind,r_target,expiry_days,n,buy_win_rate,buy_avg_pnl_$,buy_avg_ret_%,sell_win_rate,sell_avg_pnl_$,sell_avg_ret_%
BB,1.5,1.0,290,0.5,2.9,7.7,0.528,1.08,3.6
BB,2.0,1.0,290,0.452,3.6,10.9,0.493,1.35,5.2
BB,1.5,3.0,290,0.5,2.64,4.1,0.517,1.33,2.4
BB,2.0,3.0,290,0.455,3.32,5.8,0.472,1.63,3.5
MB,1.5,1.0,776,0.482,1.89,5.6,0.514,1.83,5.1
MB,2.0,1.0,776,0.407,2.12,6.2,0.447,1.94,5.5
MB,1.5,3.0,776,0.483,1.87,3.1,0.495,1.8,2.9
MB,2.0,3.0,776,0.409,2.17,3.6,0.424,1.98,3.2
OB,1.5,1.0,867,0.546,1.15,3.2,0.567,1.08,3.0
OB,2.0,1.0,867,0.496,1.18,3.2,0.525,1.18,3.3
OB,1.5,3.0,867,0.551,1.14,1.9,0.562,1.09,1.8
OB,2.0,3.0,867,0.501,1.18,1.9,0.514,1.18,1.9
