zone_kind,r_target,expiry_days,n,buy_win_rate,buy_avg_pnl_$,buy_avg_ret_%,sell_win_rate,sell_avg_pnl_$,sell_avg_ret_%
BB,1.5,1.0,221,0.471,3.17,7.0,0.502,0.78,1.6
BB,2.0,1.0,221,0.412,3.74,9.5,0.462,0.85,2.4
BB,1.5,3.0,221,0.471,2.84,3.6,0.489,1.12,1.4
BB,2.0,3.0,221,0.416,3.39,4.9,0.434,1.2,1.9
MB,1.5,1.0,597,0.477,2.05,5.2,0.508,1.91,4.4
MB,2.0,1.0,597,0.405,2.34,5.9,0.444,2.07,5.0
MB,1.5,3.0,597,0.479,2.05,2.9,0.494,1.96,2.7
MB,2.0,3.0,597,0.405,2.39,3.4,0.424,2.15,3.0
OB,1.5,1.0,660,0.567,1.41,3.7,0.586,1.32,3.5
OB,2.0,1.0,660,0.512,1.46,3.8,0.538,1.44,3.8
OB,1.5,3.0,660,0.574,1.4,2.1,0.583,1.34,2.0
OB,2.0,3.0,660,0.518,1.45,2.2,0.53,1.44,2.2
