final_balance,total_return_pct,max_dd_pct,calmar,n_closed,ob_w,mb_w,bb_w,ob_cap,mb_cap,bb_cap,global_cap
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,2,1,1,3
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,2,1,1,4
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,2,1,1,6
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,2,1,1,8
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,2,1,2,3
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,2,1,2,4
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,2,1,2,6
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,2,1,2,8
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,2,2,1,3
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,2,2,1,4
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,2,2,1,6
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,2,2,1,8
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,2,2,2,3
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,2,2,2,4
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,2,2,2,6
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,2,2,2,8
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,2,3,1,3
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,2,3,1,4
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,2,3,1,6
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,2,3,1,8
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,2,3,2,3
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,2,3,2,4
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,2,3,2,6
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,2,3,2,8
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,3,1,1,3
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,3,1,1,4
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,3,1,1,6
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,3,1,1,8
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,3,1,2,3
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,3,1,2,4
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,3,1,2,6
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,3,1,2,8
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,3,2,1,3
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,3,2,1,4
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,3,2,1,6
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,3,2,1,8
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,3,2,2,3
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,3,2,2,4
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,3,2,2,6
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,3,2,2,8
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,3,3,1,3
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,3,3,1,4
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,3,3,1,6
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,3,3,1,8
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,3,3,2,3
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,3,3,2,4
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,3,3,2,6
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,3,3,2,8
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,4,1,1,3
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,4,1,1,4
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,4,1,1,6
12574.3,25.74,1.5,17.179,3940,0.1,0.15,0.2,4,1,1,8
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,4,1,2,3
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,4,1,2,4
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,4,1,2,6
12583.2,25.83,1.5,17.238,3942,0.1,0.15,0.2,4,1,2,8
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,4,2,1,3
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,4,2,1,4
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,4,2,1,6
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,4,2,1,8
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,4,2,2,3
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,4,2,2,4
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,4,2,2,6
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,4,2,2,8
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,4,3,1,3
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,4,3,1,4
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,4,3,1,6
12637.0,26.37,1.64,16.062,3966,0.1,0.15,0.2,4,3,1,8
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,4,3,2,3
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,4,3,2,4
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,4,3,2,6
12645.9,26.46,1.64,16.116,3968,0.1,0.15,0.2,4,3,2,8
13080.8,30.81,2.07,14.878,3940,0.1,0.15,0.4,2,1,1,3
13080.8,30.81,2.07,14.878,3940,0.1,0.15,0.4,2,1,1,4
13080.8,30.81,2.07,14.878,3940,0.1,0.15,0.4,2,1,1,6
13080.8,30.81,2.07,14.878,3940,0.1,0.15,0.4,2,1,1,8
13099.3,30.99,2.07,14.967,3942,0.1,0.15,0.4,2,1,2,3
13099.3,30.99,2.07,14.967,3942,0.1,0.15,0.4,2,1,2,4
13099.3,30.99,2.07,14.967,3942,0.1,0.15,0.4,2,1,2,6
13099.3,30.99,2.07,14.967,3942,0.1,0.15,0.4,2,1,2,8
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,2,2,1,3
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,2,2,1,4
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,2,2,1,6
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,2,2,1,8
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,2,2,2,3
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,2,2,2,4
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,2,2,2,6
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,2,2,2,8
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,2,3,1,3
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,2,3,1,4
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,2,3,1,6
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,2,3,1,8
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,2,3,2,3
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,2,3,2,4
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,2,3,2,6
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,2,3,2,8
13080.8,30.81,2.07,14.878,3940,0.1,0.15,0.4,3,1,1,3
13080.8,30.81,2.07,14.878,3940,0.1,0.15,0.4,3,1,1,4
13080.8,30.81,2.07,14.878,3940,0.1,0.15,0.4,3,1,1,6
13080.8,30.81,2.07,14.878,3940,0.1,0.15,0.4,3,1,1,8
13099.3,30.99,2.07,14.967,3942,0.1,0.15,0.4,3,1,2,3
13099.3,30.99,2.07,14.967,3942,0.1,0.15,0.4,3,1,2,4
13099.3,30.99,2.07,14.967,3942,0.1,0.15,0.4,3,1,2,6
13099.3,30.99,2.07,14.967,3942,0.1,0.15,0.4,3,1,2,8
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,3,2,1,3
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,3,2,1,4
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,3,2,1,6
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,3,2,1,8
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,3,2,2,3
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,3,2,2,4
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,3,2,2,6
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,3,2,2,8
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,3,3,1,3
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,3,3,1,4
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,3,3,1,6
13146.0,31.46,2.21,14.215,3966,0.1,0.15,0.4,3,3,1,8
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,3,3,2,3
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,3,3,2,4
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,3,3,2,6
13164.6,31.65,2.21,14.299,3968,0.1,0.15,0.4,3,3,2,8
13080.8,30.81,2.07,14.878,3940,0.1,0.15,0.4,4,1,1,3
