final_balance,total_return_pct,max_dd_pct,calmar,n_closed,split,train_rank,ob_w,mb_w,bb_w,ob_cap,mb_cap,bb_cap,global_cap
44767.7,347.68,10.32,33.68,3968,train,0,0.7,0.95,1.2,4.0,3.0,2.0,8.0
16721.7,67.22,6.57,10.232,2310,validation,0,0.7,0.95,1.2,4.0,3.0,2.0,8.0
17539.5,75.39,5.04,14.948,1544,holdout,0,0.7,0.95,1.2,4.0,3.0,2.0,8.0
44767.7,347.68,10.32,33.68,3968,train,1,0.7,0.95,1.2,3.0,3.0,2.0,8.0
16721.7,67.22,6.57,10.232,2310,validation,1,0.7,0.95,1.2,3.0,3.0,2.0,8.0
17539.5,75.39,5.04,14.948,1544,holdout,1,0.7,0.95,1.2,3.0,3.0,2.0,8.0
44767.7,347.68,10.32,33.68,3968,train,2,0.7,0.95,1.2,2.0,3.0,2.0,6.0
16721.7,67.22,6.57,10.232,2310,validation,2,0.7,0.95,1.2,2.0,3.0,2.0,6.0
17539.5,75.39,5.04,14.948,1544,holdout,2,0.7,0.95,1.2,2.0,3.0,2.0,6.0
44767.7,347.68,10.32,33.68,3968,train,3,0.7,0.95,1.2,2.0,3.0,2.0,8.0
16721.7,67.22,6.57,10.232,2310,validation,3,0.7,0.95,1.2,2.0,3.0,2.0,8.0
17539.5,75.39,5.04,14.948,1544,holdout,3,0.7,0.95,1.2,2.0,3.0,2.0,8.0
44767.7,347.68,10.32,33.68,3968,train,4,0.7,0.95,1.2,2.0,2.0,2.0,8.0
16721.7,67.22,6.57,10.232,2310,validation,4,0.7,0.95,1.2,2.0,2.0,2.0,8.0
17539.5,75.39,5.04,14.948,1544,holdout,4,0.7,0.95,1.2,2.0,2.0,2.0,8.0
44767.7,347.68,10.32,33.68,3968,train,5,0.7,0.95,1.2,2.0,2.0,2.0,6.0
16721.7,67.22,6.57,10.232,2310,validation,5,0.7,0.95,1.2,2.0,2.0,2.0,6.0
17539.5,75.39,5.04,14.948,1544,holdout,5,0.7,0.95,1.2,2.0,2.0,2.0,6.0
44767.7,347.68,10.32,33.68,3968,train,6,0.7,0.95,1.2,2.0,2.0,2.0,4.0
16721.7,67.22,6.57,10.232,2310,validation,6,0.7,0.95,1.2,2.0,2.0,2.0,4.0
17539.5,75.39,5.04,14.948,1544,holdout,6,0.7,0.95,1.2,2.0,2.0,2.0,4.0
44767.7,347.68,10.32,33.68,3968,train,7,0.7,0.95,1.2,2.0,2.0,2.0,3.0
16721.7,67.22,6.57,10.232,2310,validation,7,0.7,0.95,1.2,2.0,2.0,2.0,3.0
17539.5,75.39,5.04,14.948,1544,holdout,7,0.7,0.95,1.2,2.0,2.0,2.0,3.0
44767.7,347.68,10.32,33.68,3968,train,8,0.7,0.95,1.2,3.0,2.0,2.0,3.0
16721.7,67.22,6.57,10.232,2310,validation,8,0.7,0.95,1.2,3.0,2.0,2.0,3.0
17539.5,75.39,5.04,14.948,1544,holdout,8,0.7,0.95,1.2,3.0,2.0,2.0,3.0
44767.7,347.68,10.32,33.68,3968,train,9,0.7,0.95,1.2,3.0,2.0,2.0,4.0
16721.7,67.22,6.57,10.232,2310,validation,9,0.7,0.95,1.2,3.0,2.0,2.0,4.0
17539.5,75.39,5.04,14.948,1544,holdout,9,0.7,0.95,1.2,3.0,2.0,2.0,4.0
