zone_kind,side,r_target,expiry_days,n,win_rate,avg_pnl_$,avg_ret_%,avg_iv
BB,buy,1.5,1.0,160,0.406,-0.34,-2.5,41.2
BB,buy,2.0,1.0,160,0.338,-0.62,-4.5,41.2
BB,buy,1.5,3.0,160,0.412,-0.28,-1.2,41.2
BB,buy,2.0,3.0,160,0.338,-0.53,-2.2,41.2
BB,sell,1.5,1.0,390,0.551,1.5,3.6,80.7
BB,sell,2.0,1.0,390,0.474,1.03,2.6,80.7
BB,sell,1.5,3.0,390,0.544,1.78,2.4,80.7
BB,sell,2.0,3.0,390,0.464,1.26,1.7,80.7
MB,buy,1.5,1.0,407,0.486,0.53,3.4,41.7
MB,buy,2.0,1.0,407,0.442,0.65,4.3,41.7
MB,buy,1.5,3.0,407,0.501,0.72,2.7,41.7
MB,buy,2.0,3.0,407,0.455,0.91,3.4,41.7
MB,sell,1.5,1.0,1060,0.553,2.34,6.0,82.4
MB,sell,2.0,1.0,1060,0.486,2.24,5.8,82.4
MB,sell,1.5,3.0,1060,0.537,2.29,3.4,82.4
MB,sell,2.0,3.0,1060,0.457,2.04,3.0,82.4
OB,buy,1.5,1.0,485,0.414,-0.06,-0.5,41.0
OB,buy,2.0,1.0,485,0.361,-0.23,-1.5,41.0
OB,buy,1.5,3.0,485,0.423,0.03,0.1,41.0
OB,buy,2.0,3.0,485,0.367,-0.09,-0.3,41.0
OB,sell,1.5,1.0,1096,0.6,1.09,2.8,81.8
OB,sell,2.0,1.0,1096,0.557,1.11,2.8,81.8
OB,sell,1.5,3.0,1096,0.593,1.14,1.7,81.8
OB,sell,2.0,3.0,1096,0.545,1.14,1.6,81.8
