zone_kind,side,r_target,expiry_days,n,win_rate,avg_pnl_$,avg_ret_%,avg_iv
BB,buy,1.5,1.0,151,0.391,-0.57,-3.6,40.7
BB,buy,2.0,1.0,151,0.331,-0.76,-5.2,40.7
BB,buy,1.5,3.0,151,0.397,-0.5,-1.8,40.7
BB,buy,2.0,3.0,151,0.331,-0.67,-2.7,40.7
BB,sell,1.5,1.0,308,0.555,1.43,3.7,82.2
BB,sell,2.0,1.0,308,0.477,0.91,2.4,82.2
BB,sell,1.5,3.0,308,0.545,1.54,2.2,82.2
BB,sell,2.0,3.0,308,0.468,0.97,1.5,82.2
MB,buy,1.5,1.0,388,0.492,0.59,3.8,41.4
MB,buy,2.0,1.0,388,0.451,0.77,5.0,41.4
MB,buy,1.5,3.0,388,0.508,0.79,2.9,41.4
MB,buy,2.0,3.0,388,0.461,0.99,3.7,41.4
MB,sell,1.5,1.0,851,0.563,2.43,6.3,84.4
MB,sell,2.0,1.0,851,0.497,2.27,5.9,84.4
MB,sell,1.5,3.0,851,0.544,2.34,3.4,84.4
MB,sell,2.0,3.0,851,0.464,1.93,2.9,84.4
OB,buy,1.5,1.0,466,0.412,-0.06,-0.5,40.7
OB,buy,2.0,1.0,466,0.361,-0.23,-1.5,40.7
OB,buy,1.5,3.0,466,0.421,0.03,0.1,40.7
OB,buy,2.0,3.0,466,0.367,-0.1,-0.3,40.7
OB,sell,1.5,1.0,876,0.603,1.15,2.8,83.7
OB,sell,2.0,1.0,876,0.558,1.14,2.7,83.7
OB,sell,1.5,3.0,876,0.594,1.18,1.6,83.7
OB,sell,2.0,3.0,876,0.543,1.14,1.5,83.7
