r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,kind,tf,split,depth_frac,n_zones
2.0,0.083,1386,0.665,1.3505,1871.79,OB,15m,train,0.3,2420
2.0,0.125,1386,0.624,1.0637,1474.31,OB,15m,train,0.3,2420
2.0,0.167,1386,0.598,0.7079,981.21,OB,15m,train,0.3,2420
2.0,0.25,1386,0.563,0.1158,160.51,OB,15m,train,0.3,2420
2.0,0.5,1386,0.483,-1.1411,-1581.53,OB,15m,train,0.3,2420
2.0,1.0,1386,0.355,-2.7459,-3805.82,OB,15m,train,0.3,2420
3.0,0.083,1386,0.641,1.6175,2241.81,OB,15m,train,0.3,2420
3.0,0.125,1386,0.584,1.5238,2112.01,OB,15m,train,0.3,2420
3.0,0.167,1386,0.552,1.2339,1710.12,OB,15m,train,0.3,2420
3.0,0.25,1386,0.52,0.6436,892.09,OB,15m,train,0.3,2420
3.0,0.5,1386,0.446,-0.6701,-928.69,OB,15m,train,0.3,2420
3.0,1.0,1386,0.38,-2.4358,-3376.02,OB,15m,train,0.3,2420
4.0,0.083,1386,0.633,1.7477,2422.31,OB,15m,train,0.3,2420
4.0,0.125,1386,0.569,1.7643,2445.39,OB,15m,train,0.3,2420
4.0,0.167,1386,0.532,1.4941,2070.76,OB,15m,train,0.3,2420
4.0,0.25,1386,0.491,0.9317,1291.27,OB,15m,train,0.3,2420
4.0,0.5,1386,0.408,-0.3933,-545.09,OB,15m,train,0.3,2420
4.0,1.0,1386,0.345,-2.1927,-3039.11,OB,15m,train,0.3,2420
5.0,0.083,1386,0.624,1.7469,2421.15,OB,15m,train,0.3,2420
5.0,0.125,1386,0.555,1.822,2525.25,OB,15m,train,0.3,2420
5.0,0.167,1386,0.514,1.5781,2187.22,OB,15m,train,0.3,2420
5.0,0.25,1386,0.469,1.0665,1478.14,OB,15m,train,0.3,2420
5.0,0.5,1386,0.374,-0.2597,-360.0,OB,15m,train,0.3,2420
5.0,1.0,1386,0.302,-2.1049,-2917.36,OB,15m,train,0.3,2420
7.0,0.083,1386,0.619,1.7169,2379.57,OB,15m,train,0.3,2420
7.0,0.125,1386,0.547,1.8356,2544.07,OB,15m,train,0.3,2420
7.0,0.167,1386,0.504,1.6185,2243.26,OB,15m,train,0.3,2420
7.0,0.25,1386,0.456,1.2024,1666.5,OB,15m,train,0.3,2420
7.0,0.5,1386,0.349,-0.0733,-101.64,OB,15m,train,0.3,2420
7.0,1.0,1386,0.266,-1.996,-2766.49,OB,15m,train,0.3,2420
10.0,0.083,1386,0.618,1.699,2354.88,OB,15m,train,0.3,2420
10.0,0.125,1386,0.543,1.8262,2531.16,OB,15m,train,0.3,2420
10.0,0.167,1386,0.499,1.6351,2266.2,OB,15m,train,0.3,2420
10.0,0.25,1386,0.452,1.2508,1733.6,OB,15m,train,0.3,2420
10.0,0.5,1386,0.334,0.0508,70.47,OB,15m,train,0.3,2420
10.0,1.0,1386,0.242,-1.8009,-2496.04,OB,15m,train,0.3,2420
2.0,0.083,1390,0.662,1.2937,1798.24,OB,15m,train,0.325,2420
2.0,0.125,1390,0.62,1.0047,1396.5,OB,15m,train,0.325,2420
2.0,0.167,1390,0.594,0.6167,857.23,OB,15m,train,0.325,2420
2.0,0.25,1390,0.562,0.0188,26.1,OB,15m,train,0.325,2420
2.0,0.5,1390,0.48,-1.2142,-1687.69,OB,15m,train,0.325,2420
2.0,1.0,1390,0.351,-2.8131,-3910.26,OB,15m,train,0.325,2420
3.0,0.083,1390,0.635,1.5607,2169.33,OB,15m,train,0.325,2420
3.0,0.125,1390,0.578,1.4641,2035.12,OB,15m,train,0.325,2420
3.0,0.167,1390,0.547,1.1617,1614.8,OB,15m,train,0.325,2420
3.0,0.25,1390,0.517,0.5739,797.66,OB,15m,train,0.325,2420
3.0,0.5,1390,0.442,-0.7463,-1037.33,OB,15m,train,0.325,2420
