kind,tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
FVG,15m,0.3,10.0,0.125,1.798,1.9279,2.1525,3721,9625,3931
FVG,15m,0.375,10.0,0.125,1.7516,1.8998,2.0422,3713,9580,3915
FVG,15m,0.3,7.0,0.125,1.7967,1.8934,2.1905,3721,9625,3931
FVG,15m,0.325,10.0,0.125,1.7601,1.8931,2.0791,3714,9628,3929
FVG,15m,0.35,10.0,0.125,1.7749,1.8772,2.0423,3715,9603,3924
FVG,15m,0.4,10.0,0.125,1.7305,1.8683,2.0563,3708,9587,3900
FVG,15m,0.375,7.0,0.125,1.7405,1.8613,2.0999,3713,9580,3915
FVG,15m,0.325,7.0,0.125,1.759,1.8568,2.1174,3714,9628,3929
FVG,15m,0.45,10.0,0.125,1.7082,1.8527,2.0123,3691,9539,3884
FVG,15m,0.425,10.0,0.125,1.7689,1.8485,2.0707,3689,9564,3892
FVG,15m,0.5,10.0,0.125,1.6787,1.8453,2.0228,3673,9490,3876
FVG,15m,0.35,7.0,0.125,1.7628,1.8431,2.0876,3715,9603,3924
FVG,15m,0.475,10.0,0.125,1.6845,1.838,1.989,3675,9521,3882
FVG,15m,0.4,7.0,0.125,1.7196,1.8281,2.1294,3708,9587,3900
FVG,15m,0.525,10.0,0.125,1.6518,1.8266,1.9921,3666,9467,3859
FVG,15m,0.55,10.0,0.125,1.6841,1.8242,1.9738,3651,9435,3858
FVG,15m,0.3,10.0,0.083,1.7343,1.8153,2.1052,3721,9625,3931
FVG,15m,0.45,7.0,0.125,1.7061,1.8138,2.0887,3691,9539,3884
FVG,15m,0.3,7.0,0.083,1.7463,1.8112,2.1288,3721,9625,3931
FVG,15m,0.425,7.0,0.125,1.7666,1.8094,2.1498,3689,9564,3892
FVG,15m,0.5,7.0,0.125,1.6836,1.8067,2.0771,3673,9490,3876
FVG,15m,0.375,10.0,0.083,1.6802,1.8056,2.0127,3713,9580,3915
FVG,15m,0.475,7.0,0.125,1.689,1.8032,2.0543,3675,9521,3882
FVG,15m,0.375,7.0,0.083,1.6862,1.7968,2.0377,3713,9580,3915
FVG,15m,0.3,5.0,0.125,1.763,1.7938,2.1808,3721,9625,3931
FVG,15m,0.575,10.0,0.125,1.6778,1.7896,1.9668,3647,9416,3846
