kind,split,iv_threshold,n,avg_gross_$,avg_net_$,pct_positive
OB,train,50,5857,0.4099,-0.4876,31.8
OB,train,55,5509,0.4291,-0.4689,32.3
OB,train,60,4696,0.4371,-0.4616,32.8
OB,train,65,3035,0.4398,-0.4632,33.4
OB,train,70,2137,0.4581,-0.4484,33.9
OB,train,75,1686,0.4476,-0.4617,33.9
MB,train,50,4690,1.7301,0.357,35.3
MB,train,55,4406,1.7463,0.3735,35.1
MB,train,60,3779,1.8313,0.4588,35.3
MB,train,65,2458,1.9378,0.5607,35.6
MB,train,70,1738,2.1425,0.7621,36.7
MB,train,75,1402,2.1907,0.8074,36.7
BB,train,50,1962,1.1006,-1.0687,34.0
BB,train,55,1847,1.1224,-1.047,33.9
BB,train,60,1603,1.1714,-0.9979,34.2
BB,train,65,1065,1.5055,-0.6687,35.8
BB,train,70,753,2.0518,-0.1288,38.0
BB,train,75,580,1.6867,-0.5004,36.6
OB,validation,50,2558,0.2415,-0.6273,31.4
OB,validation,55,2558,0.2415,-0.6273,31.4
OB,validation,60,2558,0.2415,-0.6273,31.4
OB,validation,65,2287,0.2333,-0.6337,31.6
OB,validation,70,1266,0.2802,-0.5852,33.1
OB,validation,75,211,-0.2841,-1.1523,28.9
MB,validation,50,2122,1.3268,-0.03,34.5
MB,validation,55,2122,1.3268,-0.03,34.5
MB,validation,60,2122,1.3268,-0.03,34.5
MB,validation,65,1885,1.2526,-0.1037,34.1
MB,validation,70,1077,1.2602,-0.0984,34.5
MB,validation,75,153,0.6407,-0.742,30.1
BB,validation,50,879,0.8839,-1.2687,34.8
BB,validation,55,879,0.8839,-1.2687,34.8
BB,validation,60,879,0.8839,-1.2687,34.8
BB,validation,65,787,0.7755,-1.3759,34.4
BB,validation,70,437,1.2794,-0.8773,37.5
BB,validation,75,59,2.7293,0.5622,45.8
OB,holdout,50,2208,0.3898,-0.4839,32.9
OB,holdout,55,1948,0.3787,-0.4944,32.9
OB,holdout,60,1626,0.3946,-0.4739,33.6
OB,holdout,65,1161,0.4185,-0.4634,34.0
OB,holdout,70,760,0.2411,-0.641,32.6
OB,holdout,75,253,-0.032,-0.9223,32.8
MB,holdout,50,1889,1.4656,0.1018,34.8
MB,holdout,55,1673,1.4978,0.136,35.0
MB,holdout,60,1409,1.5012,0.1413,35.0
MB,holdout,65,1040,1.5867,0.2238,35.7
MB,holdout,70,671,1.4568,0.0961,34.7
MB,holdout,75,253,1.0468,-0.3222,33.6
BB,holdout,50,684,0.7931,-1.3684,32.3
BB,holdout,55,605,0.4608,-1.6997,30.6
BB,holdout,60,498,0.5206,-1.6359,30.7
BB,holdout,65,354,0.5435,-1.6173,30.5
BB,holdout,70,238,0.4574,-1.7062,29.4
BB,holdout,75,81,0.738,-1.4215,29.6
