tf,kind,split,iv_threshold,n,win_rate_gross,avg_gross_$,avg_net_$,avg_fee_$,total_net_$,pct_positive
15m,OB,train,50,1535,0.511,0.884,-0.012,0.896,-18.1,43.2
15m,OB,train,55,1436,0.511,0.877,-0.019,0.896,-27.9,43.5
15m,OB,train,60,1229,0.517,0.875,-0.023,0.898,-28.0,43.9
15m,OB,train,65,785,0.516,0.882,-0.019,0.901,-14.5,44.7
15m,OB,train,70,548,0.531,0.862,-0.043,0.905,-23.8,46.0
15m,OB,train,75,439,0.54,0.902,-0.005,0.908,-2.4,47.4
15m,MB,train,50,1389,0.481,3.115,1.743,1.372,2420.9,43.9
15m,MB,train,55,1297,0.483,3.198,1.827,1.371,2369.8,44.1
15m,MB,train,60,1102,0.486,3.356,1.985,1.371,2187.5,44.6
15m,MB,train,65,736,0.485,3.472,2.095,1.377,1541.6,44.8
15m,MB,train,70,527,0.499,4.123,2.742,1.381,1444.9,46.9
15m,MB,train,75,423,0.499,4.326,2.941,1.385,1244.0,47.3
15m,BB,train,50,487,0.413,2.125,-0.041,2.166,-19.9,38.0
15m,BB,train,55,459,0.414,2.242,0.076,2.165,35.1,38.1
15m,BB,train,60,400,0.41,2.269,0.104,2.165,41.7,37.8
15m,BB,train,65,265,0.419,1.803,-0.363,2.166,-96.3,38.1
15m,BB,train,70,186,0.446,2.605,0.431,2.175,80.1,40.9
15m,BB,train,75,150,0.467,2.888,0.71,2.178,106.5,42.0
15m,OB,validation,50,715,0.48,0.488,-0.387,0.874,-276.4,40.3
15m,OB,validation,55,715,0.48,0.488,-0.387,0.874,-276.4,40.3
15m,OB,validation,60,715,0.48,0.488,-0.387,0.874,-276.4,40.3
15m,OB,validation,65,622,0.479,0.38,-0.493,0.873,-306.3,39.2
15m,OB,validation,70,327,0.508,0.664,-0.205,0.869,-67.0,42.8
15m,OB,validation,75,49,0.633,1.35,0.463,0.886,22.7,51.0
15m,MB,validation,50,656,0.45,1.772,0.417,1.356,273.2,40.2
15m,MB,validation,55,656,0.45,1.772,0.417,1.356,273.2,40.2
15m,MB,validation,60,656,0.45,1.772,0.417,1.356,273.2,40.2
15m,MB,validation,65,583,0.451,1.759,0.404,1.355,235.8,40.7
15m,MB,validation,70,325,0.446,1.278,-0.082,1.36,-26.5,40.6
15m,MB,validation,75,48,0.479,-0.582,-1.958,1.377,-94.0,43.8
15m,BB,validation,50,226,0.451,3.629,1.477,2.152,333.9,44.2
15m,BB,validation,55,226,0.451,3.629,1.477,2.152,333.9,44.2
15m,BB,validation,60,226,0.451,3.629,1.477,2.152,333.9,44.2
15m,BB,validation,65,204,0.446,3.383,1.232,2.151,251.3,43.6
15m,BB,validation,70,109,0.413,2.503,0.359,2.144,39.1,40.4
15m,BB,validation,75,25,0.48,2.806,0.64,2.166,16.0,44.0
15m,OB,holdout,50,631,0.517,1.015,0.143,0.872,90.1,44.4
15m,OB,holdout,55,553,0.515,0.981,0.109,0.871,60.5,44.3
15m,OB,holdout,60,478,0.521,1.045,0.177,0.868,84.5,45.6
15m,OB,holdout,65,356,0.522,0.994,0.114,0.88,40.6,47.2
15m,OB,holdout,70,220,0.514,0.75,-0.128,0.878,-28.1,46.4
15m,OB,holdout,75,80,0.538,0.738,-0.144,0.882,-11.5,46.2
15m,MB,holdout,50,562,0.456,2.275,0.916,1.359,514.5,41.1
15m,MB,holdout,55,505,0.442,2.068,0.712,1.356,359.4,39.4
15m,MB,holdout,60,429,0.431,2.021,0.667,1.354,286.1,38.7
15m,MB,holdout,65,315,0.451,2.205,0.848,1.357,267.0,41.0
15m,MB,holdout,70,208,0.433,1.553,0.196,1.357,40.8,38.0
15m,MB,holdout,75,75,0.427,0.08,-1.281,1.361,-96.1,36.0
15m,BB,holdout,50,198,0.449,3.862,1.702,2.161,336.9,39.9
15m,BB,holdout,55,181,0.431,3.708,1.55,2.158,280.5,38.7
15m,BB,holdout,60,156,0.423,3.476,1.318,2.158,205.7,38.5
15m,BB,holdout,65,117,0.436,3.302,1.147,2.155,134.2,40.2
15m,BB,holdout,70,78,0.397,3.185,1.028,2.157,80.2,38.5
15m,BB,holdout,75,39,0.308,-1.891,-4.059,2.168,-158.3,30.8
30m,OB,train,50,690,0.59,1.022,0.126,0.895,87.1,51.0
30m,OB,train,55,647,0.589,0.994,0.099,0.896,63.9,51.0
30m,OB,train,60,555,0.595,1.022,0.127,0.895,70.4,52.3
30m,OB,train,65,350,0.603,0.969,0.069,0.9,24.1,52.9
30m,OB,train,70,247,0.611,1.159,0.257,0.902,63.4,55.5
30m,OB,train,75,187,0.626,1.256,0.349,0.907,65.3,56.7
30m,MB,train,50,704,0.547,4.61,3.238,1.372,2279.3,50.4
30m,MB,train,55,667,0.553,4.704,3.333,1.372,2222.8,50.8
30m,MB,train,60,577,0.548,4.625,3.254,1.371,1877.6,49.9
30m,MB,train,65,367,0.534,4.635,3.259,1.376,1196.1,48.5
30m,MB,train,70,263,0.559,5.624,4.244,1.38,1116.2,51.0
30m,MB,train,75,220,0.564,6.747,5.362,1.385,1179.7,52.3
30m,BB,train,50,239,0.481,3.511,1.343,2.169,320.9,45.2
30m,BB,train,55,219,0.498,4.54,2.372,2.168,519.5,47.0
30m,BB,train,60,191,0.508,5.133,2.965,2.168,566.3,47.6
30m,BB,train,65,116,0.466,3.657,1.485,2.172,172.2,43.1
30m,BB,train,70,81,0.494,3.143,0.966,2.177,78.3,44.4
30m,BB,train,75,62,0.516,5.059,2.873,2.187,178.1,46.8
30m,OB,validation,50,359,0.585,1.459,0.585,0.874,210.0,54.3
30m,OB,validation,55,359,0.585,1.459,0.585,0.874,210.0,54.3
30m,OB,validation,60,359,0.585,1.459,0.585,0.874,210.0,54.3
30m,OB,validation,65,321,0.598,1.688,0.817,0.871,262.2,55.1
30m,OB,validation,70,170,0.606,2.057,1.189,0.868,202.1,57.1
30m,OB,validation,75,34,0.618,2.368,1.496,0.872,50.9,61.8
30m,MB,validation,50,312,0.452,1.312,-0.043,1.355,-13.6,41.3
30m,MB,validation,55,312,0.452,1.312,-0.043,1.355,-13.6,41.3
30m,MB,validation,60,312,0.452,1.312,-0.043,1.355,-13.6,41.3
30m,MB,validation,65,280,0.439,0.847,-0.508,1.355,-142.2,39.6
30m,MB,validation,70,151,0.424,-0.363,-1.728,1.365,-260.9,36.4
30m,MB,validation,75,23,0.522,-1.189,-2.567,1.378,-59.0,43.5
30m,BB,validation,50,107,0.346,1.358,-0.794,2.152,-84.9,31.8
30m,BB,validation,55,107,0.346,1.358,-0.794,2.152,-84.9,31.8
30m,BB,validation,60,107,0.346,1.358,-0.794,2.152,-84.9,31.8
30m,BB,validation,65,103,0.34,1.132,-1.019,2.151,-105.0,31.1
30m,BB,validation,70,57,0.316,-1.286,-3.44,2.154,-196.1,28.1
30m,BB,validation,75,11,0.364,-4.165,-6.32,2.155,-69.5,18.2
30m,OB,holdout,50,287,0.624,1.535,0.657,0.878,188.7,55.1
30m,OB,holdout,55,240,0.621,1.508,0.632,0.876,151.7,55.8
30m,OB,holdout,60,211,0.607,1.439,0.565,0.874,119.3,55.9
30m,OB,holdout,65,159,0.623,1.513,0.63,0.883,100.2,56.6
30m,OB,holdout,70,108,0.583,1.281,0.392,0.888,42.4,52.8
30m,OB,holdout,75,35,0.571,0.522,-0.37,0.892,-12.9,51.4
30m,MB,holdout,50,279,0.523,3.058,1.696,1.362,473.1,49.8
30m,MB,holdout,55,248,0.512,2.592,1.233,1.359,305.9,48.4
30m,MB,holdout,60,216,0.495,2.736,1.376,1.359,297.3,46.3
30m,MB,holdout,65,159,0.509,2.677,1.314,1.363,209.0,47.2
30m,MB,holdout,70,98,0.551,3.392,2.029,1.363,198.9,51.0
30m,MB,holdout,75,39,0.538,1.429,0.055,1.373,2.2,46.2
30m,BB,holdout,50,93,0.441,2.286,0.128,2.158,11.9,41.9
30m,BB,holdout,55,84,0.452,2.829,0.673,2.156,56.5,42.9
30m,BB,holdout,60,75,0.507,5.177,3.02,2.157,226.5,48.0
30m,BB,holdout,65,65,0.508,4.777,2.623,2.154,170.5,49.2
30m,BB,holdout,70,40,0.525,5.166,3.009,2.156,120.4,50.0
30m,BB,holdout,75,11,0.455,1.317,-0.834,2.151,-9.2,36.4
1h,OB,train,50,317,0.675,2.585,1.689,0.896,535.4,60.3
1h,OB,train,55,297,0.677,2.679,1.782,0.897,529.3,61.3
1h,OB,train,60,262,0.695,2.978,2.079,0.899,544.7,64.1
1h,OB,train,65,194,0.706,2.946,2.044,0.902,396.4,66.0
1h,OB,train,70,140,0.707,3.117,2.211,0.905,309.6,67.1
1h,OB,train,75,117,0.692,2.953,2.041,0.911,238.8,65.0
1h,MB,train,50,333,0.547,3.466,2.088,1.378,695.2,53.5
1h,MB,train,55,320,0.541,3.393,2.015,1.378,644.9,52.8
1h,MB,train,60,278,0.54,3.173,1.795,1.378,499.0,52.5
1h,MB,train,65,191,0.518,2.213,0.832,1.381,158.9,50.3
1h,MB,train,70,143,0.49,1.23,-0.152,1.382,-21.7,46.9
1h,MB,train,75,119,0.462,0.898,-0.486,1.384,-57.9,45.4
1h,BB,train,50,101,0.485,9.597,7.426,2.171,750.0,45.5
1h,BB,train,55,94,0.468,9.177,7.005,2.172,658.5,44.7
1h,BB,train,60,86,0.477,9.656,7.482,2.174,643.4,45.3
1h,BB,train,65,61,0.443,7.791,5.614,2.177,342.5,42.6
1h,BB,train,70,37,0.514,12.403,10.221,2.182,378.2,51.4
1h,BB,train,75,34,0.529,10.429,8.243,2.186,280.3,52.9
1h,OB,validation,50,131,0.565,-0.857,-1.741,0.884,-228.1,48.9
1h,OB,validation,55,131,0.565,-0.857,-1.741,0.884,-228.1,48.9
1h,OB,validation,60,130,0.569,-0.863,-1.747,0.884,-227.1,49.2
1h,OB,validation,65,110,0.564,-1.408,-2.292,0.884,-252.1,48.2
1h,OB,validation,70,61,0.59,0.742,-0.137,0.878,-8.3,49.2
1h,OB,validation,75,13,0.538,1.226,0.313,0.913,4.1,30.8
1h,MB,validation,50,168,0.571,4.069,2.712,1.357,455.6,56.5
1h,MB,validation,55,168,0.571,4.069,2.712,1.357,455.6,56.5
1h,MB,validation,60,168,0.571,4.069,2.712,1.357,455.6,56.5
1h,MB,validation,65,142,0.549,3.312,1.953,1.359,277.3,54.2
1h,MB,validation,70,71,0.521,2.854,1.489,1.364,105.7,50.7
1h,MB,validation,75,13,0.462,-1.518,-2.892,1.374,-37.6,38.5
1h,BB,validation,50,54,0.463,-1.195,-3.352,2.157,-181.0,42.6
1h,BB,validation,55,54,0.463,-1.195,-3.352,2.157,-181.0,42.6
1h,BB,validation,60,54,0.463,-1.195,-3.352,2.157,-181.0,42.6
1h,BB,validation,65,47,0.468,-0.896,-3.056,2.159,-143.6,42.6
1h,BB,validation,70,27,0.481,-2.216,-4.39,2.174,-118.5,48.1
1h,OB,holdout,50,136,0.603,0.401,-0.471,0.873,-64.1,51.5
1h,OB,holdout,55,114,0.614,0.393,-0.483,0.876,-55.1,52.6
1h,OB,holdout,60,103,0.65,0.433,-0.439,0.872,-45.2,56.3
1h,OB,holdout,65,80,0.675,1.259,0.376,0.883,30.1,60.0
1h,OB,holdout,70,46,0.674,1.169,0.288,0.882,13.2,60.9
1h,OB,holdout,75,19,0.789,4.148,3.251,0.898,61.8,73.7
1h,MB,holdout,50,144,0.618,5.999,4.644,1.354,668.8,56.2
1h,MB,holdout,55,126,0.603,5.902,4.551,1.35,573.4,55.6
1h,MB,holdout,60,114,0.596,5.522,4.173,1.349,475.7,54.4
1h,MB,holdout,65,82,0.61,6.254,4.902,1.352,402.0,56.1
1h,MB,holdout,70,50,0.56,5.652,4.295,1.357,214.7,50.0
1h,MB,holdout,75,23,0.739,13.319,11.945,1.375,274.7,69.6
1h,BB,holdout,50,44,0.432,1.836,-0.326,2.162,-14.4,38.6
1h,BB,holdout,55,38,0.421,2.517,0.356,2.161,13.5,39.5
1h,BB,holdout,60,35,0.4,2.787,0.631,2.157,22.1,37.1
1h,BB,holdout,65,29,0.345,0.296,-1.862,2.158,-54.0,31.0
1h,BB,holdout,70,19,0.263,-7.208,-9.365,2.157,-177.9,26.3
2h,OB,train,50,142,0.718,2.899,2.009,0.89,285.2,66.2
2h,OB,train,55,135,0.719,2.906,2.016,0.89,272.1,65.9
2h,OB,train,60,115,0.73,2.896,2.005,0.891,230.6,66.1
2h,OB,train,65,83,0.699,3.244,2.356,0.888,195.5,62.7
2h,OB,train,70,65,0.692,3.086,2.192,0.894,142.5,63.1
2h,OB,train,75,56,0.679,2.712,1.812,0.9,101.5,60.7
2h,MB,train,50,204,0.676,7.552,6.18,1.373,1260.7,64.7
2h,MB,train,55,193,0.684,7.842,6.469,1.373,1248.6,65.3
2h,MB,train,60,170,0.671,7.734,6.363,1.371,1081.6,64.1
2h,MB,train,65,116,0.647,8.351,6.975,1.376,809.1,62.9
2h,MB,train,70,91,0.67,9.956,8.579,1.376,780.7,64.8
2h,MB,train,75,78,0.679,11.374,9.996,1.378,779.7,66.7
2h,BB,train,50,42,0.429,7.084,4.909,2.175,206.2,40.5
2h,BB,train,55,39,0.436,8.121,5.945,2.176,231.9,41.0
2h,BB,train,60,33,0.424,8.454,6.276,2.178,207.1,39.4
2h,BB,train,65,22,0.409,6.969,4.789,2.18,105.3,40.9
2h,BB,train,70,12,0.25,-0.802,-2.991,2.189,-35.9,25.0
2h,BB,train,75,11,0.273,2.736,0.544,2.193,6.0,27.3
2h,OB,validation,50,65,0.785,3.37,2.496,0.874,162.2,75.4
2h,OB,validation,55,65,0.785,3.37,2.496,0.874,162.2,75.4
2h,OB,validation,60,65,0.785,3.37,2.496,0.874,162.2,75.4
2h,OB,validation,65,54,0.796,3.639,2.769,0.87,149.5,77.8
2h,OB,validation,70,32,0.875,4.552,3.685,0.867,117.9,87.5
2h,MB,validation,50,70,0.529,2.094,0.747,1.347,52.3,51.4
2h,MB,validation,55,70,0.529,2.094,0.747,1.347,52.3,51.4
2h,MB,validation,60,70,0.529,2.094,0.747,1.347,52.3,51.4
2h,MB,validation,65,64,0.547,3.905,2.56,1.345,163.8,53.1
2h,MB,validation,70,35,0.486,0.193,-1.145,1.338,-40.1,48.6
2h,BB,validation,50,23,0.435,1.233,-0.931,2.164,-21.4,43.5
2h,BB,validation,55,23,0.435,1.233,-0.931,2.164,-21.4,43.5
2h,BB,validation,60,23,0.435,1.233,-0.931,2.164,-21.4,43.5
2h,BB,validation,65,21,0.429,0.985,-1.181,2.165,-24.8,42.9
2h,BB,validation,70,12,0.333,-10.186,-12.35,2.164,-148.2,33.3
2h,OB,holdout,50,65,0.692,2.202,1.332,0.87,86.6,67.7
2h,OB,holdout,55,61,0.705,2.36,1.492,0.867,91.0,68.9
2h,OB,holdout,60,54,0.722,3.022,2.155,0.867,116.4,72.2
2h,OB,holdout,65,38,0.737,3.372,2.495,0.877,94.8,73.7
2h,OB,holdout,70,27,0.704,3.907,3.026,0.881,81.7,70.4
2h,OB,holdout,75,13,0.538,2.114,1.214,0.899,15.8,53.8
2h,MB,holdout,50,82,0.707,7.922,6.566,1.356,538.4,64.6
2h,MB,holdout,55,73,0.74,8.849,7.495,1.354,547.1,68.5
2h,MB,holdout,60,65,0.738,8.959,7.61,1.349,494.7,67.7
