global_cap,ob_cap,margin_pct,split,final_balance,total_return_pct,max_dd_pct,calmar,n_closed
8,3,0.6,train,6999.5,249.98,7.45,33.548,2308
8,3,0.6,validation,3245.5,62.27,7.14,8.717,1119
8,3,0.6,holdout,4291.3,114.56,7.88,14.536,956
8,4,0.6,train,6999.5,249.98,7.45,33.548,2308
8,4,0.6,validation,3245.5,62.27,7.14,8.717,1119
8,4,0.6,holdout,4291.3,114.56,7.88,14.536,956
8,5,0.6,train,6999.5,249.98,7.45,33.548,2308
8,5,0.6,validation,3245.5,62.27,7.14,8.717,1119
8,5,0.6,holdout,4291.3,114.56,7.88,14.536,956
8,6,0.6,train,6999.5,249.98,7.45,33.548,2308
8,6,0.6,validation,3245.5,62.27,7.14,8.717,1119
8,6,0.6,holdout,4291.3,114.56,7.88,14.536,956
10,3,0.6,train,6999.5,249.98,7.45,33.548,2308
10,3,0.6,validation,3245.5,62.27,7.14,8.717,1119
10,3,0.6,holdout,4291.3,114.56,7.88,14.536,956
10,4,0.6,train,6999.5,249.98,7.45,33.548,2308
10,4,0.6,validation,3245.5,62.27,7.14,8.717,1119
10,4,0.6,holdout,4291.3,114.56,7.88,14.536,956
10,5,0.6,train,6999.5,249.98,7.45,33.548,2308
10,5,0.6,validation,3245.5,62.27,7.14,8.717,1119
10,5,0.6,holdout,4291.3,114.56,7.88,14.536,956
10,6,0.6,train,6999.5,249.98,7.45,33.548,2308
10,6,0.6,validation,3245.5,62.27,7.14,8.717,1119
10,6,0.6,holdout,4291.3,114.56,7.88,14.536,956
12,3,0.6,train,6999.5,249.98,7.45,33.548,2308
12,3,0.6,validation,3245.5,62.27,7.14,8.717,1119
12,3,0.6,holdout,4291.3,114.56,7.88,14.536,956
12,4,0.6,train,6999.5,249.98,7.45,33.548,2308
12,4,0.6,validation,3245.5,62.27,7.14,8.717,1119
12,4,0.6,holdout,4291.3,114.56,7.88,14.536,956
12,5,0.6,train,6999.5,249.98,7.45,33.548,2308
12,5,0.6,validation,3245.5,62.27,7.14,8.717,1119
12,5,0.6,holdout,4291.3,114.56,7.88,14.536,956
12,6,0.6,train,6999.5,249.98,7.45,33.548,2308
12,6,0.6,validation,3245.5,62.27,7.14,8.717,1119
12,6,0.6,holdout,4291.3,114.56,7.88,14.536,956
14,3,0.6,train,6999.5,249.98,7.45,33.548,2308
14,3,0.6,validation,3245.5,62.27,7.14,8.717,1119
