zone_kind,r_target,expiry_days,iv_threshold,n_train,avg_pnl_train,n_val,n_hold
MB,1.0,0.5,60,1102,2.08,656.0,429.0
MB,1.0,0.5,65,736,2.028,583.0,315.0
MB,1.0,0.5,70,527,2.476,325.0,208.0
MB,1.0,0.5,75,423,2.507,48.0,75.0
MB,1.0,1.0,60,1102,2.064,656.0,429.0
MB,1.0,1.0,65,736,2.068,583.0,315.0
MB,1.0,1.0,70,527,2.46,325.0,208.0
MB,1.0,1.0,75,423,2.5,48.0,75.0
MB,1.0,2.0,60,1102,1.992,656.0,429.0
MB,1.0,2.0,65,736,1.994,583.0,315.0
MB,1.0,2.0,70,527,2.446,325.0,208.0
MB,1.0,2.0,75,423,2.487,48.0,75.0
MB,1.0,3.0,60,1102,1.971,656.0,429.0
MB,1.0,3.0,65,736,1.976,583.0,315.0
MB,1.0,3.0,70,527,2.442,325.0,208.0
MB,1.0,3.0,75,423,2.484,48.0,75.0
MB,1.0,5.0,60,1102,1.952,656.0,429.0
MB,1.0,5.0,65,736,1.959,583.0,315.0
MB,1.0,5.0,70,527,2.438,325.0,208.0
MB,1.0,5.0,75,423,2.48,48.0,75.0
MB,1.5,0.5,60,1102,2.56,656.0,429.0
MB,1.5,0.5,65,736,2.64,583.0,315.0
MB,1.5,0.5,70,527,3.244,325.0,208.0
MB,1.5,0.5,75,423,3.187,48.0,75.0
MB,1.5,1.0,60,1102,2.463,656.0,429.0
MB,1.5,1.0,65,736,2.629,583.0,315.0
MB,1.5,1.0,70,527,3.273,325.0,208.0
MB,1.5,1.0,75,423,3.171,48.0,75.0
MB,1.5,2.0,60,1102,2.33,656.0,429.0
MB,1.5,2.0,65,736,2.488,583.0,315.0
MB,1.5,2.0,70,527,3.183,325.0,208.0
MB,1.5,2.0,75,423,3.067,48.0,75.0
MB,1.5,3.0,60,1102,2.244,656.0,429.0
MB,1.5,3.0,65,736,2.383,583.0,315.0
MB,1.5,3.0,70,527,3.157,325.0,208.0
MB,1.5,3.0,75,423,3.038,48.0,75.0
MB,1.5,5.0,60,1102,2.194,656.0,429.0
MB,1.5,5.0,65,736,2.329,583.0,315.0
MB,1.5,5.0,70,527,3.133,325.0,208.0
MB,1.5,5.0,75,423,3.011,48.0,75.0
MB,2.0,0.5,60,1102,2.779,656.0,429.0
MB,2.0,0.5,65,736,2.639,583.0,315.0
MB,2.0,0.5,70,527,3.188,325.0,208.0
MB,2.0,0.5,75,423,3.27,48.0,75.0
MB,2.0,1.0,60,1102,2.653,656.0,429.0
MB,2.0,1.0,65,736,2.579,583.0,315.0
MB,2.0,1.0,70,527,3.177,325.0,208.0
MB,2.0,1.0,75,423,3.259,48.0,75.0
MB,2.0,2.0,60,1102,2.354,656.0,429.0
MB,2.0,2.0,65,736,2.19,583.0,315.0
MB,2.0,2.0,70,527,2.737,325.0,208.0
MB,2.0,2.0,75,423,2.723,48.0,75.0
MB,2.0,3.0,60,1102,2.26,656.0,429.0
MB,2.0,3.0,65,736,2.074,583.0,315.0
MB,2.0,3.0,70,527,2.695,325.0,208.0
MB,2.0,3.0,75,423,2.68,48.0,75.0
MB,2.0,5.0,60,1102,2.196,656.0,429.0
MB,2.0,5.0,65,736,2.004,583.0,315.0
MB,2.0,5.0,70,527,2.649,325.0,208.0
MB,2.0,5.0,75,423,2.631,48.0,75.0
MB,2.5,0.5,60,1102,2.916,656.0,429.0
MB,2.5,0.5,65,736,2.653,583.0,315.0
MB,2.5,0.5,70,527,3.112,325.0,208.0
MB,2.5,0.5,75,423,3.19,48.0,75.0
MB,2.5,1.0,60,1102,2.673,656.0,429.0
MB,2.5,1.0,65,736,2.372,583.0,315.0
MB,2.5,1.0,70,527,2.789,325.0,208.0
MB,2.5,1.0,75,423,2.795,48.0,75.0
MB,2.5,2.0,60,1102,2.257,656.0,429.0
MB,2.5,2.0,65,736,1.931,583.0,315.0
MB,2.5,2.0,70,527,2.276,325.0,208.0
MB,2.5,2.0,75,423,2.157,48.0,75.0
MB,2.5,3.0,60,1102,2.136,656.0,429.0
MB,2.5,3.0,65,736,1.802,583.0,315.0
MB,2.5,3.0,70,527,2.215,325.0,208.0
MB,2.5,3.0,75,423,2.091,48.0,75.0
MB,2.5,5.0,60,1102,2.03,656.0,429.0
MB,2.5,5.0,65,736,1.692,583.0,315.0
MB,2.5,5.0,70,527,2.113,325.0,208.0
MB,2.5,5.0,75,423,1.974,48.0,75.0
MB,3.0,0.5,60,1102,3.301,656.0,429.0
MB,3.0,0.5,65,736,3.163,583.0,315.0
MB,3.0,0.5,70,527,3.638,325.0,208.0
MB,3.0,0.5,75,423,3.547,48.0,75.0
MB,3.0,1.0,60,1102,3.071,656.0,429.0
MB,3.0,1.0,65,736,2.912,583.0,315.0
MB,3.0,1.0,70,527,3.316,325.0,208.0
MB,3.0,1.0,75,423,3.107,48.0,75.0
MB,3.0,2.0,60,1102,2.62,656.0,429.0
MB,3.0,2.0,65,736,2.489,583.0,315.0
MB,3.0,2.0,70,527,2.811,325.0,208.0
MB,3.0,2.0,75,423,2.45,48.0,75.0
MB,3.0,3.0,60,1102,2.461,656.0,429.0
MB,3.0,3.0,65,736,2.317,583.0,315.0
MB,3.0,3.0,70,527,2.772,325.0,208.0
MB,3.0,3.0,75,423,2.381,48.0,75.0
MB,3.0,5.0,60,1102,2.349,656.0,429.0
MB,3.0,5.0,65,736,2.207,583.0,315.0
MB,3.0,5.0,70,527,2.698,325.0,208.0
MB,3.0,5.0,75,423,2.27,48.0,75.0
OB,1.0,0.5,60,1229,0.974,715.0,478.0
OB,1.0,0.5,65,785,1.052,622.0,356.0
OB,1.0,0.5,70,548,0.984,327.0,220.0
OB,1.0,0.5,75,439,0.965,49.0,80.0
OB,1.0,1.0,60,1229,0.969,715.0,478.0
OB,1.0,1.0,65,785,1.058,622.0,356.0
OB,1.0,1.0,70,548,1.007,327.0,220.0
OB,1.0,1.0,75,439,0.996,49.0,80.0
OB,1.0,2.0,60,1229,0.969,715.0,478.0
OB,1.0,2.0,65,785,1.069,622.0,356.0
OB,1.0,2.0,70,548,1.031,327.0,220.0
OB,1.0,2.0,75,439,1.029,49.0,80.0
OB,1.0,3.0,60,1229,0.97,715.0,478.0
OB,1.0,3.0,65,785,1.075,622.0,356.0
OB,1.0,3.0,70,548,1.043,327.0,220.0
OB,1.0,3.0,75,439,1.045,49.0,80.0
OB,1.0,5.0,60,1229,0.97,715.0,478.0
OB,1.0,5.0,65,785,1.082,622.0,356.0
OB,1.0,5.0,70,548,1.057,327.0,220.0
OB,1.0,5.0,75,439,1.064,49.0,80.0
OB,1.5,0.5,60,1229,1.087,715.0,478.0
OB,1.5,0.5,65,785,1.106,622.0,356.0
OB,1.5,0.5,70,548,0.988,327.0,220.0
OB,1.5,0.5,75,439,0.915,49.0,80.0
OB,1.5,1.0,60,1229,1.049,715.0,478.0
OB,1.5,1.0,65,785,1.077,622.0,356.0
OB,1.5,1.0,70,548,0.987,327.0,220.0
OB,1.5,1.0,75,439,0.92,49.0,80.0
OB,1.5,2.0,60,1229,1.027,715.0,478.0
OB,1.5,2.0,65,785,1.064,622.0,356.0
OB,1.5,2.0,70,548,0.995,327.0,220.0
OB,1.5,2.0,75,439,0.935,49.0,80.0
OB,1.5,3.0,60,1229,1.018,715.0,478.0
OB,1.5,3.0,65,785,1.06,622.0,356.0
OB,1.5,3.0,70,548,1.0,327.0,220.0
OB,1.5,3.0,75,439,0.944,49.0,80.0
OB,1.5,5.0,60,1229,1.009,715.0,478.0
OB,1.5,5.0,65,785,1.056,622.0,356.0
OB,1.5,5.0,70,548,1.006,327.0,220.0
OB,1.5,5.0,75,439,0.954,49.0,80.0
OB,2.0,0.5,60,1229,1.157,715.0,478.0
OB,2.0,0.5,65,785,1.121,622.0,356.0
OB,2.0,0.5,70,548,0.982,327.0,220.0
OB,2.0,0.5,75,439,0.885,49.0,80.0
OB,2.0,1.0,60,1229,1.078,715.0,478.0
OB,2.0,1.0,65,785,1.058,622.0,356.0
OB,2.0,1.0,70,548,0.942,327.0,220.0
OB,2.0,1.0,75,439,0.854,49.0,80.0
OB,2.0,2.0,60,1229,1.03,715.0,478.0
OB,2.0,2.0,65,785,1.023,622.0,356.0
OB,2.0,2.0,70,548,0.925,327.0,220.0
OB,2.0,2.0,75,439,0.845,49.0,80.0
OB,2.0,3.0,60,1229,1.01,715.0,478.0
OB,2.0,3.0,65,785,1.01,622.0,356.0
OB,2.0,3.0,70,548,0.919,327.0,220.0
OB,2.0,3.0,75,439,0.844,49.0,80.0
OB,2.0,5.0,60,1229,0.99,715.0,478.0
OB,2.0,5.0,65,785,0.999,622.0,356.0
OB,2.0,5.0,70,548,0.915,327.0,220.0
OB,2.0,5.0,75,439,0.844,49.0,80.0
OB,2.5,0.5,60,1229,1.252,715.0,478.0
