zone_kind,r_target,expiry_days,iv_threshold,n,win_rate,avg_pnl_$,total_pnl_$,std_pnl_$
MB,1.0,0.5,60,1099,0.621,2.098,2305.3,8.506
MB,1.0,0.5,65,736,0.62,2.028,1492.5,8.814
MB,1.0,0.5,70,527,0.632,2.476,1304.8,8.649
MB,1.0,0.5,75,423,0.626,2.507,1060.6,8.883
MB,1.0,0.5,80,307,0.609,1.624,498.7,8.305
MB,1.0,0.5,85,252,0.611,1.562,393.6,7.78
MB,1.0,0.5,90,232,0.595,1.371,318.1,7.971
MB,1.0,1.0,60,1099,0.608,2.081,2287.5,8.718
MB,1.0,1.0,65,736,0.611,2.068,1522.1,9.088
MB,1.0,1.0,70,527,0.622,2.46,1296.6,8.912
MB,1.0,1.0,75,423,0.617,2.5,1057.7,9.146
MB,1.0,1.0,80,307,0.599,1.582,485.6,8.416
MB,1.0,1.0,85,252,0.603,1.497,377.3,7.685
MB,1.0,1.0,90,232,0.586,1.302,302.0,7.851
MB,1.0,2.0,60,1099,0.602,2.008,2206.9,8.976
MB,1.0,2.0,65,736,0.603,1.994,1467.7,9.418
MB,1.0,2.0,70,527,0.615,2.446,1288.8,9.131
MB,1.0,2.0,75,423,0.61,2.487,1052.0,9.366
MB,1.0,2.0,80,307,0.596,1.537,471.9,8.526
MB,1.0,2.0,85,252,0.603,1.455,366.6,7.66
MB,1.0,2.0,90,232,0.586,1.254,291.0,7.805
MB,1.0,3.0,60,1099,0.6,1.987,2183.6,9.037
MB,1.0,3.0,65,736,0.599,1.976,1454.0,9.478
MB,1.0,3.0,70,527,0.609,2.442,1286.7,9.253
MB,1.0,3.0,75,423,0.605,2.484,1050.7,9.492
MB,1.0,3.0,80,307,0.593,1.522,467.2,8.617
MB,1.0,3.0,85,252,0.603,1.435,361.7,7.662
MB,1.0,3.0,90,232,0.586,1.232,285.8,7.796
MB,1.0,5.0,60,1099,0.597,1.968,2162.8,9.128
MB,1.0,5.0,65,736,0.595,1.959,1441.8,9.577
MB,1.0,5.0,70,527,0.605,2.438,1284.6,9.392
MB,1.0,5.0,75,423,0.6,2.48,1048.9,9.637
MB,1.0,5.0,80,307,0.586,1.507,462.8,8.737
MB,1.0,5.0,85,252,0.595,1.413,356.2,7.676
MB,1.0,5.0,90,232,0.578,1.206,279.8,7.798
MB,1.5,0.5,60,1099,0.563,2.579,2834.3,9.989
MB,1.5,0.5,65,736,0.561,2.64,1943.3,10.452
MB,1.5,0.5,70,527,0.59,3.244,1709.7,10.441
MB,1.5,0.5,75,423,0.591,3.187,1348.2,10.428
MB,1.5,0.5,80,307,0.577,2.455,753.6,9.534
MB,1.5,0.5,85,252,0.579,2.301,579.8,9.059
MB,1.5,0.5,90,232,0.569,2.17,503.4,9.279
MB,1.5,1.0,60,1099,0.54,2.481,2726.2,10.312
MB,1.5,1.0,65,736,0.542,2.629,1935.2,10.872
MB,1.5,1.0,70,527,0.577,3.273,1724.9,10.977
MB,1.5,1.0,75,423,0.577,3.171,1341.4,10.795
MB,1.5,1.0,80,307,0.564,2.387,732.9,9.742
MB,1.5,1.0,85,252,0.567,2.228,561.5,9.09
MB,1.5,1.0,90,232,0.56,2.099,486.9,9.295
MB,1.5,2.0,60,1099,0.528,2.347,2579.0,10.627
MB,1.5,2.0,65,736,0.53,2.488,1831.1,11.238
MB,1.5,2.0,70,527,0.565,3.183,1677.4,11.168
MB,1.5,2.0,75,423,0.567,3.067,1297.4,11.001
MB,1.5,2.0,80,307,0.56,2.209,678.1,9.756
MB,1.5,2.0,85,252,0.567,2.035,512.7,8.941
