final_balance,total_return_pct,max_dd_pct,calmar,n_closed,split,train_rank,ob_w,mb_w,bb_w,ob_cap,mb_cap,bb_cap,global_cap
89669.9,4383.49,24.0,182.63,2522,train,0,0.2,0.3,0.45,3.0,3.0,2.0,12.0
4284.2,114.21,19.24,5.937,1207,validation,0,0.2,0.3,0.45,3.0,3.0,2.0,12.0
7489.7,274.48,16.32,16.816,1048,holdout,0,0.2,0.3,0.45,3.0,3.0,2.0,12.0
89669.9,4383.49,24.0,182.63,2522,train,1,0.2,0.3,0.45,2.0,2.0,2.0,4.0
4284.2,114.21,19.24,5.937,1207,validation,1,0.2,0.3,0.45,2.0,2.0,2.0,4.0
7489.7,274.48,16.32,16.816,1048,holdout,1,0.2,0.3,0.45,2.0,2.0,2.0,4.0
89669.9,4383.49,24.0,182.63,2522,train,2,0.2,0.3,0.45,2.0,2.0,2.0,8.0
4284.2,114.21,19.24,5.937,1207,validation,2,0.2,0.3,0.45,2.0,2.0,2.0,8.0
7489.7,274.48,16.32,16.816,1048,holdout,2,0.2,0.3,0.45,2.0,2.0,2.0,8.0
89669.9,4383.49,24.0,182.63,2522,train,3,0.2,0.3,0.45,2.0,2.0,2.0,10.0
4284.2,114.21,19.24,5.937,1207,validation,3,0.2,0.3,0.45,2.0,2.0,2.0,10.0
7489.7,274.48,16.32,16.816,1048,holdout,3,0.2,0.3,0.45,2.0,2.0,2.0,10.0
89669.9,4383.49,24.0,182.63,2522,train,4,0.2,0.3,0.45,2.0,2.0,2.0,12.0
4284.2,114.21,19.24,5.937,1207,validation,4,0.2,0.3,0.45,2.0,2.0,2.0,12.0
7489.7,274.48,16.32,16.816,1048,holdout,4,0.2,0.3,0.45,2.0,2.0,2.0,12.0
89669.9,4383.49,24.0,182.63,2522,train,5,0.2,0.3,0.45,3.0,2.0,2.0,4.0
4284.2,114.21,19.24,5.937,1207,validation,5,0.2,0.3,0.45,3.0,2.0,2.0,4.0
7489.7,274.48,16.32,16.816,1048,holdout,5,0.2,0.3,0.45,3.0,2.0,2.0,4.0
89669.9,4383.49,24.0,182.63,2522,train,6,0.2,0.3,0.45,3.0,2.0,2.0,6.0
4284.2,114.21,19.24,5.937,1207,validation,6,0.2,0.3,0.45,3.0,2.0,2.0,6.0
7489.7,274.48,16.32,16.816,1048,holdout,6,0.2,0.3,0.45,3.0,2.0,2.0,6.0
89669.9,4383.49,24.0,182.63,2522,train,7,0.2,0.3,0.45,3.0,2.0,2.0,8.0
4284.2,114.21,19.24,5.937,1207,validation,7,0.2,0.3,0.45,3.0,2.0,2.0,8.0
7489.7,274.48,16.32,16.816,1048,holdout,7,0.2,0.3,0.45,3.0,2.0,2.0,8.0
89669.9,4383.49,24.0,182.63,2522,train,8,0.2,0.3,0.45,3.0,2.0,2.0,10.0
4284.2,114.21,19.24,5.937,1207,validation,8,0.2,0.3,0.45,3.0,2.0,2.0,10.0
7489.7,274.48,16.32,16.816,1048,holdout,8,0.2,0.3,0.45,3.0,2.0,2.0,10.0
89669.9,4383.49,24.0,182.63,2522,train,9,0.2,0.3,0.45,3.0,2.0,2.0,12.0
4284.2,114.21,19.24,5.937,1207,validation,9,0.2,0.3,0.45,3.0,2.0,2.0,12.0
7489.7,274.48,16.32,16.816,1048,holdout,9,0.2,0.3,0.45,3.0,2.0,2.0,12.0
