final_balance,total_return_pct,max_dd_pct,calmar,n_closed,ob_w,mb_w,bb_w,ob_cap,mb_cap,bb_cap,global_cap
6227.0,211.35,7.56,27.938,2429,0.06,0.1,0.16,1,1,1,4
6227.0,211.35,7.56,27.938,2429,0.06,0.1,0.16,1,1,1,6
6227.0,211.35,7.56,27.938,2429,0.06,0.1,0.16,1,1,1,8
6227.0,211.35,7.56,27.938,2429,0.06,0.1,0.16,1,1,1,10
6227.0,211.35,7.56,27.938,2429,0.06,0.1,0.16,1,1,1,12
6248.9,212.45,7.56,28.083,2430,0.06,0.1,0.16,1,1,2,4
6248.9,212.45,7.56,28.083,2430,0.06,0.1,0.16,1,1,2,6
6248.9,212.45,7.56,28.083,2430,0.06,0.1,0.16,1,1,2,8
6248.9,212.45,7.56,28.083,2430,0.06,0.1,0.16,1,1,2,10
6248.9,212.45,7.56,28.083,2430,0.06,0.1,0.16,1,1,2,12
6946.3,247.32,8.16,30.31,2518,0.06,0.1,0.16,1,2,1,4
6946.3,247.32,8.16,30.31,2518,0.06,0.1,0.16,1,2,1,6
6946.3,247.32,8.16,30.31,2518,0.06,0.1,0.16,1,2,1,8
6946.3,247.32,8.16,30.31,2518,0.06,0.1,0.16,1,2,1,10
6946.3,247.32,8.16,30.31,2518,0.06,0.1,0.16,1,2,1,12
6970.0,248.5,8.16,30.454,2519,0.06,0.1,0.16,1,2,2,4
6970.0,248.5,8.16,30.454,2519,0.06,0.1,0.16,1,2,2,6
6970.0,248.5,8.16,30.454,2519,0.06,0.1,0.16,1,2,2,8
6970.0,248.5,8.16,30.454,2519,0.06,0.1,0.16,1,2,2,10
6970.0,248.5,8.16,30.454,2519,0.06,0.1,0.16,1,2,2,12
6946.3,247.32,8.16,30.31,2518,0.06,0.1,0.16,1,3,1,4
6946.3,247.32,8.16,30.31,2518,0.06,0.1,0.16,1,3,1,6
6946.3,247.32,8.16,30.31,2518,0.06,0.1,0.16,1,3,1,8
6946.3,247.32,8.16,30.31,2518,0.06,0.1,0.16,1,3,1,10
6946.3,247.32,8.16,30.31,2518,0.06,0.1,0.16,1,3,1,12
6970.0,248.5,8.16,30.454,2519,0.06,0.1,0.16,1,3,2,4
6970.0,248.5,8.16,30.454,2519,0.06,0.1,0.16,1,3,2,6
6970.0,248.5,8.16,30.454,2519,0.06,0.1,0.16,1,3,2,8
6970.0,248.5,8.16,30.454,2519,0.06,0.1,0.16,1,3,2,10
6970.0,248.5,8.16,30.454,2519,0.06,0.1,0.16,1,3,2,12
6227.4,211.37,7.56,27.94,2433,0.06,0.1,0.16,2,1,1,4
6227.4,211.37,7.56,27.94,2433,0.06,0.1,0.16,2,1,1,6
6227.4,211.37,7.56,27.94,2433,0.06,0.1,0.16,2,1,1,8
6227.4,211.37,7.56,27.94,2433,0.06,0.1,0.16,2,1,1,10
6227.4,211.37,7.56,27.94,2433,0.06,0.1,0.16,2,1,1,12
6248.4,212.42,7.56,28.079,2434,0.06,0.1,0.16,2,1,2,4
6248.4,212.42,7.56,28.079,2434,0.06,0.1,0.16,2,1,2,6
6248.4,212.42,7.56,28.079,2434,0.06,0.1,0.16,2,1,2,8
6248.4,212.42,7.56,28.079,2434,0.06,0.1,0.16,2,1,2,10
6248.4,212.42,7.56,28.079,2434,0.06,0.1,0.16,2,1,2,12
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,2,2,1,4
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,2,2,1,6
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,2,2,1,8
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,2,2,1,10
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,2,2,1,12
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,2,2,2,4
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,2,2,2,6
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,2,2,2,8
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,2,2,2,10
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,2,2,2,12
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,2,3,1,4
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,2,3,1,6
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,2,3,1,8
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,2,3,1,10
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,2,3,1,12
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,2,3,2,4
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,2,3,2,6
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,2,3,2,8
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,2,3,2,10
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,2,3,2,12
6227.4,211.37,7.56,27.94,2433,0.06,0.1,0.16,3,1,1,4
6227.4,211.37,7.56,27.94,2433,0.06,0.1,0.16,3,1,1,6
6227.4,211.37,7.56,27.94,2433,0.06,0.1,0.16,3,1,1,8
6227.4,211.37,7.56,27.94,2433,0.06,0.1,0.16,3,1,1,10
6227.4,211.37,7.56,27.94,2433,0.06,0.1,0.16,3,1,1,12
6248.4,212.42,7.56,28.079,2434,0.06,0.1,0.16,3,1,2,4
6248.4,212.42,7.56,28.079,2434,0.06,0.1,0.16,3,1,2,6
6248.4,212.42,7.56,28.079,2434,0.06,0.1,0.16,3,1,2,8
6248.4,212.42,7.56,28.079,2434,0.06,0.1,0.16,3,1,2,10
6248.4,212.42,7.56,28.079,2434,0.06,0.1,0.16,3,1,2,12
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,3,2,1,4
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,3,2,1,6
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,3,2,1,8
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,3,2,1,10
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,3,2,1,12
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,3,2,2,4
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,3,2,2,6
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,3,2,2,8
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,3,2,2,10
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,3,2,2,12
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,3,3,1,4
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,3,3,1,6
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,3,3,1,8
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,3,3,1,10
6945.8,247.29,8.16,30.306,2521,0.06,0.1,0.16,3,3,1,12
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,3,3,2,4
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,3,3,2,6
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,3,3,2,8
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,3,3,2,10
6969.5,248.47,8.16,30.451,2522,0.06,0.1,0.16,3,3,2,12
6333.1,216.65,8.85,24.486,2429,0.06,0.1,0.22,1,1,1,4
6333.1,216.65,8.85,24.486,2429,0.06,0.1,0.22,1,1,1,6
6333.1,216.65,8.85,24.486,2429,0.06,0.1,0.22,1,1,1,8
6333.1,216.65,8.85,24.486,2429,0.06,0.1,0.22,1,1,1,10
6333.1,216.65,8.85,24.486,2429,0.06,0.1,0.22,1,1,1,12
6353.5,217.68,8.85,24.602,2430,0.06,0.1,0.22,1,1,2,4
6353.5,217.68,8.85,24.602,2430,0.06,0.1,0.22,1,1,2,6
6353.5,217.68,8.85,24.602,2430,0.06,0.1,0.22,1,1,2,8
6353.5,217.68,8.85,24.602,2430,0.06,0.1,0.22,1,1,2,10
6353.5,217.68,8.85,24.602,2430,0.06,0.1,0.22,1,1,2,12
7153.3,257.67,9.38,27.479,2518,0.06,0.1,0.22,1,2,1,4
7153.3,257.67,9.38,27.479,2518,0.06,0.1,0.22,1,2,1,6
7153.3,257.67,9.38,27.479,2518,0.06,0.1,0.22,1,2,1,8
7153.3,257.67,9.38,27.479,2518,0.06,0.1,0.22,1,2,1,10
7153.3,257.67,9.38,27.479,2518,0.06,0.1,0.22,1,2,1,12
7192.1,259.61,9.38,27.686,2519,0.06,0.1,0.22,1,2,2,4
7192.1,259.61,9.38,27.686,2519,0.06,0.1,0.22,1,2,2,6
7192.1,259.61,9.38,27.686,2519,0.06,0.1,0.22,1,2,2,8
7192.1,259.61,9.38,27.686,2519,0.06,0.1,0.22,1,2,2,10
7192.1,259.61,9.38,27.686,2519,0.06,0.1,0.22,1,2,2,12
7153.3,257.67,9.38,27.479,2518,0.06,0.1,0.22,1,3,1,4
7153.3,257.67,9.38,27.479,2518,0.06,0.1,0.22,1,3,1,6
7153.3,257.67,9.38,27.479,2518,0.06,0.1,0.22,1,3,1,8
7153.3,257.67,9.38,27.479,2518,0.06,0.1,0.22,1,3,1,10
7153.3,257.67,9.38,27.479,2518,0.06,0.1,0.22,1,3,1,12
7192.1,259.61,9.38,27.686,2519,0.06,0.1,0.22,1,3,2,4
7192.1,259.61,9.38,27.686,2519,0.06,0.1,0.22,1,3,2,6
7192.1,259.61,9.38,27.686,2519,0.06,0.1,0.22,1,3,2,8
7192.1,259.61,9.38,27.686,2519,0.06,0.1,0.22,1,3,2,10
7192.1,259.61,9.38,27.686,2519,0.06,0.1,0.22,1,3,2,12
6318.1,215.9,8.85,24.401,2433,0.06,0.1,0.22,2,1,1,4
6318.1,215.9,8.85,24.401,2433,0.06,0.1,0.22,2,1,1,6
6318.1,215.9,8.85,24.401,2433,0.06,0.1,0.22,2,1,1,8
6318.1,215.9,8.85,24.401,2433,0.06,0.1,0.22,2,1,1,10
6318.1,215.9,8.85,24.401,2433,0.06,0.1,0.22,2,1,1,12
6344.6,217.23,8.85,24.551,2434,0.06,0.1,0.22,2,1,2,4
6344.6,217.23,8.85,24.551,2434,0.06,0.1,0.22,2,1,2,6
6344.6,217.23,8.85,24.551,2434,0.06,0.1,0.22,2,1,2,8
6344.6,217.23,8.85,24.551,2434,0.06,0.1,0.22,2,1,2,10
6344.6,217.23,8.85,24.551,2434,0.06,0.1,0.22,2,1,2,12
7158.6,257.93,9.38,27.507,2521,0.06,0.1,0.22,2,2,1,4
7158.6,257.93,9.38,27.507,2521,0.06,0.1,0.22,2,2,1,6
7158.6,257.93,9.38,27.507,2521,0.06,0.1,0.22,2,2,1,8
7158.6,257.93,9.38,27.507,2521,0.06,0.1,0.22,2,2,1,10
7158.6,257.93,9.38,27.507,2521,0.06,0.1,0.22,2,2,1,12
7194.2,259.71,9.38,27.696,2522,0.06,0.1,0.22,2,2,2,4
7194.2,259.71,9.38,27.696,2522,0.06,0.1,0.22,2,2,2,6
7194.2,259.71,9.38,27.696,2522,0.06,0.1,0.22,2,2,2,8
7194.2,259.71,9.38,27.696,2522,0.06,0.1,0.22,2,2,2,10
7194.2,259.71,9.38,27.696,2522,0.06,0.1,0.22,2,2,2,12
7158.6,257.93,9.38,27.507,2521,0.06,0.1,0.22,2,3,1,4
7158.6,257.93,9.38,27.507,2521,0.06,0.1,0.22,2,3,1,6
7158.6,257.93,9.38,27.507,2521,0.06,0.1,0.22,2,3,1,8
7158.6,257.93,9.38,27.507,2521,0.06,0.1,0.22,2,3,1,10
7158.6,257.93,9.38,27.507,2521,0.06,0.1,0.22,2,3,1,12
7194.2,259.71,9.38,27.696,2522,0.06,0.1,0.22,2,3,2,4
7194.2,259.71,9.38,27.696,2522,0.06,0.1,0.22,2,3,2,6
7194.2,259.71,9.38,27.696,2522,0.06,0.1,0.22,2,3,2,8
7194.2,259.71,9.38,27.696,2522,0.06,0.1,0.22,2,3,2,10
7194.2,259.71,9.38,27.696,2522,0.06,0.1,0.22,2,3,2,12
